conferenceId,name
"conference::international conference on intelligent transportation, big data and smart city","International Conference on Intelligent Transportation, Big Data and Smart City"
conference::international journal of ethics and systems,International Journal of Ethics and Systems
conference::gut,Gut
conference::hydrobiologia,Hydrobiologia
conference::pharmaceutical medicine,Pharmaceutical Medicine
conference::ieee conference of russian young researchers in electrical and electronic engineering,IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering
conference::international journal of advances in scientific research and engineering,International Journal of Advances in Scientific Research and Engineering
conference::african journal of range and forage science,African Journal of Range and Forage Science
conference::simulations in medicine,Simulations in Medicine
conference::le journal de la renaissance,Le Journal de la Renaissance
conference::aquatic sciences,Aquatic Sciences
conference::journal of contingencies and crisis management,Journal of Contingencies and Crisis Management
conference::highlights in science engineering and technology,Highlights in Science Engineering and Technology
"conference::2012 international conference on smart grid technology, economics and policies (sg-tep)","2012 International Conference on Smart Grid Technology, Economics and Policies (SG-TEP)"
conference::agricultural water management,Agricultural Water Management
conference::international journal artificial intelligent and informatics,International Journal Artificial Intelligent and Informatics
conference::jurnal basicedu,Jurnal Basicedu
conference::south florida journal of development,South Florida Journal of Development
conference::thermal science,Thermal Science
conference::international journal of advanced research,International Journal of Advanced Research
conference::sustainability,Sustainability
conference::teaching english and language learning english journal (telle),Teaching English and Language Learning English Journal (TELLE)
conference::bmj supportive & palliative care,BMJ Supportive & Palliative Care
conference::journal of pharmaceutical research international,Journal of Pharmaceutical Research International
conference::pharmaceutical & diagnostic innovation,Pharmaceutical & Diagnostic Innovation
"conference::journal of the geographical institute jovan cvijic, sasa","Journal of the Geographical Institute Jovan Cvijic, SASA"
conference::ssr institute of international journal of life sciences,SSR Institute of International Journal of Life Sciences
conference::agricultural science,Agricultural Science
conference::e3s web of conferences,E3S Web of Conferences
conference::american journal of perinatology reports,American Journal of Perinatology Reports
conference::british medical journal,British medical journal
conference::2025 ieee 5th international conference on sustainable energy and future electric transportation (sefet),2025 IEEE 5th International Conference on Sustainable Energy and Future Electric Transportation (SEFET)
conference::cdmw '12,CDMW '12
"conference::synergizing management, technology and innovation in generating sustainable and competitive business growth","Synergizing Management, Technology and Innovation in Generating Sustainable and Competitive Business Growth"
"conference::the journal of nutrition, health & aging","The Journal of Nutrition, Health & Aging"
conference::proceedings of the 2024 6th blockchain and internet of things conference,Proceedings of the 2024 6th Blockchain and Internet of Things Conference
conference::biodiversity information science and standards,Biodiversity Information Science and Standards
conference::iforest : biogeosciences and forestry,iForest : Biogeosciences and Forestry
"conference::2025 2nd international conference on software, systems and information technology (ssitcon)","2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)"
conference::rheumatology,Rheumatology
"conference::sustainability accounting, management and policy journal","Sustainability Accounting, Management and Policy Journal"
conference::north american journal of fisheries management,North American Journal of Fisheries Management
conference::iop conference series: earth and environment,IOP Conference Series: Earth and Environment
conference::cureus,Cureus
conference::free radical biology & medicine,Free Radical Biology & Medicine
conference::cardiovascular and interventional radiology,Cardiovascular and Interventional Radiology
conference::water,Water
conference::abi-technik,ABI-Technik
"conference::industrielle beziehungen. zeitschrift für arbeit, organisation und management","Industrielle Beziehungen. Zeitschrift für Arbeit, Organisation und Management"
conference::technical  mechanics,Technical  mechanics
conference::proceedings of the international academic conference on frontiers in social sciences and management innovation (iafsm 2019),Proceedings of the International Academic Conference on Frontiers in Social Sciences and Management Innovation (IAFSM 2019)
conference::encyclopedia of personality and individual differences,Encyclopedia of Personality and Individual Differences
conference::future foods,Future Foods
conference::international journal of current science research and review,International Journal of Current Science Research and Review
conference::international conference on measuring technology and mechatronics automation,International Conference on Measuring Technology and Mechatronics Automation
conference::information security solutions europe,Information Security Solutions Europe
conference::systems and information engineering design symposium,Systems and Information Engineering Design Symposium
"conference::2021 9th international conference on reliability, infocom technologies and optimization (trends and future directions) (icrito)","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)"
conference::the jps jewish heritage torah commentary,The JPS Jewish Heritage Torah Commentary
conference::2017 23rd annual international conference in advanced computing and communications (adcom),2017 23RD Annual International Conference in Advanced Computing and Communications (ADCOM)
conference::ieee international conference on industrial engineering and engineering management,IEEE International Conference on Industrial Engineering and Engineering Management
conference::energies,Energies
conference::international journal of technology assessment in health care,International Journal of Technology Assessment in Health Care
conference::agronomy,Agronomy
"conference::2023 ieee international conference on electrical, automation and computer engineering (iceace)","2023 IEEE International Conference on Electrical, Automation and Computer Engineering (ICEACE)"
conference::international conference on industrial mechatronics and automation,International Conference on Industrial Mechatronics and Automation
conference::journal of applied ecology,Journal of Applied Ecology
conference::british journal of healthcare management,British Journal of Healthcare Management
conference::journal of hydrology,Journal of Hydrology
conference::2012 international conference on computer vision in remote sensing,2012 International Conference on Computer Vision in Remote Sensing
conference::designs,Designs
conference::innovation in aging,Innovation in aging
conference::photonics europe,Photonics Europe
conference::coral reefs,Coral reefs
conference::herpetological monographs,Herpetological Monographs
conference::biorxiv,bioRxiv
conference::proceedings of the international scientific and practical conference strategy of development of regional ecosystems “education-science-industry” (ispcr 2021),Proceedings of the International Scientific and Practical Conference Strategy of Development of Regional Ecosystems “Education-Science-Industry” (ISPCR 2021)
conference::asian journal of agricultural extension economics & sociology,Asian Journal of Agricultural Extension Economics & Sociology
conference::journal of physics: conference series,Journal of Physics: Conference Series
conference::chemical engineering research & design,Chemical engineering research & design
conference::pakistan journal of medical &amp; health sciences,Pakistan Journal of Medical &amp; Health Sciences
conference::proceedings of the 2025 international conference on economic management and big data application,Proceedings of the 2025 International Conference on Economic Management and Big Data Application
conference::archives of physical medicine and rehabilitation,Archives of Physical Medicine and Rehabilitation
conference::logistik im wandel der zeit – von der produktionssteuerung zu vernetzten supply chains,Logistik im Wandel der Zeit – Von der Produktionssteuerung zu vernetzten Supply Chains
conference::international conference on recent trends in information technology,International Conference on Recent Trends in Information Technology
conference::journal of lightwave technology,Journal of Lightwave Technology
conference::geological society london engineering geology special publications,Geological Society London Engineering Geology Special Publications
conference::2024 opju international technology conference (otcon) on smart computing for innovation and advancement in industry 4.0,2024 OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 4.0
conference::2025 world skills conference on universal data analytics and sciences (worldsuas),2025 World Skills Conference on Universal Data Analytics and Sciences (WorldSUAS)
conference::neurology clinical practice,Neurology Clinical Practice
conference::veterinary anatomy and physiology,Veterinary Anatomy and Physiology
"conference::2021 joint international conference on digital arts, media and technology with ecti northern section conference on electrical, electronics, computer and telecommunication engineering","2021 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering"
conference::european urology,European Urology
conference::2023 8th international conference on cloud computing and big data analytics (icccbda),2023 8th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA)
conference::czech journal of civil engineering,Czech Journal of Civil Engineering
conference::international journal of entertainment technology and management,International Journal of Entertainment Technology and Management
conference::international symposium on medical simulation,International Symposium on Medical Simulation
conference::online international conference on green engineering and technologies,Online International Conference on Green Engineering and Technologies
"conference::proceedings. 2005 ieee intelligent transportation systems, 2005.","Proceedings. 2005 IEEE Intelligent Transportation Systems, 2005."
conference::international conference on advanced communication technology,International Conference on Advanced Communication Technology
conference::2025 11th international conference on wireless and telematics (icwt),2025 11th International Conference on Wireless and Telematics (ICWT)
conference::asian test symposium,Asian Test Symposium
conference::international journal of computer trends and technology,International Journal of Computer Trends and Technology
"conference::international conference on cryptography, security and privacy","International Conference on Cryptography, Security and Privacy"
conference::open forum infectious diseases,Open Forum Infectious Diseases
conference::ieee india conference,IEEE India Conference
conference::international conference on informatics and analytics,International Conference on Informatics and Analytics
conference::sustainability science,Sustainability Science
conference::world congress on information and communication technologies,World Congress on Information and Communication Technologies
conference::international conference on advances in ict for emerging regions,International Conference on Advances in ICT for Emerging Regions
conference::2021 2nd international conference on secure cyber computing and communications (icsccc),2021 2nd International Conference on Secure Cyber Computing and Communications (ICSCCC)
conference::journal of clinical oncology,Journal of Clinical Oncology
conference::international conference on neural networks and brain,International Conference on Neural Networks and Brain
"conference::international conference on modeling, simulation, and applied optimization","International Conference on Modeling, Simulation, and Applied Optimization"
conference::annals of internal medicine,Annals of Internal Medicine
conference::international conferences on biomedical and bioinformatics engineering,International Conferences on Biomedical and Bioinformatics Engineering
conference::encyclopedia of data warehousing and mining,Encyclopedia of Data Warehousing and Mining
conference::confluence,Confluence
conference::2015 international conference on pervasive computing (icpc),2015 International Conference on Pervasive Computing (ICPC)
conference::proceedings of the sriwijaya international conference on information technology and its applications (siconian 2019),Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019)
conference::smart,SMART
conference::2022 3rd international conference on smart electronics and communication (icosec),2022 3rd International Conference on Smart Electronics and Communication (ICOSEC)
conference::yoga mimamsa,Yoga Mimamsa
conference::proceedings. the ieee 5th international conference on intelligent transportation systems,Proceedings. The IEEE 5th International Conference on Intelligent Transportation Systems
"conference::day 3 thu, may 09, 2024","Day 3 Thu, May 09, 2024"
conference::2024 ieee international conference on intelligent signal processing and effective communication technologies (inspect),2024 IEEE International Conference on Intelligent Signal Processing and Effective Communication Technologies (INSPECT)
conference::big data in bioeconomy,Big Data in Bioeconomy
conference::2016 advances in wireless and optical communications (rtuwo),2016 Advances in Wireless and Optical Communications (RTUWO)
conference::pharmacy world & science,Pharmacy World & Science
"conference::2025 6th international conference on big data, artificial intelligence and internet of things engineering (icbaie)","2025 6th International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)"
conference::international conference intelligent computing and control systems,International Conference Intelligent Computing and Control Systems
conference::spie defense + commercial sensing,SPIE Defense + Commercial Sensing
conference::2021 ieee international conference on artificial intelligence and computer applications (icaica),2021 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA)
conference::oceans,Oceans
conference::abstracts of the ica,Abstracts of the ICA
conference::2022 international conference on electronics and renewable systems (icears),2022 International Conference on Electronics and Renewable Systems (ICEARS)
conference::journal of optometry,Journal of Optometry
conference::2022 global reliability and prognostics and health management (phm-yantai),2022 Global Reliability and Prognostics and Health Management (PHM-Yantai)
conference::bmc neuroscience,BMC Neuroscience
conference::ankara hacı bayram veli üniversitesi i̇ktisadi ve i̇dari bilimler fakültesi dergisi,Ankara Hacı Bayram Veli Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi
conference::2024 6th international conference on frontier technologies of information and computer (icftic),2024 6th International Conference on Frontier Technologies of Information and Computer (ICFTIC)
conference::asset analytics,Asset Analytics
conference::circulation,Circulation
conference::blood,Blood
conference::ieee joint international information technology and artificial intelligence conference,IEEE Joint International Information Technology and Artificial Intelligence Conference
conference::geofluids,Geofluids
conference::2012 ieee symposium on robotics and applications (isra),2012 IEEE Symposium on Robotics and Applications (ISRA)
conference::international journal for research in applied science and engineering technology,International Journal for Research in Applied Science and Engineering Technology
conference::international journal of retail & distribution management,International Journal of Retail & Distribution Management
conference::environmental evidence,Environmental Evidence
conference::asia pacific symposium on intelligent and evolutionary systems,Asia Pacific Symposium on Intelligent and Evolutionary Systems
conference::new trends of research in ontologies and lexical resources,New Trends of Research in Ontologies and Lexical Resources
conference::academic psychiatry,Academic Psychiatry
conference::frontiers in education conference,Frontiers in Education Conference
conference::defense + commercial sensing,Defense + Commercial Sensing
conference::indonesian journal of electrical engineering and computer science,Indonesian Journal of Electrical Engineering and Computer Science
conference::the superior journal of physical therapy and rehabilitation,The Superior Journal of Physical Therapy and Rehabilitation
conference::2023 2nd international conference on edge computing and applications (icecaa),2023 2nd International Conference on Edge Computing and Applications (ICECAA)
conference::community-built databases,Community-Built Databases
"conference::international conference on technological advances in electrical, electronics and computer engineering","International Conference on Technological Advances in Electrical, Electronics and Computer Engineering"
conference::high performance visualization,High Performance Visualization
conference::international journal of advanced computer science and applications,International Journal of Advanced Computer Science and Applications
conference::international conference on computational intelligence and communication networks,International Conference on Computational Intelligence and Communication Networks
conference::2024 international conference on automation and computation (autocom),2024 International Conference on Automation and Computation (AUTOCOM)
conference::economics. law. innovaion,Economics. Law. Innovaion
conference::international conference on artificial intelligence and soft computing,International Conference on Artificial Intelligence and Soft Computing
"conference::conference, emerging information technology 2005.","Conference, Emerging Information Technology 2005."
conference::international conference on signals and electronic systems,International Conference on Signals and Electronic Systems
conference::research in international business and finance,Research In International Business and Finance
conference::bulletin of the school of oriental and african studies,Bulletin of the School of Oriental and African Studies
"conference::2023 international conference on research methodologies in knowledge management, artificial intelligence and telecommunication engineering (rmkmate)","2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)"
conference::bmc genomics,BMC Genomics
conference::geoinformatics,GEOINFORMATICS
conference::journal of plant growth regulation,Journal of Plant Growth Regulation
conference::sankhya b,Sankhya B
"conference::ideas: jurnal pendidikan, sosial, dan budaya","Ideas: Jurnal Pendidikan, Sosial, dan Budaya"
conference::international journal of engineering and technology,International journal of engineering and technology
conference::international journal of vehicle systems modelling and testing,International Journal of Vehicle Systems Modelling and Testing
conference::ieee power & energy society general meeting,IEEE Power & Energy Society General Meeting
conference::perspectives on medical education,Perspectives on Medical Education
conference::moscow university geology bulletin,Moscow University Geology Bulletin
conference::security and communication networks,Security and Communication Networks
conference::stroke,Stroke
conference::ieee transactions on industry applications,IEEE transactions on industry applications
conference::philosophical transactions of the royal society of london. series a: mathematical and physical sciences,Philosophical transactions of the Royal Society of London. Series A: Mathematical and physical sciences
conference::fifth international conference on advanced robotics 'robots in unstructured environments,Fifth International Conference on Advanced Robotics 'Robots in Unstructured Environments
conference::heart,Heart
conference::2026 5th international informatics and software engineering conference (iisec),2026 5th International Informatics and Software Engineering Conference (IISEC)
conference::wireless communications and mobile computing,Wireless Communications and Mobile Computing
conference::pharmacoeconomics & outcomes news,PharmacoEconomics & outcomes news
conference::malaysian journal of learning & instruction,Malaysian journal of learning & instruction
conference::international conference on crowd science and engineering,International Conference on Crowd Science and Engineering
conference::matec web of conferences,MATEC Web of Conferences
"conference::proceedings of the 2nd international conference on economy, management and entrepreneurship (icoeme 2019)","Proceedings of the 2nd International Conference on Economy, Management and Entrepreneurship (ICOEME 2019)"
conference::aiaa aviation 2022 forum,AIAA AVIATION 2022 Forum
"conference::proceedings of the 2nd international conference on mathematical statistics and economic analysis, msea 2023, may 26–28, 2023, nanjing, china","Proceedings of the 2nd International Conference on Mathematical Statistics and Economic Analysis, MSEA 2023, May 26–28, 2023, Nanjing, China"
conference::circulo de linguistica aplicada a la comunicacion,CIRCULO de linguistica aplicada a la comunicacion
conference::other conferences,Other Conferences
"conference::2023 international conference on network, multimedia and information technology (nmitcon)","2023 International Conference on Network, Multimedia and Information Technology (NMITCON)"
conference::australian journal of agricultural and resource economics,Australian Journal of Agricultural and Resource Economics
conference::computational continuum mechanics,Computational Continuum Mechanics
conference::2006 international telecommunications symposium,2006 International Telecommunications Symposium
conference::medrxiv,medRxiv
conference::machines,Machines
conference::journal of the geological society of india,Journal of the Geological Society of India
"conference::proceedings of the 3rd international conference on public administration and governance, icopag 2024, 30 october 2024, malang, indonesia","Proceedings of the 3rd International Conference on Public Administration and Governance, ICOPAG 2024, 30 October 2024, Malang, Indonesia"
conference::earth system science data,Earth System Science Data
conference::dharmas education journal (de_journal),Dharmas Education Journal (DE_Journal)
conference::review of agricultural and applied economics,Review of Agricultural and Applied Economics
conference::journal of clinical and nursing research,Journal of Clinical and Nursing Research
"conference::international journal on advanced science, engineering and information technology","International Journal on Advanced Science, Engineering and Information Technology"
conference::hernia,Hernia
conference::inflammation,Inflammation
"conference::long island systems, applications and technology conference","Long Island Systems, Applications and Technology Conference"
conference::social science research network,Social Science Research Network
conference::journal of sport management,Journal of Sport Management
conference::frontiers in earth science,Frontiers in Earth Science
"conference::emc europe 2004, international symposium on electromagnetic compatibility","EMC Europe 2004, International Symposium on Electromagnetic Compatibility"
conference::international journal of technology,International Journal of Technology
"conference::2025 3rd international conference on iot, communication and automation technology (icicat)","2025 3rd International Conference on IoT, Communication and Automation Technology (ICICAT)"
conference::mathematical methods of statistics,Mathematical Methods of Statistics
conference::ecoscience,Ecoscience
conference::jurnal basis,JURNAL BASIS
conference::public organization review,Public Organization Review
conference::2023 international conference on self sustainable artificial intelligence systems (icssas),2023 International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS)
"conference::environment, development and sustainability","Environment, Development and Sustainability"
conference::proceedings of the royal society a,Proceedings of the Royal Society A
conference::2019 international conference on intelligent informatics and biomedical sciences (iciibms),2019 International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)
conference::journal of economic inequality,Journal of Economic Inequality
conference::journal of cardiac failure,Journal of Cardiac Failure
conference::ieee international geoscience and remote sensing symposium,IEEE International Geoscience and Remote Sensing Symposium
conference::oceans 2019 mts/ieee seattle,OCEANS 2019 MTS/IEEE SEATTLE
conference::journal of investigative dermatology,Journal of Investigative Dermatology
"conference::international conference on remote sensing, environment and transportation engineering","International Conference on Remote Sensing, Environment and Transportation Engineering"
conference::journal of solution chemistry,Journal of Solution Chemistry
conference::journal of coastal research,Journal of Coastal Research
conference::nature clinical practice gastroenterology &hepatology,Nature Clinical Practice Gastroenterology &Hepatology
"conference::international conference on networking, sensing and control","International Conference on Networking, Sensing and Control"
conference::international symposium on applied machine intelligence and informatics,International Symposium on Applied Machine Intelligence and Informatics
conference::atmospheric and ocean optics,Atmospheric and Ocean Optics
conference::ieee international conference on mobile adhoc and sensor systems,IEEE International Conference on Mobile Adhoc and Sensor Systems
conference::journal of physics d: applied physics,Journal of Physics D: Applied Physics
conference::agricultural economics (zemědělská ekonomika),Agricultural Economics (Zemědělská ekonomika)
conference::applied physics a,Applied Physics A
conference::spie optics + photonics,SPIE Optics + Photonics
conference::cartography and geographic information science,Cartography and Geographic Information Science
conference::jurnal unitek,JURNAL UNITEK
conference::parent training for disruptive behavior,Parent Training for Disruptive Behavior
conference::conference proceedings,Conference proceedings
conference::journal of the indonesian society of integrated chemistry,Journal of The Indonesian Society of Integrated Chemistry
conference::food security,Food Security
conference::journal of advertising research,Journal of Advertising Research
conference::regional geology reviews,Regional Geology Reviews
"conference::ubiquitous computing, electronics & mobile communication conference","Ubiquitous Computing, Electronics & Mobile Communication Conference"
conference::ekonomika a spoločnosť,Ekonomika a spoločnosť
conference::turkish journal of agriculture - food science and technology,Turkish Journal of Agriculture - Food Science and Technology
conference::geophysics,Geophysics
conference::loughborough antennas and propagation conference,Loughborough Antennas and Propagation Conference
conference::medical mycology,Medical Mycology
conference::international journal of geotechnical engineering,International Journal of Geotechnical Engineering
conference::2022 ieee nigeria 4th international conference on disruptive technologies for sustainable development (nigercon),2022 IEEE Nigeria 4th International Conference on Disruptive Technologies for Sustainable Development (NIGERCON)
conference::proceedings of the 30th international conference on computer graphics and machine vision (graphicon 2020). part 2,Proceedings of the 30th International Conference on Computer Graphics and Machine Vision (GraphiCon 2020). Part 2
conference::mineralogical magazine,Mineralogical magazine
conference::international middle east power systems conference,International Middle East Power Systems Conference
conference::qualitative research in financial markets,Qualitative Research in Financial Markets
conference::[1990] proceedings. the twenty-second southeastern symposium on system theory,[1990] Proceedings. The Twenty-Second Southeastern Symposium on System Theory
conference::engineering and technology journal,Engineering and Technology Journal
conference::asia communications and photonics conference and exhibition,Asia Communications and Photonics conference and Exhibition
conference::2023 ieee 4th china international youth conference on electrical engineering (ciycee),2023 IEEE 4th China International Youth Conference On Electrical Engineering (CIYCEE)
conference::journal of immunology,Journal of Immunology
conference::chemické zvesti,Chemické zvesti
conference::indonesian journal of agricultural research,Indonesian Journal of Agricultural Research
conference::journal of applied statistics,Journal of Applied Statistics
conference::journal of geophysical research: atmospheres,Journal of Geophysical Research: Atmospheres
conference::proceedings of 2011 6th international forum on strategic technology,Proceedings of 2011 6th International Forum on Strategic Technology
conference::analytical chemistry,Analytical Chemistry
conference::linguistics and culture review,Linguistics and Culture Review
conference::2010 11th specialist meeting on microwave radiometry and remote sensing of the environment,2010 11th Specialist Meeting on Microwave Radiometry and Remote Sensing of the Environment
conference::clinical phytoscience,Clinical Phytoscience
conference::2025 international conference on sustainable communication networks and application (icscn),2025 International Conference on Sustainable Communication Networks and Application (ICSCN)
conference::feminist economics,Feminist Economics
conference::international journal of health sciences,International Journal of Health Sciences
conference::earthquake engineering and engineering vibration,Earthquake Engineering and Engineering Vibration
conference::inflammatory bowel diseases,Inflammatory Bowel Diseases
conference::international journal of agricultural economics,International Journal of Agricultural Economics
conference::cancer research,Cancer Research
conference::jurnal paedagogy,Jurnal Paedagogy
conference::conference on lasers and electro-optics,Conference on Lasers and Electro-Optics
conference::american journal of epidemiology,American Journal of Epidemiology
conference::volume 2: advanced manufacturing,Volume 2: Advanced Manufacturing
conference::2025 ieee international conference on advanced systems and emergent technologies (ic_aset),2025 IEEE International Conference on Advanced Systems and Emergent Technologies (IC_ASET)
conference::letters in spatial and resource sciences,Letters in spatial and resource sciences
conference::proceedings of 23rd scientific conference “scientific services & internet – 2021”,Proceedings of 23rd Scientific Conference “Scientific Services & Internet – 2021”
conference::2006 2nd international conference on information & communication technologies,2006 2nd International Conference on Information & Communication Technologies
conference::efsa supporting publications,EFSA Supporting Publications
conference::international conference on power electronics and artificial intelligence,International Conference on Power Electronics and Artificial Intelligence
conference::conference on designing for user experiences,Conference on Designing for User eXperiences
conference::advances in data mining and database management,Advances in Data Mining and Database Management
conference::telemedicine journal and e-health,Telemedicine journal and e-health
conference::european annals of otorhinolaryngology head and neck diseases,European Annals of Otorhinolaryngology Head and Neck Diseases
conference::chemcatchem,ChemCatChem
conference::international symposium on multispectral image processing and pattern recognition,International Symposium on Multispectral Image Processing and Pattern Recognition
conference::journal of low temperature physics,Journal of Low Temperature Physics
conference::international conference on contemporary computing,International Conference on Contemporary Computing
conference::2024 second international conference on data science and information system (icdsis),2024 Second International Conference on Data Science and Information System (ICDSIS)
conference::research technology management,Research technology management
conference::open information science,Open Information Science
conference::journal of applied remote sensing,Journal of Applied Remote Sensing
conference::international conference on graphic and image processing,International Conference on Graphic and Image Processing
conference::jurnal pendidikan teknologi dan kejuruan,Jurnal Pendidikan Teknologi dan Kejuruan
conference::batteries,Batteries
conference::youth academic annual conference of chinese association of automation,Youth Academic Annual Conference of Chinese Association of Automation
conference::ra journal of applied research,RA Journal Of Applied Research
conference::innovare journal of medical sciences,Innovare Journal of Medical Sciences
conference::2023 3rd international conference on innovative practices in technology and management (iciptm),2023 3rd International Conference on Innovative Practices in Technology and Management (ICIPTM)
conference::international journal of emerging trends in engineering research,International Journal of Emerging Trends in Engineering Research
conference::2025 5th international conference on expert clouds and applications (icoeca),2025 5th International Conference on Expert Clouds and Applications (ICOECA)
conference::quarterly journal of the royal meteorological society,Quarterly Journal of the Royal Meteorological Society
conference::ieee spectrum,IEEE spectrum
conference::journal of petroleum technology,Journal of Petroleum Technology
conference::indian journal of computer science and engineering,Indian Journal of Computer Science and Engineering
conference::international journal of population data science,International Journal of Population Data Science
conference::archives of virology,Archives of Virology
conference::microscopy and microanalysis,Microscopy and Microanalysis
conference::lecture notes in electrical engineering,Lecture Notes in Electrical Engineering
conference::frontiers of chemical science and engineering,Frontiers of Chemical Science and Engineering
conference::critical social policy,Critical Social Policy
"conference::2022 international conference on intelligent technology, system and service for internet of everything (itss-ioe)","2022 International Conference on Intelligent Technology, System and Service for Internet of Everything (ITSS-IoE)"
conference::international conference computing methodologies and communication,International Conference Computing Methodologies and Communication
conference::the social science,The social science
