name,volumeId,volumeNumber,year
Global Journal of Health Science,volume::global journal of health science::2014::7,7,2014
World Journal of Vocational Education and Training,volume::world journal of vocational education and training::2025::14,14,2025
IJEBD (International Journal of Entrepreneurship and Business Development),volume::ijebd (international journal of entrepreneurship and business development)::2024::5,5,2024
Journal of Oral Rehabilitation,volume::journal of oral rehabilitation::2021::19,19,2021
Multimedia tools and applications,volume::multimedia tools and applications::2018::5,5,2018
"International journal of education, learning and development","volume::international journal of education, learning and development::2024::10",10,2024
International Journal of Information Systems in the Service Sector,volume::international journal of information systems in the service sector::2026::3,3,2026
Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,volume::zhongguo yi xue ke xue yuan xue bao. acta academiae medicinae sinicae::2010::11,11,2010
arXiv.org,volume::arxiv.org::2024::18,18,2024
Journal on spesial topics in mobile networks and applications,volume::journal on spesial topics in mobile networks and applications::2021::3,3,2021
"International Journal of applied Research in Management, Economics and Accounting","volume::international journal of applied research in management, economics and accounting::2025::14",14,2025
Journal of Humanitarian Logistics and Supply Chain Management,volume::journal of humanitarian logistics and supply chain management::2023::8,8,2023
International Journal of Environmental Science,volume::international journal of environmental science::2024::4,4,2024
Management Sciences,volume::management sciences::2024::8,8,2024
Journal of Clinical Nursing,volume::journal of clinical nursing::2018::17,17,2018
Cureus,volume::cureus::2023::5,5,2023
Accounting Horizons,volume::accounting horizons::2025::9,9,2025
PLoS ONE,volume::plos one::2016::5,5,2016
Journal of social research,volume::journal of social research::2026::17,17,2026
IEEE International Symposium on Distributed Simulation and Real-Time Applications,volume::ieee international symposium on distributed simulation and real-time applications::2022::8,8,2022
Ingeniería y Universidad,volume::ingeniería y universidad::2023::20,20,2023
MANAZHIM,volume::manazhim::2024::12,12,2024
Indian Journal of Psychiatric Nursing,volume::indian journal of psychiatric nursing::2024::5,5,2024
Journal of Travel Medicine,volume::journal of travel medicine::2018::17,17,2018
Syst.,volume::syst.::2023::15,15,2023
International Journal of Lean Six Sigma,volume::international journal of lean six sigma::2025::20,20,2025
AIDS (London),volume::aids (london)::2018::14,14,2018
The Lancet Regional Health - Europe,volume::the lancet regional health - europe::2025::1,1,2025
"Jurnal Ekonomi Bisnis, Manajemen dan Akuntansi","volume::jurnal ekonomi bisnis, manajemen dan akuntansi::2022::14",14,2022
Cancer Causes and Control,volume::cancer causes and control::2022::20,20,2022
International Conference on Ultra Modern Telecommunications,volume::international conference on ultra modern telecommunications::2025::1,1,2025
Cureus,volume::cureus::2022::14,14,2022
Remote Sensing,volume::remote sensing::2025::2,2,2025
IEEE Access,volume::ieee access::2022::12,12,2022
E3S Web of Conferences,volume::e3s web of conferences::2023::19,19,2023
Cochrane Database of Systematic Reviews,volume::cochrane database of systematic reviews::2016::5,5,2016
Complex & Intelligent Systems,volume::complex & intelligent systems::2022::6,6,2022
Journal of Clinical Medicine,volume::journal of clinical medicine::2023::5,5,2023
Circulation,volume::circulation::1994::17,17,1994
Vietnam Journal of Education,volume::vietnam journal of education::2024::18,18,2024
IEEE Transactions on Nanobioscience,volume::ieee transactions on nanobioscience::2007::15,15,2007
Cardiovascular Biomedicine Journal,volume::cardiovascular biomedicine journal::2026::10,10,2026
Water resources management,volume::water resources management::2023::1,1,2023
Journal of Neurological Sciences,volume::journal of neurological sciences::2019::20,20,2019
International Brazilian Journal of Urology,volume::international brazilian journal of urology::2024::12,12,2024
International Journal of Molecular Sciences,volume::international journal of molecular sciences::2025::13,13,2025
Journal of Rawalpindi Medical College,volume::journal of rawalpindi medical college::2024::11,11,2024
International journal of multidisciplinary and scientific emerging research,volume::international journal of multidisciplinary and scientific emerging research::2025::13,13,2025
Clinical Nutrition ESPEN,volume::clinical nutrition espen::2022::11,11,2022
Journal of Systems and Information Technology,volume::journal of systems and information technology::2016::1,1,2016
Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,volume::zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi::2021::4,4,2021
IEEE International Conference on Services Computing,volume::ieee international conference on services computing::2014::13,13,2014
Journal of Extracellular Biology,volume::journal of extracellular biology::2024::8,8,2024
Sustainability,volume::sustainability::2026::1,1,2026
IEEE international Symposium on Broadband Multimedia Systems and Broadcasting,volume::ieee international symposium on broadband multimedia systems and broadcasting::2014::2,2,2014
Annals of Emergency Medicine,volume::annals of emergency medicine::1985::9,9,1985
International Journal of Research In Business and Social Science,volume::international journal of research in business and social science::2023::9,9,2023
International Journal of Computer Science in Sport,volume::international journal of computer science in sport::2021::12,12,2021
Archivio Italiano di Urologia e Andrologia,volume::archivio italiano di urologia e andrologia::2017::19,19,2017
American Journal of Obstetrics and Gynecology,volume::american journal of obstetrics and gynecology::1954::6,6,1954
Pediatric surgery international (Print),volume::pediatric surgery international (print)::2021::2,2,2021
BMC Health Services Research,volume::bmc health services research::2008::15,15,2008
American Journal of Audiology,volume::american journal of audiology::1994::17,17,1994
Journal of Vascular Surgery,volume::journal of vascular surgery::2012::8,8,2012
Journal of Clinical Medicine,volume::journal of clinical medicine::2024::12,12,2024
Interspeech,volume::interspeech::2001::18,18,2001
Atmosphere,volume::atmosphere::2023::11,11,2023
The American surgeon,volume::the american surgeon::2001::7,7,2001
RCMOS - Revista Científica Multidisciplinar O Saber,volume::rcmos - revista científica multidisciplinar o saber::2026::11,11,2026
Current Opinion in Critical Care,volume::current opinion in critical care::2022::1,1,2022
"Nutrition (Burbank, Los Angeles County, Calif.)","volume::nutrition (burbank, los angeles county, calif.)::2025::18",18,2025
Applied Clinical Informatics,volume::applied clinical informatics::2015::5,5,2015
International Journal of Communication Systems,volume::international journal of communication systems::2024::18,18,2024
JOINETECH (International Journal of Economic and Technological Studies),volume::joinetech (international journal of economic and technological studies)::2025::2,2,2025
African Journal of Primary Health Care & Family Medicine,volume::african journal of primary health care & family medicine::2021::7,7,2021
NUANSA,volume::nuansa::2023::6,6,2023
The R Journal,volume::the r journal::2017::17,17,2017
Romanian journal of morphology and embryology = Revue roumaine de morphologie et embryologie,volume::romanian journal of morphology and embryology = revue roumaine de morphologie et embryologie::2025::18,18,2025
JMIR mHealth and uHealth,volume::jmir mhealth and uhealth::2019::17,17,2019
Management Sciences,volume::management sciences::2026::14,14,2026
"2012 SC Companion: High Performance Computing, Networking Storage and Analysis","volume::2012 sc companion: high performance computing, networking storage and analysis::2012::8",8,2012
Respiratory Medicine,volume::respiratory medicine::2022::5,5,2022
Bandung Conference Series: Business and Management,volume::bandung conference series: business and management::2024::15,15,2024
International Conference on Pattern Recognition,volume::international conference on pattern recognition::2024::17,17,2024
IET Cyper-Phys. Syst.: Theory & Appl.,volume::iet cyper-phys. syst.: theory & appl.::2024::5,5,2024
East African Journal of Business and Economics,volume::east african journal of business and economics::2023::20,20,2023
J-AKSI : JURNAL AKUNTANSI DAN SISTEM INFORMASI,volume::j-aksi : jurnal akuntansi dan sistem informasi::2023::6,6,2023
Siberian Law Herald,volume::siberian law herald::2025::14,14,2025
International Journal of Scientific Research and Innovative Studies,volume::international journal of scientific research and innovative studies::2025::15,15,2025
Contemporary oncology,volume::contemporary oncology::2015::13,13,2015
Journal of Clinical Psychopharmacology,volume::journal of clinical psychopharmacology::1989::9,9,1989
"ZERO: Jurnal Sains, Matematika dan Terapan","volume::zero: jurnal sains, matematika dan terapan::2025::12",12,2025
Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,volume::zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases::2024::9,9,2024
Geo Journal of Tourism and Geosites,volume::geo journal of tourism and geosites::2024::3,3,2024
"International Journal of Advanced Research in Science, Communication and Technology","volume::international journal of advanced research in science, communication and technology::2025::2",2,2025
"Volume 6 Number 1, February 2023","volume::volume 6 number 1, february 2023::2023::20",20,2023
Global Emergency and Critical Care,volume::global emergency and critical care::2024::15,15,2024
Journal of Social Science,volume::journal of social science::2024::17,17,2024
Journal of the Medical Library Association,volume::journal of the medical library association::2018::2,2,2018
Frontiers in Pharmacology,volume::frontiers in pharmacology::2025::9,9,2025
Journal of the American College of Surgeons,volume::journal of the american college of surgeons::2015::18,18,2015
IEEE Access,volume::ieee access::2022::9,9,2022
International Nursing Review,volume::international nursing review::2021::8,8,2021
Implementation Science,volume::implementation science::2015::14,14,2015
Scientific Journal of Astana IT University,volume::scientific journal of astana it university::2024::18,18,2024
Journal of Innovative Computing and Emerging Technologies,volume::journal of innovative computing and emerging technologies::2024::19,19,2024
"Journal of Sociology, Psychology and Religious","volume::journal of sociology, psychology and religious::2023::18",18,2023
Information Security Conference,volume::information security conference::2016::1,1,2016
Journal La Multiapp,volume::journal la multiapp::2024::18,18,2024
Epsilon Journal of Management,volume::epsilon journal of management::2025::20,20,2025
Saudi Surgical Journal,volume::saudi surgical journal::2025::19,19,2025
Hawaii International Conference on System Sciences,volume::hawaii international conference on system sciences::2014::1,1,2014
International Journal of Management and Business Economics,volume::international journal of management and business economics::2023::9,9,2023
Current Treatment Options in Cardiovascular Medicine,volume::current treatment options in cardiovascular medicine::2017::18,18,2017
Big Data & Society,volume::big data & society::2019::4,4,2019
ACM '76,volume::acm '76::1976::18,18,1976
Indian Journal of Otology,volume::indian journal of otology::2023::8,8,2023
IEEE Transactions on Automation Science and Engineering,volume::ieee transactions on automation science and engineering::2026::2,2,2026
Journal of Posthumanism,volume::journal of posthumanism::2025::8,8,2025
Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,volume::chinese journal of cancer research = chung-kuo yen cheng yen chiu::2018::5,5,2018
Journal of Social Work and Science Education,volume::journal of social work and science education::2024::9,9,2024
International Journal of Social Science Humanity &amp; Management Research,volume::international journal of social science humanity &amp; management research::2025::17,17,2025
Systems Biology in Reproductive Medicine,volume::systems biology in reproductive medicine::2024::8,8,2024
Journal of Digital Business and Innovation Management,volume::journal of digital business and innovation management::2023::11,11,2023
Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,volume::journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery::2024::19,19,2024
Journal of Occupational and Environmental Hygiene,volume::journal of occupational and environmental hygiene::2015::11,11,2015
Jurnal EduHealth,volume::jurnal eduhealth::2025::1,1,2025
Journal of Ecotourism,volume::journal of ecotourism::2024::9,9,2024
Asia-Pacific journal of public health,volume::asia-pacific journal of public health::2017::16,16,2017
Conservation Biology,volume::conservation biology::2014::10,10,2014
International Journal of Speech-Language Pathology,volume::international journal of speech-language pathology::2011::8,8,2011
American Journal of Tropical Medicine and Hygiene,volume::american journal of tropical medicine and hygiene::2015::8,8,2015
IEEE Journal on Selected Areas in Communications,volume::ieee journal on selected areas in communications::2022::20,20,2022
Journal of behavioral medicine,volume::journal of behavioral medicine::2008::8,8,2008
Global Communications Conference,volume::global communications conference::2014::15,15,2014
Journal of Physiotherapy,volume::journal of physiotherapy::2023::10,10,2023
Journal of the Endocrine Society,volume::journal of the endocrine society::2023::20,20,2023
IEEE transactions on computers,volume::ieee transactions on computers::2026::11,11,2026
Journal of Global Health,volume::journal of global health::2020::1,1,2020
Journal of Animal Ecology,volume::journal of animal ecology::2020::9,9,2020
Oncology Nursing Forum,volume::oncology nursing forum::2018::2,2,2018
Journal of Diabetes and Metabolic Disorders,volume::journal of diabetes and metabolic disorders::2020::14,14,2020
International journal of social sciences and humanities,volume::international journal of social sciences and humanities::2025::10,10,2025
International Conference on Supercomputing,volume::international conference on supercomputing::1988::12,12,1988
Journal of Advances and Scholarly Researches in Allied Education,volume::journal of advances and scholarly researches in allied education::2025::13,13,2025
SJ Ophthalmology Africa,volume::sj ophthalmology africa::2026::19,19,2026
Frontiers in Neurology,volume::frontiers in neurology::2021::12,12,2021
Indonesian Journal of Accounting and Governance,volume::indonesian journal of accounting and governance::2025::5,5,2025
TIST,volume::tist::2011::9,9,2011
Vigilância Sanitária em Debate,volume::vigilância sanitária em debate::2025::9,9,2025
IEEE Systems Journal,volume::ieee systems journal::2022::5,5,2022
Journal of food science and technology,volume::journal of food science and technology::2024::10,10,2024
Practice and Experience in Advanced Research Computing,volume::practice and experience in advanced research computing::2022::17,17,2022
Annals of parasitology,volume::annals of parasitology::2021::20,20,2021
American Journal of Respiratory and Critical Care Medicine,volume::american journal of respiratory and critical care medicine::2012::15,15,2012
Social Science Research Network,volume::social science research network::2025::14,14,2025
IEEE Transactions on Instrumentation and Measurement,volume::ieee transactions on instrumentation and measurement::2024::12,12,2024
Journal of Global Oncology,volume::journal of global oncology::2016::6,6,2016
Journal of the American Medical Directors Association,volume::journal of the american medical directors association::2023::11,11,2023
Journal of Environmental Management,volume::journal of environmental management::2024::7,7,2024
Circulation Research,volume::circulation research::2019::7,7,2019
Clinical and Experimental Metastasis,volume::clinical and experimental metastasis::2011::12,12,2011
Jurnal Akuntansi Bisnis Dan Humaniora,volume::jurnal akuntansi bisnis dan humaniora::2021::18,18,2021
"ETM - Equipment,  Technologies, Materials","volume::etm - equipment,  technologies, materials::2024::3",3,2024
return,volume::return::2023::10,10,2023
World Journal of Advanced Engineering Technology and Sciences,volume::world journal of advanced engineering technology and sciences::2025::20,20,2025
Revista Recien - Revista Científica de Enfermagem,volume::revista recien - revista científica de enfermagem::2026::13,13,2026
Nakhara. Journal of environmental design and planning,volume::nakhara. journal of environmental design and planning::2025::1,1,2025
IEEE Internet of Things Journal,volume::ieee internet of things journal::2022::12,12,2022
Dependable Systems and Networks,volume::dependable systems and networks::2007::15,15,2007
Creative Surgery and Oncology,volume::creative surgery and oncology::2024::5,5,2024
Children,volume::children::2025::1,1,2025
Value : Jurnal Manajemen dan Akuntansi,volume::value : jurnal manajemen dan akuntansi::2023::8,8,2023
Ecology and Evolution,volume::ecology and evolution::2014::19,19,2014
Journal of Electrical Technology UMY,volume::journal of electrical technology umy::2025::12,12,2025
The Journal of craniofacial surgery (Print),volume::the journal of craniofacial surgery (print)::2025::18,18,2025
Drug and Alcohol Dependence Reports,volume::drug and alcohol dependence reports::2025::3,3,2025
Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,volume::eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit::2020::11,11,2020
INTERDISCIPLINARY JOURNAL ON LAW SOCIAL SCIENCES AND HUMANITIES,volume::interdisciplinary journal on law social sciences and humanities::2023::6,6,2023
Academic pediatrics,volume::academic pediatrics::2011::9,9,2011
Expert Opinion on Biological Therapy,volume::expert opinion on biological therapy::2024::6,6,2024
OncoTarget,volume::oncotarget::2016::19,19,2016
American Journal of Gastroenterology,volume::american journal of gastroenterology::2005::14,14,2005
Current Treatment Options in Pediatrics,volume::current treatment options in pediatrics::2023::9,9,2023
World Journal of Gastrointestinal Endoscopy,volume::world journal of gastrointestinal endoscopy::2011::12,12,2011
"Nephrology, Dialysis and Transplantation","volume::nephrology, dialysis and transplantation::2000::19",19,2000
Research Journal for Social Affairs,volume::research journal for social affairs::2025::6,6,2025
Journal of Taibah University Medical Sciences,volume::journal of taibah university medical sciences::2023::13,13,2023
American Journal of Respiratory and Critical Care Medicine,volume::american journal of respiratory and critical care medicine::2010::8,8,2010
Revista Alergia México,volume::revista alergia méxico::2025::8,8,2025
Acta Radiologica,volume::acta radiologica::2026::11,11,2026
"The International Conference on Education, Social Sciences and Technology (ICESST)","volume::the international conference on education, social sciences and technology (icesst)::2023::11",11,2023
Jurnal Farmasi Sandi Karsa,volume::jurnal farmasi sandi karsa::2022::8,8,2022
International Conference on 3D Technologies for the World Wide Web,volume::international conference on 3d technologies for the world wide web::2012::2,2,2012
Paediatric drugs,volume::paediatric drugs::2002::14,14,2002
MobileHCI Adjunct,volume::mobilehci adjunct::2016::4,4,2016
"International Journal of Advanced Research in Science, Communication and Technology","volume::international journal of advanced research in science, communication and technology::2025::8",8,2025
International Conference on Extending Database Technology,volume::international conference on extending database technology::2009::11,11,2009
Psychiatric quarterly,volume::psychiatric quarterly::2021::15,15,2021
BMC Health Services Research,volume::bmc health services research::2016::15,15,2016
Italian National Conference on Sensors,volume::italian national conference on sensors::2023::15,15,2023
Blood,volume::blood::2024::9,9,2024
Diabetes Technology & Therapeutics,volume::diabetes technology & therapeutics::2019::5,5,2019
International Journal of Innovative Research in Science Engineering and Technology,volume::international journal of innovative research in science engineering and technology::2023::9,9,2023
International Journal of Advanced Multidisciplinary Research and Studies,volume::international journal of advanced multidisciplinary research and studies::2026::18,18,2026
International Journal of Electronic Business,volume::international journal of electronic business::2013::17,17,2013
"SouthEast European Design Automation, Computer Engineering, Computer Networks and Social Media Conference","volume::southeast european design automation, computer engineering, computer networks and social media conference::2024::7",7,2024
Journal of the National Cancer Institute,volume::journal of the national cancer institute::2023::1,1,2023
Academic Journal of Business &amp; Management,volume::academic journal of business &amp; management::2024::10,10,2024
EPRA international journal of multidisciplinary research,volume::epra international journal of multidisciplinary research::2024::19,19,2024
IEEE transactions on intelligent transportation systems (Print),volume::ieee transactions on intelligent transportation systems (print)::2025::19,19,2025
Himalayan Journal of Nursing and Midwifery,volume::himalayan journal of nursing and midwifery::2022::17,17,2022
"IEEE International Conference on Systems, Man and Cybernetics","volume::ieee international conference on systems, man and cybernetics::2010::18",18,2010
JIIP - Jurnal Ilmiah Ilmu Pendidikan,volume::jiip - jurnal ilmiah ilmu pendidikan::2024::16,16,2024
Balkan Journal of Medical Genetics,volume::balkan journal of medical genetics::2016::2,2,2016
International Journal of the Addictions,volume::international journal of the addictions::1981::9,9,1981
International Journal of Environmental Research and Public Health,volume::international journal of environmental research and public health::2022::11,11,2022
Future Security,volume::future security::2012::3,3,2012
PLoS ONE,volume::plos one::2022::4,4,2022
European heart journal. Acute cardiovascular care,volume::european heart journal. acute cardiovascular care::2020::9,9,2020
Australian and New Zealand Journal of Surgery,volume::australian and new zealand journal of surgery::1998::7,7,1998
Revista Em Extensão,volume::revista em extensão::2025::6,6,2025
Jurnal Manajerial,volume::jurnal manajerial::2024::12,12,2024
BMJ Case Reports,volume::bmj case reports::2023::9,9,2023
Journal of renal nutrition,volume::journal of renal nutrition::2002::11,11,2002
International Journal of Analysis and Applications,volume::international journal of analysis and applications::2025::9,9,2025
Supportive Care in Cancer,volume::supportive care in cancer::2016::19,19,2016
World Conference on Information Technology,volume::world conference on information technology::2011::20,20,2011
Clinical Oral Investigations,volume::clinical oral investigations::2018::1,1,2018
IEEE International Symposium on Multimedia,volume::ieee international symposium on multimedia::2005::20,20,2005
Journal of Internal Medicine,volume::journal of internal medicine::2015::14,14,2015
Orthopedic Nursing,volume::orthopedic nursing::2019::1,1,2019
METHOMIKA Jurnal Manajemen Informatika dan Komputerisasi Akuntansi,volume::methomika jurnal manajemen informatika dan komputerisasi akuntansi::2023::1,1,2023
Journal of Zhejiang University SCIENCE C,volume::journal of zhejiang university science c::2010::1,1,2010
South African Journal of Information Management,volume::south african journal of information management::2023::17,17,2023
Communications of the Association for Information Systems,volume::communications of the association for information systems::2006::12,12,2006
International Journal of Information and Education Technology,volume::international journal of information and education technology::2025::16,16,2025
Drug Safety,volume::drug safety::2003::15,15,2003
UbiComp/ISWC Adjunct,volume::ubicomp/iswc adjunct::2018::20,20,2018
Medinfo,volume::medinfo::2019::18,18,2019
"Physical Education, Health and Social Sciences","volume::physical education, health and social sciences::2025::11",11,2025
Heart Rhythm,volume::heart rhythm::2017::3,3,2017
Journal of the Korean Society of Hazard Mitigation,volume::journal of the korean society of hazard mitigation::2025::5,5,2025
PLoS ONE,volume::plos one::2017::9,9,2017
Environmental science and pollution research international,volume::environmental science and pollution research international::2023::9,9,2023
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,volume::ieee transactions on computer-aided design of integrated circuits and systems::2024::5,5,2024
arXiv.org,volume::arxiv.org::2025::14,14,2025
Journal of Infrastructure Policy and Development,volume::journal of infrastructure policy and development::2024::6,6,2024
Environmental Health Perspectives,volume::environmental health perspectives::1995::9,9,1995
Scholarly Journal of Science and Technology Research and Development,volume::scholarly journal of science and technology research and development::2026::6,6,2026
International Journal of Medicine in Developing Countries,volume::international journal of medicine in developing countries::2025::3,3,2025
"Hematology, Transfusion and Cell Therapy","volume::hematology, transfusion and cell therapy::2023::12",12,2023
Neurologic clinics,volume::neurologic clinics::2022::11,11,2022
Diabetes,volume::diabetes::2025::13,13,2025
International Health Informatics Symposium,volume::international health informatics symposium::2012::9,9,2012
World journal for pediatric & congenital heart surgery,volume::world journal for pediatric & congenital heart surgery::2013::2,2,2013
IEEE Computer Society Annual Symposium on VLSI,volume::ieee computer society annual symposium on vlsi::2022::11,11,2022
Healthcare,volume::healthcare::2021::15,15,2021
European Heart Journal-Cardiovascular Imaging,volume::european heart journal-cardiovascular imaging::2025::17,17,2025
