from,to
000666d4ddd13757f34b87125e3b36547ce13b8c,volume::jurnal pengabdian masyarakat dan inovasi teknologi tepat guna::2025::2
00066ef07bb0d4477cd668a6b6394dad0f52315f,volume::bmc public health::2025::12
000699188d5961274ffc4138d056654a2c68219a,volume::canadian journal of psychiatry. revue canadienne de psychiatrie::1986::2
0006996f0fd7fb84a671c471b231a56a47859e2a,volume::ajr. american journal of roentgenology::2024::14
0006a90216876727c0e05dd52d36f457237b87cb,volume::the veterinary journal::2013::13
0006b1962391e7ddda51f30118aa6f7f7804574d,volume::ieee transactions on control systems technology::2026::4
0006b9966d70028a26dd4fe4200e6fa793de5b7c,volume::brain pathology::2023::17
0006d0ffd36796c07f6bd3fdebc0cc9579b27b04,volume::biosciences biotechnology research asia::2025::14
0006eac7005d71be3493898da66617542ea297ca,volume::agricultural science digest - a research journal::2025::6
00070f34910934c03888b7cb7f2391d4d339011e,volume::ieee transactions on automation science and engineering::2013::14
00072685f1221b6bb51b45c4d51c7ada3287350d,volume::clincal and experimental dermatology::2024::16
000735b98509932a8c70bbd99d75ae60b698a70c,volume::gsc advanced research and reviews::2025::19
00073db51f2ecbae6a3e88054b89d5063144da35,"volume::the journal of nutrition, health & aging::2008::16"
000743a01bbaf24d0b7b8263f681f7bfff2a6a89,volume::global journal of health science::2014::7
0007570e3b0bf86ec1e08fd6c8e812ead2938668,volume::world journal of vocational education and training::2025::14
00078b27b53f44c2a47985ee5d36d6caf1b3bd6b,volume::ijebd (international journal of entrepreneurship and business development)::2024::5
000790e6bb6ce6570565a639d5095399be898e4d,volume::journal of oral rehabilitation::2021::19
0007928487a11eef983d2291a7c9a796188e07ee,volume::multimedia tools and applications::2018::5
000793154e3204ebd60911845ebdb8649dfc14dc,"volume::international journal of education, learning and development::2024::10"
000796e6d37de878fb7dfef8c1ab0ed1519196a4,volume::international journal of information systems in the service sector::2026::3
0007ab2a6787d927fa5e6e4ee4684610e158dcd9,volume::zhongguo yi xue ke xue yuan xue bao. acta academiae medicinae sinicae::2010::11
0007b1a9083152315f5e561628ed5eca7c3fc974,volume::arxiv.org::2024::18
0007b417c3b383ac45dead1c4ca7758010246463,volume::journal on spesial topics in mobile networks and applications::2021::3
0007cab95e79798fe4352229dd435b269144fda7,"volume::international journal of applied research in management, economics and accounting::2025::14"
0007cbb5d19979c35ea23dc797b4f204d9317e16,volume::journal of humanitarian logistics and supply chain management::2023::8
0007d3583909c0b3ab15e010782170fd6fa84fc8,volume::international journal of environmental science::2024::4
0007daa32b3a6609abd9ddd815cb0ec08509796b,volume::management sciences::2024::8
0008292fe7d4d5b217e9a331d31eb9559ea82cba,volume::journal of clinical nursing::2018::17
0008564acd209b748f727e646ec25de0b171bb03,volume::cureus::2023::5
0008737ecbb7179f4035d9a3edd9531bcf0708d2,volume::accounting horizons::2025::9
0008915f0de58f6522d2fb8521a8a8b45fc8a174,volume::plos one::2016::5
0008b7dd1817906542a3cbb88a82037cbae6b6a5,volume::journal of social research::2026::17
0008d0a1f07dc095095e80b2ce9eb680d60c3934,volume::ieee international symposium on distributed simulation and real-time applications::2022::8
0008fe2176c37194f13479ec1335c383bdcd123b,volume::ingeniería y universidad::2023::20
0008ff668847db4f437c2dc40fa13a894d22eaee,volume::manazhim::2024::12
000924f9e59d2dd3b7fe1f4bd4560cae7933e484,volume::indian journal of psychiatric nursing::2024::5
000942b9c0f6a79ebb0c48e45c0936920ae03ea8,volume::journal of travel medicine::2018::17
00095a725acbdc0ac44e536a03ad0483b2965bf2,volume::syst.::2023::15
00095e92c287477f3b640675455ed5afb521a5be,volume::international journal of lean six sigma::2025::20
00095fe938ceb87b8d5ccb8e74f5fba7c3ede78e,volume::aids (london)::2018::14
000966954b77fc302bb5b3b82d83e065c348ed35,volume::the lancet regional health - europe::2025::1
000972874df4b5de9929e83b5115de66329b2deb,"volume::jurnal ekonomi bisnis, manajemen dan akuntansi::2022::14"
0009bab32ecfc31ef68375afb6b53a556995aeab,volume::cancer causes and control::2022::20
000a0d1374df550192fadd04f71b3c27c2250de1,volume::international conference on ultra modern telecommunications::2025::1
000a0d61614133772f6f13055e8ba70eb5f5cb91,volume::cureus::2022::14
000a1320a33e51f7acc2a1b22ce68b610e4c6ad9,volume::remote sensing::2025::2
000a1779aaf160a615b268d833c30cca91f55f98,volume::ieee access::2022::12
000a3a862777eda01278161a949b2ffb3f1e5186,volume::e3s web of conferences::2023::19
000a3b8789f3fb4dd2b8d7312fd5f9ec4c2f4681,volume::cochrane database of systematic reviews::2016::5
000a3bf8fda019e89e8bb3ead6ecf51d3babe5f7,volume::complex & intelligent systems::2022::6
000a3eb5709115fd87a895de78adb2994a4cbbf2,volume::journal of clinical medicine::2023::5
000a4026b47815c5c871750db9b6a95cd5520ad2,volume::circulation::1994::17
000a481ab749dc35de8b951a5ad6f408dd3752fb,volume::vietnam journal of education::2024::18
000a5b1667752a3eb6dc6306ec0ab4bf58c2c6ab,volume::ieee transactions on nanobioscience::2007::15
000a78b20d163600bad6a76a2d22089183403293,volume::cardiovascular biomedicine journal::2026::10
000a798984e1e9c9c6b16a2de5c0e9745936dd2f,volume::water resources management::2023::1
000a8c2eee051b0c4e5e217f9920aa9a703b22df,volume::journal of neurological sciences::2019::20
000aacbd055565b007854427982a77b632bf3c65,volume::international brazilian journal of urology::2024::12
000aec35c283da9098d44b98cb7f8cd131f24c7a,volume::international journal of molecular sciences::2025::13
000aefd3be93379363f37541f2af65a4850f86f8,volume::journal of rawalpindi medical college::2024::11
000b023fc4a3bbd7a0c4b93e42cdb079a970265b,volume::international journal of multidisciplinary and scientific emerging research::2025::13
000b0b749b473ab9c5a036f5a71d2f994ac237a8,volume::clinical nutrition espen::2022::11
000b12278e359c292d624a3484ebf60dc23d49af,volume::journal of systems and information technology::2016::1
000b3400f51726107976d32f458aa4c308746016,volume::zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi::2021::4
000b3f767b3ae6ead96a8f2db7bbf4b24cdcc0f4,volume::ieee international conference on services computing::2014::13
000b4015f5a8925863581dbdb88e8d68c72f66c1,volume::journal of extracellular biology::2024::8
000b451ef5e5914b5a13da536c818c1ee891fac6,volume::sustainability::2026::1
000b57e3bf70a7dfa1395d2573155a1df98098c5,volume::ieee international symposium on broadband multimedia systems and broadcasting::2014::2
000b596a5f0d637120b5eccd9435b454d43f12cc,volume::annals of emergency medicine::1985::9
000b61a3200f233dfd33132691a73b2e90c73332,volume::international journal of research in business and social science::2023::9
000b6c0acd093f9318aa9dae429278b700d8943a,volume::international journal of computer science in sport::2021::12
000b735e323dae7bae69a34928cfeebea1410146,volume::archivio italiano di urologia e andrologia::2017::19
000b80ff9c610a288d48e9bfad1cd91d3ccdb764,volume::american journal of obstetrics and gynecology::1954::6
000b85026bbe1c652e106c58e6016a0e2edb0a6f,volume::pediatric surgery international (print)::2021::2
000b9e1a12810324e1260007c870eac0b25b6023,volume::bmc health services research::2008::15
000bc639d17644a161f56c1cf4dcd4dd8100a584,volume::american journal of audiology::1994::17
000bcb97c614be833dccd62906bb8b965e91bc90,volume::journal of vascular surgery::2012::8
000c1b933105ded08f68d3282a177f82be09ec1a,volume::journal of clinical medicine::2024::12
000c317219d865ac527af8dddabc4b5322275906,volume::interspeech::2001::18
000c32abf5c8b3489edb7463da1aad06089e3aaa,volume::atmosphere::2023::11
000c37a413817807486ed33d483093a9072d4042,volume::the american surgeon::2001::7
000c509f1714737112885a528bac060ebb12747d,volume::rcmos - revista científica multidisciplinar o saber::2026::11
000c5a54c971aa9b4810ebfd9a010a9c34813b02,volume::current opinion in critical care::2022::1
000c6461454116cb02a6309440c01d140f544ecc,"volume::nutrition (burbank, los angeles county, calif.)::2025::18"
000c672b10fb2d6c85acda40929137172c1dbf01,volume::applied clinical informatics::2015::5
000c7fb1007484be803dc85dea610311a24efca0,volume::international journal of communication systems::2024::18
000c850527b2696c0bd701df0d10609cf0871791,volume::joinetech (international journal of economic and technological studies)::2025::2
000cdf8eb9aca8714b193d2f01a01a555811c4aa,volume::african journal of primary health care & family medicine::2021::7
000ce7abe26062d61f02fc3d7be127d5fb0e4549,volume::nuansa::2023::6
000ce8bb91bc94a9d8e991baca1be212509257f5,volume::the r journal::2017::17
000d03ebc59d605c52f3159b5ced27f86d0d5102,volume::romanian journal of morphology and embryology = revue roumaine de morphologie et embryologie::2025::18
000d0cf7ad39204f2b0c0be848827fcfc43bb7a9,volume::jmir mhealth and uhealth::2019::17
000d30c35ce14ae71418f440960b884cb4b65cef,volume::management sciences::2026::14
000d3c264725ef70000b19468d6665922fe1e4e1,"volume::2012 sc companion: high performance computing, networking storage and analysis::2012::8"
000d630f305adfb6541bd8db7c9c609c3e3501a4,volume::respiratory medicine::2022::5
000d6e8841640efbbea95daf4aacda7e66ed7780,volume::bandung conference series: business and management::2024::15
000d7ca93cc804237f8c48f2f5c824d8d885cfe7,volume::international conference on pattern recognition::2024::17
000d847c785ec0663bead06cd71b9ab7b013ce13,volume::iet cyper-phys. syst.: theory & appl.::2024::5
000d942e4b78f725fbe8f374c06b2bf7dd9a1a31,volume::east african journal of business and economics::2023::20
000d9d30deb3d5c2bcfee230ceac8009a3a6fafa,volume::j-aksi : jurnal akuntansi dan sistem informasi::2023::6
000dc882ca5b413ae8451b1560df5cff9cc2d107,volume::siberian law herald::2025::14
000dd83614e99a33f33193e160fb6a17d22a1749,volume::international journal of scientific research and innovative studies::2025::15
000ddc9b152203817dcd667437b9b02b2eee8646,volume::contemporary oncology::2015::13
000df9de2e5f00ce8c5c483040cb0f699b8778b1,volume::journal of clinical psychopharmacology::1989::9
000e07280ac8b7d2171d9f7f617f67f075692adc,"volume::zero: jurnal sains, matematika dan terapan::2025::12"
000e0ccb92c2fcde50f612e53515628592d4c593,volume::zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases::2024::9
000e0cfcc1cf12503cc333a9c0bdc200a9d8f493,volume::geo journal of tourism and geosites::2024::3
000e1b58950da2f3f95e5cdaba200f23ff9e20bb,"volume::international journal of advanced research in science, communication and technology::2025::2"
000e1d58fd27ec2a09817fa654c556ff11f416bf,"volume::volume 6 number 1, february 2023::2023::20"
000e61bfe00eb59d9635a30cd459e90dfa3bcd19,volume::global emergency and critical care::2024::15
000e7026f325ece09c580ce8766d8f8b31742392,volume::journal of social science::2024::17
000e7afcc06a6bb135c8d3388d83a4ae92df2acb,volume::journal of the medical library association::2018::2
000e7fa648ad0f5796f901aa7ffed7e17f66a4b7,volume::frontiers in pharmacology::2025::9
000e814d1801ea0f51d2aa7cd85a53f76977bdd7,volume::journal of the american college of surgeons::2015::18
000e925cd0b6501002bf901b09f321e03e7f9feb,volume::ieee access::2022::9
000e9310fe9826b7b7cfe576f31e9b32c6e4dc21,volume::international nursing review::2021::8
000e9e3a7b797465da2df2174530e3c05d65a2e2,volume::implementation science::2015::14
000eae6b156653cb19ce0560bfc71f40d13afce0,volume::scientific journal of astana it university::2024::18
000eb3d44b3b7e43f4221b8e974360c044cb36a0,volume::journal of innovative computing and emerging technologies::2024::19
000ebd15913520bb40dc445f5d4fced8ee75eaec,"volume::journal of sociology, psychology and religious::2023::18"
000ec009327ba4b9704e1c2604fb18dba1acdcb3,volume::information security conference::2016::1
000ec3d0ad8d37dd46f80a06f839737953b3f4ab,volume::journal la multiapp::2024::18
000ec4ba715525170b0d38cb443d95a97dc2790b,volume::epsilon journal of management::2025::20
000eda2066e54fefc7bc90e55085e05f40caaa4d,volume::saudi surgical journal::2025::19
000efc005000af84fc2ed68f0d4ea1903890ce30,volume::hawaii international conference on system sciences::2014::1
000f20d7d148478631aa9428bfc5b26a9ebd1517,volume::international journal of management and business economics::2023::9
000f2c78256dea3d475a2d07b112adbb7438044f,volume::current treatment options in cardiovascular medicine::2017::18
000f4079fb3f5463ce7f5e566b541fec68a91f02,volume::big data & society::2019::4
000f55addfa09e529a934f828e97657a32fc0680,volume::acm '76::1976::18
000f5df68118221f25cfef878c3c5979e9dc546c,volume::indian journal of otology::2023::8
000f90dfaa72bd8924efc58dcae50ff3319c117e,volume::ieee transactions on automation science and engineering::2026::2
000f9f0094ca858c0974d9ee8cbc7c8f19dcebdc,volume::journal of posthumanism::2025::8
000fbeece09a6dbb5c79fa5848c72cf9b7f560f0,volume::chinese journal of cancer research = chung-kuo yen cheng yen chiu::2018::5
000fde305bf1dfac3eb698ee0f522518e2aee7e6,volume::journal of social work and science education::2024::9
00101d16a605c67fc5acf90098147303bbaf484f,volume::international journal of social science humanity &amp; management research::2025::17
00103e0d11b546c73b472cdd5b7cd2a0472c8819,volume::systems biology in reproductive medicine::2024::8
001051573399311edcf580e302832796b7f9e134,volume::journal of digital business and innovation management::2023::11
00108f632d691f9e2fd9332235a2147c1c6e1a0b,volume::journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery::2024::19
0010c328ecc70ecd09fcfb76a479c85b70c4e16e,volume::journal of occupational and environmental hygiene::2015::11
0010f8de917d26260357848815bda9bd1a30a1c7,volume::jurnal eduhealth::2025::1
0010f8e6ce6142a56bc7851f63ee147dff513dc2,volume::journal of ecotourism::2024::9
0010fd932127a4eea5a6e1c9ab5f233d79ee9bdd,volume::asia-pacific journal of public health::2017::16
0010fec6d2f14e5f26fbe7928c92af85791075d5,volume::conservation biology::2014::10
00114953b2f431cd3829780f03a203259eb938ac,volume::international journal of speech-language pathology::2011::8
001151e47c44ec7e6271540ef57de77fa41e4139,volume::american journal of tropical medicine and hygiene::2015::8
00116542297f6014b28a7ae2874c7ca02cf89988,volume::ieee journal on selected areas in communications::2022::20
0011aebbb0d552228445c0a9d637ec5688834d95,volume::journal of behavioral medicine::2008::8
0011b05d11e77249b8f8371c6eb6ffeae4babeb9,volume::global communications conference::2014::15
0011b9fac3be27c4441beed82e3134169af9039b,volume::journal of physiotherapy::2023::10
0011bb72b3b767025c79a03c38ab774f003b355b,volume::journal of the endocrine society::2023::20
0011c9a361e966b0aeeffee2305893b6b9cac220,volume::ieee transactions on computers::2026::11
0011e97cc4fef044fc30fa6aa2a2848780bba9cb,volume::journal of global health::2020::1
00120e6da158e44fd5288f8d0ecaab8d33916111,volume::journal of animal ecology::2020::9
001241267cd809f661adbee7bbb431b7e589012a,volume::oncology nursing forum::2018::2
001250a59b67453e5d4ea5622afab5f4ae8d72d0,volume::journal of diabetes and metabolic disorders::2020::14
0012534f19f73f56ba99898a793302bda5412edb,volume::international journal of social sciences and humanities::2025::10
001286790db5a2bd858a2bc6e6102cb3cf3c30f1,volume::international conference on supercomputing::1988::12
0012ae422e06edbc012856646d92d2478ea59216,volume::journal of advances and scholarly researches in allied education::2025::13
0012b53d48b1bbaa349d493f211c5e918f81efed,volume::sj ophthalmology africa::2026::19
0012c20af74a2be116f6cf4353e295215a58f9b6,volume::frontiers in neurology::2021::12
0012cd4aa0b2c24ac601cc98222c96abeb6c4543,volume::indonesian journal of accounting and governance::2025::5
0012d8d140572835f6cefa4e190de200ad1d80fc,volume::tist::2011::9
00133aad4d2fb9437501e58a5a5cd7c09826e0ce,volume::vigilância sanitária em debate::2025::9
00134758fb0528f257da48789213b0595350b3de,volume::ieee systems journal::2022::5
001368e99c02e58177da549620b453dcbf0930e6,volume::journal of food science and technology::2024::10
001380b07e1b7a7294bd1d21d4907856d90de981,volume::practice and experience in advanced research computing::2022::17
0013948cf1c4b854315a6784363cebadf3828391,volume::annals of parasitology::2021::20
0013b926bcae5bbe1c544923ec9b8e0dcbc982e6,volume::american journal of respiratory and critical care medicine::2012::15
0013d8982a2b18ba5ca7a187ab1b00adfa6b4538,volume::social science research network::2025::14
0013e62134573f0bc2bdc696e31f466ea592bb44,volume::ieee transactions on instrumentation and measurement::2024::12
0013e7a658b87df2d002e0ae17f2a59d8e6bd3eb,volume::journal of global oncology::2016::6
001409d37a50419092b9da15701b11930f5b2567,volume::journal of the american medical directors association::2023::11
0014109bf6b855a86e01f9d8ff1167f951b81c3a,volume::journal of environmental management::2024::7
0014395a05e02c55bb0fd7ccaadd12307e71fae9,volume::circulation research::2019::7
0014502870c3a0a6fce4a2f70dd05c518b125424,volume::clinical and experimental metastasis::2011::12
001472c957337b14534c1204d3e800f0f3356a0e,volume::jurnal akuntansi bisnis dan humaniora::2021::18
00147577856ce18c8c6ff297b146c7addd79d640,"volume::etm - equipment,  technologies, materials::2024::3"
0014946cb2b0ce4ebe3125bd894cf9f46fbb6544,volume::return::2023::10
0014c26f9004a2f1b8e9d858c7f82ae779787b9f,volume::world journal of advanced engineering technology and sciences::2025::20
0014c3950a22caba50e2eeb527fce5134d2fbad4,volume::revista recien - revista científica de enfermagem::2026::13
0014c856aefab0cccaa8e0411f9c2263929021e6,volume::nakhara. journal of environmental design and planning::2025::1
0014ccd02a39fefba50ecf84eacd887cdc0891b5,volume::ieee internet of things journal::2022::12
0014d9f08f92f383d3292e59969c25197233f68c,volume::dependable systems and networks::2007::15
0014db39720fd4dd5c2c6dcef74caa2acf12aa83,volume::creative surgery and oncology::2024::5
0014e61915ccc14144169ef146c90957b8558fef,volume::children::2025::1
00154352656757824111282e1cffcb3f1bbe6021,volume::value : jurnal manajemen dan akuntansi::2023::8
0015959d8e7aac309aa5cb344860b2a0a8448338,volume::ecology and evolution::2014::19
0015bd8b1838a487ef64fe9825d440db8553b394,volume::journal of electrical technology umy::2025::12
0015ea53e3dddab51ce7c0f3563ba42b1d939fce,volume::the journal of craniofacial surgery (print)::2025::18
0015f305395d04197851e7af6cf4e2279f692ab1,volume::drug and alcohol dependence reports::2025::3
00160029c21872aa16c3a3b11312462a9c4ab195,volume::eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit::2020::11
0016171d60614a7b246aac0a31140a7ca453ce41,volume::interdisciplinary journal on law social sciences and humanities::2023::6
0016301d06aa2a2a19a85856616b0cb0d2915e73,volume::academic pediatrics::2011::9
001631b501fd1b1f331da6a9a2a7b336f4f52edc,volume::expert opinion on biological therapy::2024::6
00164061befbba0676906a4077256fb6faf3d9bd,volume::oncotarget::2016::19
001695e751e8a392148475c21083ca10c8a5adb2,volume::american journal of gastroenterology::2005::14
001697066e2ca01bdf529a399c41077ab6505492,volume::current treatment options in pediatrics::2023::9
0016bd7f310dccfc795cc730bb98cc473e578d9b,volume::world journal of gastrointestinal endoscopy::2011::12
0016c8ecebd4b81c2f68c70d3f63ce45fa491e08,"volume::nephrology, dialysis and transplantation::2000::19"
0016d4d2c156adce11551d1cc58ac4de244b83db,volume::research journal for social affairs::2025::6
0016e92259b6a94f4fd249dcbede43ec15aeddd6,volume::journal of taibah university medical sciences::2023::13
0016ff5aa1ce439fdb849a8d8489cc27504fc308,volume::american journal of respiratory and critical care medicine::2010::8
00171210f1aff34429a018fd0bb2a97e40f7270e,volume::revista alergia méxico::2025::8
0017b2a42c7a871dbd8398e67de4908c3a471e39,volume::acta radiologica::2026::11
0017d695f5f6fd9e6e5029c668c0470d66c1b358,"volume::the international conference on education, social sciences and technology (icesst)::2023::11"
0017ee188fbb2c00c26738dc85b0e0dbfdc4e642,volume::jurnal farmasi sandi karsa::2022::8
0017f3d30ef854039139acef842098c91e6ba279,volume::international conference on 3d technologies for the world wide web::2012::2
001808d9fb97218c3d22a53373a5c67bf53a3610,volume::paediatric drugs::2002::14
00181a2610218b83da58c432819d979e413d2c78,volume::mobilehci adjunct::2016::4
00182f6dd8439e57642e455e077802391e8afc1c,"volume::international journal of advanced research in science, communication and technology::2025::8"
001843be63a71538db549c4d5726c24d17fcbfe2,volume::international conference on extending database technology::2009::11
00185166ad7af3256f993c7975352e6ecd6c58c2,volume::psychiatric quarterly::2021::15
0018577924883362a30317cfd0adce0246df29a1,volume::bmc health services research::2016::15
00186799f106a63645e58ac39e6402e50470050d,volume::italian national conference on sensors::2023::15
00186b48211de59774cafa22edf4679dea92e7fa,volume::blood::2024::9
001871b915babca730ef70aa081772d3759de400,volume::diabetes technology & therapeutics::2019::5
00187d19b25733bb719036b272b4d5c79fcde8ba,volume::international journal of innovative research in science engineering and technology::2023::9
0018a9402d160863a887a1fc4e37b4df5c7907e8,volume::international journal of advanced multidisciplinary research and studies::2026::18
0018ab13e07aa4e797f3f11c87422623bef011f3,volume::international journal of electronic business::2013::17
0018b429dcab2ff40183ee5f0226ab1183f7bdda,"volume::southeast european design automation, computer engineering, computer networks and social media conference::2024::7"
0018bba81b8c3e51c700bdb2beb4500a4addef82,volume::journal of the national cancer institute::2023::1
0018ec8f3bd1682ec92f552521d4755aaf2ad609,volume::academic journal of business &amp; management::2024::10
0018f25cd47fdfb59642b5914a70f1620b127ba1,volume::epra international journal of multidisciplinary research::2024::19
00193d1b0f59eebcd4b37a0a7d293eb60412a5e8,volume::ieee transactions on intelligent transportation systems (print)::2025::19
0019782baae3f1fd299688016948986bbe0c01cb,volume::himalayan journal of nursing and midwifery::2022::17
