city,editionId,name,year
Sydney,edition::revista argentina de cardiología::2018,Revista Argentina de Cardiología,2018
Singapore,edition::tree genetics & genomes::2014,Tree Genetics & Genomes,2014
Barcelona,edition::osteoporosis international::2017,Osteoporosis International,2017
Sydney,edition::european journal of forest research::2012,European Journal of Forest Research,2012
Sydney,edition::nature genetics::1998,Nature Genetics,1998
Paris,edition::revista amazonía investiga::2021,Revista Amazonía investiga,2021
Tokyo,edition::proceedings of the 6th international conference on management science and management innovation (msmi 2019)::2019,Proceedings of the 6th International Conference on Management Science and Management Innovation (MSMI 2019),2019
Barcelona,edition::international workshop on quality of service::2010,International Workshop on Quality of Service,2010
Barcelona,edition::2025 7th international conference on electrical engineering and control technologies (ceect)::2025,2025 7th International Conference on Electrical Engineering and Control Technologies (CEECT),2025
New York,"edition::international conference on wireless communications, networking and mobile computing::2008","International Conference on Wireless Communications, Networking and Mobile Computing",2008
Singapore,edition::zbornik radova::2024,Zbornik radova,2024
New York,edition::bmj global health::2016,BMJ Global Health,2016
Sydney,edition::revista interamericana de bibliotecología::2018,Revista Interamericana de Bibliotecología,2018
Paris,edition::indian journal of gastroenterology::2021,Indian Journal of Gastroenterology,2021
Sydney,edition::cases on digital strategies and management issues in modern organizations::2022,Cases on Digital Strategies and Management Issues in Modern Organizations,2022
Tokyo,edition::journal of pure and applied microbiology::2021,Journal of Pure and Applied Microbiology,2021
Berlin,edition::international journal of academic research in business and social sciences::2019,International Journal of Academic Research in Business and Social Sciences,2019
London,edition::jurnal teknologi  dan sistem informasi bisnis::2021,Jurnal Teknologi  Dan Sistem Informasi Bisnis,2021
Berlin,edition::new directions in cultural policy research::2021,New Directions in Cultural Policy Research,2021
Sydney,edition::asia pacific journal of tourism research::2018,Asia Pacific Journal of Tourism Research,2018
Singapore,"edition::international conference on intelligent transportation, big data and smart city::2020","International Conference on Intelligent Transportation, Big Data and Smart City",2020
New York,edition::international journal of ethics and systems::2021,International Journal of Ethics and Systems,2021
New York,edition::gut::2012,Gut,2012
Tokyo,edition::hydrobiologia::2005,Hydrobiologia,2005
London,edition::pharmaceutical medicine::2020,Pharmaceutical Medicine,2020
Barcelona,edition::ieee conference of russian young researchers in electrical and electronic engineering::2019,IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering,2019
Sydney,edition::international journal of advances in scientific research and engineering::2019,International Journal of Advances in Scientific Research and Engineering,2019
Tokyo,edition::african journal of range and forage science::2020,African Journal of Range and Forage Science,2020
London,edition::hydrobiologia::2002,Hydrobiologia,2002
Berlin,edition::simulations in medicine::2020,Simulations in Medicine,2020
Singapore,edition::le journal de la renaissance::2018,Le Journal de la Renaissance,2018
London,edition::aquatic sciences::2015,Aquatic Sciences,2015
Tokyo,edition::anesthesia and analgesia::1999,Anesthesia and Analgesia,1999
Tokyo,edition::journal of contingencies and crisis management::2020,Journal of Contingencies and Crisis Management,2020
London,edition::highlights in science engineering and technology::2022,Highlights in Science Engineering and Technology,2022
Sydney,"edition::2012 international conference on smart grid technology, economics and policies (sg-tep)::2012","2012 International Conference on Smart Grid Technology, Economics and Policies (SG-TEP)",2012
Sydney,edition::agricultural water management::2018,Agricultural Water Management,2018
Sydney,edition::international journal artificial intelligent and informatics::2018,International Journal Artificial Intelligent and Informatics,2018
Berlin,edition::jurnal basicedu::2021,Jurnal Basicedu,2021
Singapore,edition::south florida journal of development::2021,South Florida Journal of Development,2021
Singapore,edition::thermal science::2020,Thermal Science,2020
Tokyo,edition::international journal of advanced research::2023,International Journal of Advanced Research,2023
Sydney,edition::sustainability::2021,Sustainability,2021
London,edition::teaching english and language learning english journal (telle)::2021,Teaching English and Language Learning English Journal (TELLE),2021
Paris,edition::bmj supportive & palliative care::2014,BMJ Supportive & Palliative Care,2014
Singapore,edition::journal of pharmaceutical research international::2021,Journal of Pharmaceutical Research International,2021
Singapore,edition::journal of soil and water conservation::2019,Journal of Soil and Water Conservation,2019
Tokyo,edition::pharmaceutical & diagnostic innovation::2012,Pharmaceutical & Diagnostic Innovation,2012
Tokyo,"edition::journal of the geographical institute jovan cvijic, sasa::2019","Journal of the Geographical Institute Jovan Cvijic, SASA",2019
Sydney,edition::ssr institute of international journal of life sciences::2019,SSR Institute of International Journal of Life Sciences,2019
Berlin,edition::agricultural science::2021,Agricultural Science,2021
Paris,edition::e3s web of conferences::2020,E3S Web of Conferences,2020
Barcelona,edition::american journal of perinatology reports::2019,American Journal of Perinatology Reports,2019
Sydney,edition::british medical journal::2003,British medical journal,2003
Barcelona,edition::2025 ieee 5th international conference on sustainable energy and future electric transportation (sefet)::2025,2025 IEEE 5th International Conference on Sustainable Energy and Future Electric Transportation (SEFET),2025
Sydney,edition::cdmw '12::2012,CDMW '12,2012
New York,"edition::synergizing management, technology and innovation in generating sustainable and competitive business growth::2021","Synergizing Management, Technology and Innovation in Generating Sustainable and Competitive Business Growth",2021
Sydney,"edition::the journal of nutrition, health & aging::2020","The Journal of Nutrition, Health & Aging",2020
Tokyo,edition::proceedings of the 2024 6th blockchain and internet of things conference::2024,Proceedings of the 2024 6th Blockchain and Internet of Things Conference,2024
Tokyo,edition::biodiversity information science and standards::2019,Biodiversity Information Science and Standards,2019
Paris,edition::iforest : biogeosciences and forestry::2018,iForest : Biogeosciences and Forestry,2018
Sydney,"edition::2025 2nd international conference on software, systems and information technology (ssitcon)::2025","2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)",2025
New York,edition::rheumatology::2019,Rheumatology,2019
Barcelona,"edition::sustainability accounting, management and policy journal::2023","Sustainability Accounting, Management and Policy Journal",2023
New York,edition::north american journal of fisheries management::2018,North American Journal of Fisheries Management,2018
London,edition::iop conference series: earth and environment::2019,IOP Conference Series: Earth and Environment,2019
Tokyo,edition::cureus::2021,Cureus,2021
Singapore,edition::free radical biology & medicine::2020,Free Radical Biology & Medicine,2020
Barcelona,edition::cardiovascular and interventional radiology::2017,Cardiovascular and Interventional Radiology,2017
Sydney,edition::water::2020,Water,2020
Berlin,edition::abi-technik::2021,ABI-Technik,2021
London,"edition::industrielle beziehungen. zeitschrift für arbeit, organisation und management::2022","Industrielle Beziehungen. Zeitschrift für Arbeit, Organisation und Management",2022
New York,edition::technical  mechanics::2021,Technical  mechanics,2021
Tokyo,edition::proceedings of the international academic conference on frontiers in social sciences and management innovation (iafsm 2019)::2020,Proceedings of the International Academic Conference on Frontiers in Social Sciences and Management Innovation (IAFSM 2019),2020
Singapore,edition::proceedings of the 29th eg-ice international workshop on intelligent computing in engineering::2022,Proceedings of the 29th EG-ICE International Workshop on Intelligent Computing in Engineering,2022
Barcelona,edition::encyclopedia of personality and individual differences::2020,Encyclopedia of Personality and Individual Differences,2020
Sydney,edition::future foods::2021,Future Foods,2021
Tokyo,edition::international journal of current science research and review::2022,International Journal of Current Science Research and Review,2022
Sydney,edition::international conference on measuring technology and mechatronics automation::2016,International Conference on Measuring Technology and Mechatronics Automation,2016
New York,edition::information security solutions europe::2012,Information Security Solutions Europe,2012
Singapore,edition::e3s web of conferences::2021,E3S Web of Conferences,2021
Sydney,edition::systems and information engineering design symposium::2024,Systems and Information Engineering Design Symposium,2024
Paris,"edition::2021 9th international conference on reliability, infocom technologies and optimization (trends and future directions) (icrito)::2021","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",2021
Tokyo,edition::the jps jewish heritage torah commentary::2021,The JPS Jewish Heritage Torah Commentary,2021
Paris,edition::2017 23rd annual international conference in advanced computing and communications (adcom)::2017,2017 23RD Annual International Conference in Advanced Computing and Communications (ADCOM),2017
Tokyo,edition::ieee international conference on industrial engineering and engineering management::2009,IEEE International Conference on Industrial Engineering and Engineering Management,2009
Singapore,edition::energies::2018,Energies,2018
New York,edition::applied sciences::2020,Applied Sciences,2020
Singapore,edition::international journal of technology assessment in health care::2019,International Journal of Technology Assessment in Health Care,2019
Berlin,edition::agronomy::2020,Agronomy,2020
Paris,"edition::2023 ieee international conference on electrical, automation and computer engineering (iceace)::2023","2023 IEEE International Conference on Electrical, Automation and Computer Engineering (ICEACE)",2023
Tokyo,edition::international conference on industrial mechatronics and automation::2010,International Conference on Industrial Mechatronics and Automation,2010
Paris,edition::gut::2022,Gut,2022
London,edition::journal of applied ecology::2020,Journal of Applied Ecology,2020
New York,edition::british journal of healthcare management::2021,British Journal of Healthcare Management,2021
Sydney,edition::journal of hydrology::2018,Journal of Hydrology,2018
Sydney,edition::2012 international conference on computer vision in remote sensing::2012,2012 International Conference on Computer Vision in Remote Sensing,2012
Sydney,edition::designs::2022,Designs,2022
Berlin,edition::innovation in aging::2019,Innovation in aging,2019
Paris,edition::photonics europe::2010,Photonics Europe,2010
Barcelona,edition::coral reefs::2005,Coral reefs,2005
London,edition::herpetological monographs::2017,Herpetological Monographs,2017
Tokyo,edition::biorxiv::2019,bioRxiv,2019
Barcelona,edition::proceedings of the international scientific and practical conference strategy of development of regional ecosystems “education-science-industry” (ispcr 2021)::2022,Proceedings of the International Scientific and Practical Conference Strategy of Development of Regional Ecosystems “Education-Science-Industry” (ISPCR 2021),2022
Sydney,edition::asian journal of agricultural extension economics & sociology::2019,Asian Journal of Agricultural Extension Economics & Sociology,2019
New York,edition::journal of physics: conference series::2019,Journal of Physics: Conference Series,2019
Barcelona,edition::british journal of surgery::2022,British Journal of Surgery,2022
Berlin,edition::chemical engineering research & design::2018,Chemical engineering research & design,2018
Paris,edition::pakistan journal of medical &amp; health sciences::2022,Pakistan Journal of Medical &amp; Health Sciences,2022
Paris,edition::proceedings of the 2025 international conference on economic management and big data application::2025,Proceedings of the 2025 International Conference on Economic Management and Big Data Application,2025
Singapore,edition::archives of physical medicine and rehabilitation::2022,Archives of Physical Medicine and Rehabilitation,2022
Paris,edition::logistik im wandel der zeit – von der produktionssteuerung zu vernetzten supply chains::2019,Logistik im Wandel der Zeit – Von der Produktionssteuerung zu vernetzten Supply Chains,2019
Berlin,edition::international conference on recent trends in information technology::2011,International Conference on Recent Trends in Information Technology,2011
Sydney,edition::journal of lightwave technology::2016,Journal of Lightwave Technology,2016
Tokyo,edition::geological society london engineering geology special publications::1996,Geological Society London Engineering Geology Special Publications,1996
New York,edition::2024 opju international technology conference (otcon) on smart computing for innovation and advancement in industry 4.0::2024,2024 OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 4.0,2024
Barcelona,edition::2025 world skills conference on universal data analytics and sciences (worldsuas)::2025,2025 World Skills Conference on Universal Data Analytics and Sciences (WorldSUAS),2025
New York,edition::neurology clinical practice::2017,Neurology Clinical Practice,2017
Barcelona,edition::veterinary anatomy and physiology::2019,Veterinary Anatomy and Physiology,2019
Paris,"edition::2021 joint international conference on digital arts, media and technology with ecti northern section conference on electrical, electronics, computer and telecommunication engineering::2021","2021 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering",2021
Tokyo,edition::european urology::2011,European Urology,2011
Barcelona,edition::2023 8th international conference on cloud computing and big data analytics (icccbda)::2023,2023 8th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),2023
Berlin,edition::czech journal of civil engineering::2017,Czech Journal of Civil Engineering,2017
Singapore,edition::international journal of entertainment technology and management::2020,International Journal of Entertainment Technology and Management,2020
Barcelona,edition::international symposium on medical simulation::2013,International Symposium on Medical Simulation,2013
London,edition::online international conference on green engineering and technologies::2016,Online International Conference on Green Engineering and Technologies,2016
New York,"edition::proceedings. 2005 ieee intelligent transportation systems, 2005.::2005","Proceedings. 2005 IEEE Intelligent Transportation Systems, 2005.",2005
Tokyo,edition::international conference on advanced communication technology::2008,International Conference on Advanced Communication Technology,2008
New York,edition::2025 11th international conference on wireless and telematics (icwt)::2025,2025 11th International Conference on Wireless and Telematics (ICWT),2025
Tokyo,edition::asian test symposium::2018,Asian Test Symposium,2018
New York,edition::international journal of computer trends and technology::2019,International Journal of Computer Trends and Technology,2019
London,"edition::international conference on cryptography, security and privacy::2015","International Conference on Cryptography, Security and Privacy",2015
Singapore,edition::open forum infectious diseases::2019,Open Forum Infectious Diseases,2019
New York,edition::ieee india conference::2013,IEEE India Conference,2013
Singapore,edition::international workshop on the semantic web::2013,International Workshop on the Semantic Web,2013
Barcelona,edition::international conference on informatics and analytics::2008,International Conference on Informatics and Analytics,2008
Barcelona,edition::sustainability science::2020,Sustainability Science,2020
Barcelona,edition::world congress on information and communication technologies::2011,World Congress on Information and Communication Technologies,2011
Barcelona,"edition::international workshop on databases, information systems, and peer-to-peer computing::2005","International Workshop on Databases, Information Systems, and Peer-to-Peer Computing",2005
New York,edition::icpr workshops::2021,ICPR Workshops,2021
Barcelona,edition::international conference on advances in ict for emerging regions::2016,International Conference on Advances in ICT for Emerging Regions,2016
Berlin,edition::acm sigspatial international workshop on advances in geographic information systems::2011,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,2011
Berlin,edition::international workshop on semantic evaluation::2022,International Workshop on Semantic Evaluation,2022
London,edition::2007 ieee international workshop on databases for next generation researchers::2007,2007 IEEE International Workshop on Databases for Next Generation Researchers,2007
Singapore,edition::acm sigspatial international workshop on advances in geographic information systems::2002,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,2002
Tokyo,edition::workshop on computational geometry::1991,Workshop on Computational Geometry,1991
Sydney,edition::2021 2nd international conference on secure cyber computing and communications (icsccc)::2021,2021 2nd International Conference on Secure Cyber Computing and Communications (ICSCCC),2021
New York,edition::journal of clinical oncology::2019,Journal of Clinical Oncology,2019
London,edition::international conference on neural networks and brain::2005,International Conference on Neural Networks and Brain,2005
London,edition::2014 ieee international conference on data mining workshop::2014,2014 IEEE International Conference on Data Mining Workshop,2014
Sydney,"edition::international conference on modeling, simulation, and applied optimization::2017","International Conference on Modeling, Simulation, and Applied Optimization",2017
Barcelona,edition::annals of internal medicine::1993,Annals of Internal Medicine,1993
Singapore,edition::international conferences on biomedical and bioinformatics engineering::2009,International Conferences on Biomedical and Bioinformatics Engineering,2009
Berlin,edition::encyclopedia of data warehousing and mining::2009,Encyclopedia of Data Warehousing and Mining,2009
Berlin,edition::confluence::2020,Confluence,2020
Singapore,edition::2015 international conference on pervasive computing (icpc)::2015,2015 International Conference on Pervasive Computing (ICPC),2015
Paris,edition::proceedings of the sriwijaya international conference on information technology and its applications (siconian 2019)::2020,Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019),2020
Berlin,edition::proceedings of 7th international conference and workshop on database and expert systems applications: dexa 96::1996,Proceedings of 7th International Conference and Workshop on Database and Expert Systems Applications: DEXA 96,1996
Berlin,edition::smart::2023,SMART,2023
Sydney,edition::2022 3rd international conference on smart electronics and communication (icosec)::2022,2022 3rd International Conference on Smart Electronics and Communication (ICOSEC),2022
Tokyo,edition::yoga mimamsa::2022,Yoga Mimamsa,2022
London,edition::proceedings. the ieee 5th international conference on intelligent transportation systems::2002,Proceedings. The IEEE 5th International Conference on Intelligent Transportation Systems,2002
Barcelona,edition::2012 second international workshop on developing tools as plug-ins (topi)::2012,2012 Second International Workshop on Developing Tools as Plug-Ins (TOPI),2012
Singapore,"edition::day 3 thu, may 09, 2024::2024","Day 3 Thu, May 09, 2024",2024
Sydney,edition::2024 ieee international conference on intelligent signal processing and effective communication technologies (inspect)::2024,2024 IEEE International Conference on Intelligent Signal Processing and Effective Communication Technologies (INSPECT),2024
New York,edition::journal of clinical oncology::2021,Journal of Clinical Oncology,2021
New York,edition::proceedings of the 4th international workshop on knowledge-augmented methods for natural language processing::2025,Proceedings of the 4th International Workshop on Knowledge-Augmented Methods for Natural Language Processing,2025
Sydney,edition::big data in bioeconomy::2021,Big Data in Bioeconomy,2021
Singapore,edition::2016 advances in wireless and optical communications (rtuwo)::2016,2016 Advances in Wireless and Optical Communications (RTUWO),2016
Barcelona,edition::lecture notes in computer science::2016,Lecture Notes in Computer Science,2016
Singapore,edition::pharmacy world & science::2004,Pharmacy World & Science,2004
Sydney,"edition::2025 6th international conference on big data, artificial intelligence and internet of things engineering (icbaie)::2025","2025 6th International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",2025
Sydney,edition::international conference intelligent computing and control systems::2023,International Conference Intelligent Computing and Control Systems,2023
Berlin,edition::spie defense + commercial sensing::2003,SPIE Defense + Commercial Sensing,2003
New York,edition::2021 ieee international conference on artificial intelligence and computer applications (icaica)::2021,2021 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA),2021
Berlin,edition::acm sigspatial international workshop on advances in geographic information systems::1998,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,1998
Sydney,edition::oceans::2009,Oceans,2009
London,edition::ieee india conference::2016,IEEE India Conference,2016
London,edition::abstracts of the ica::2019,Abstracts of the ICA,2019
New York,edition::2022 international conference on electronics and renewable systems (icears)::2022,2022 International Conference on Electronics and Renewable Systems (ICEARS),2022
Barcelona,edition::journal of clinical oncology::2023,Journal of Clinical Oncology,2023
Barcelona,edition::confluence::2019,Confluence,2019
London,edition::journal of optometry::2022,Journal of Optometry,2022
New York,edition::2022 global reliability and prognostics and health management (phm-yantai)::2022,2022 Global Reliability and Prognostics and Health Management (PHM-Yantai),2022
Tokyo,edition::2011 ieee international conference on bioinformatics and biomedicine workshops (bibmw)::2011,2011 IEEE International Conference on Bioinformatics and Biomedicine Workshops (BIBMW),2011
Singapore,edition::proceedings. tenth international workshop on database and expert systems applications. dexa 99::1999,Proceedings. Tenth International Workshop on Database and Expert Systems Applications. DEXA 99,1999
Sydney,edition::international journal of computer trends and technology::2018,International Journal of Computer Trends and Technology,2018
Berlin,edition::bmc neuroscience::2012,BMC Neuroscience,2012
Singapore,edition::ankara hacı bayram veli üniversitesi i̇ktisadi ve i̇dari bilimler fakültesi dergisi::2022,Ankara Hacı Bayram Veli Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi,2022
Tokyo,edition::international workshop on document analysis systems::2016,International Workshop on Document Analysis Systems,2016
London,edition::applied sciences::2023,Applied Sciences,2023
New York,edition::2024 6th international conference on frontier technologies of information and computer (icftic)::2024,2024 6th International Conference on Frontier Technologies of Information and Computer (ICFTIC),2024
Barcelona,edition::asset analytics::2019,Asset Analytics,2019
Sydney,edition::international workshop on multiple classifier systems::2010,International Workshop on Multiple Classifier Systems,2010
London,edition::circulation::2020,Circulation,2020
Paris,edition::blood::2018,Blood,2018
London,edition::ieee joint international information technology and artificial intelligence conference::2020,IEEE Joint International Information Technology and Artificial Intelligence Conference,2020
Paris,edition::otm workshops::2004,OTM Workshops,2004
Sydney,edition::geofluids::2021,Geofluids,2021
Sydney,edition::2012 ieee symposium on robotics and applications (isra)::2012,2012 IEEE Symposium on Robotics and Applications (ISRA),2012
New York,edition::international journal for research in applied science and engineering technology::2019,International Journal for Research in Applied Science and Engineering Technology,2019
New York,edition::international journal of retail & distribution management::2021,International Journal of Retail & Distribution Management,2021
Tokyo,edition::environmental evidence::2021,Environmental Evidence,2021
Barcelona,edition::asia pacific symposium on intelligent and evolutionary systems::2025,Asia Pacific Symposium on Intelligent and Evolutionary Systems,2025
Berlin,edition::new trends of research in ontologies and lexical resources::2013,New Trends of Research in Ontologies and Lexical Resources,2013
London,edition::lecture notes in computer science::2015,Lecture Notes in Computer Science,2015
New York,edition::academic psychiatry::2022,Academic Psychiatry,2022
London,edition::frontiers in education conference::2025,Frontiers in Education Conference,2025
Paris,edition::east/west database workshop::1990,East/West Database Workshop,1990
Sydney,edition::defense + commercial sensing::2012,Defense + Commercial Sensing,2012
London,edition::international workshop on the semantic web::2008,International Workshop on the Semantic Web,2008
Tokyo,edition::indonesian journal of electrical engineering and computer science::2019,Indonesian Journal of Electrical Engineering and Computer Science,2019
Tokyo,edition::the superior journal of physical therapy and rehabilitation::2023,The Superior Journal of Physical Therapy and Rehabilitation,2023
Tokyo,edition::2023 2nd international conference on edge computing and applications (icecaa)::2023,2023 2nd International Conference on Edge Computing and Applications (ICECAA),2023
London,edition::community-built databases::2011,Community-Built Databases,2011
Barcelona,"edition::international conference on technological advances in electrical, electronics and computer engineering::2013","International Conference on Technological Advances in Electrical, Electronics and Computer Engineering",2013
Paris,edition::high performance visualization::2012,High Performance Visualization,2012
Singapore,edition::international journal of advanced computer science and applications::2022,International Journal of Advanced Computer Science and Applications,2022
Singapore,edition::international workshop on data warehousing and olap::2013,International Workshop on Data Warehousing and OLAP,2013
Berlin,edition::international conference on computational intelligence and communication networks::2011,International Conference on Computational Intelligence and Communication Networks,2011
London,edition::ieee workshop/winter conference on applications of computer vision::2017,IEEE Workshop/Winter Conference on Applications of Computer Vision,2017
Tokyo,edition::2024 international conference on automation and computation (autocom)::2024,2024 International Conference on Automation and Computation (AUTOCOM),2024
Sydney,edition::economics. law. innovaion::2021,Economics. Law. Innovaion,2021
Sydney,edition::international conference on artificial intelligence and soft computing::2023,International Conference on Artificial Intelligence and Soft Computing,2023
Barcelona,"edition::conference, emerging information technology 2005.::2005","Conference, Emerging Information Technology 2005.",2005
London,edition::international conference on signals and electronic systems::2021,International Conference on Signals and Electronic Systems,2021
Sydney,edition::research in international business and finance::2023,Research In International Business and Finance,2023
Tokyo,edition::acm international workshop on web information and data management::2003,ACM International Workshop on Web Information and Data Management,2003
London,edition::bulletin of the school of oriental and african studies::1987,Bulletin of the School of Oriental and African Studies,1987
Barcelona,edition::2010 second international workshop on education technology and computer science::2010,2010 Second International Workshop on Education Technology and Computer Science,2010
Paris,"edition::2023 international conference on research methodologies in knowledge management, artificial intelligence and telecommunication engineering (rmkmate)::2023","2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",2023
Paris,edition::bmc genomics::2015,BMC Genomics,2015
Singapore,edition::geoinformatics::2006,GEOINFORMATICS,2006
Paris,edition::journal of plant growth regulation::2015,Journal of Plant Growth Regulation,2015
Tokyo,edition::sankhya b::2017,Sankhya B,2017
Tokyo,"edition::ideas: jurnal pendidikan, sosial, dan budaya::2022","Ideas: Jurnal Pendidikan, Sosial, dan Budaya",2022
New York,"edition::proceedings of the first ieee international workshop on sensor network protocols and applications, 2003.::2003","Proceedings of the First IEEE International Workshop on Sensor Network Protocols and Applications, 2003.",2003
Singapore,edition::biorxiv::2021,bioRxiv,2021
Tokyo,edition::international journal of engineering and technology::2018,International journal of engineering and technology,2018
Paris,edition::international journal of vehicle systems modelling and testing::2020,International Journal of Vehicle Systems Modelling and Testing,2020
Sydney,edition::ieee power & energy society general meeting::2018,IEEE Power & Energy Society General Meeting,2018
Berlin,edition::perspectives on medical education::2013,Perspectives on Medical Education,2013
Singapore,edition::moscow university geology bulletin::2016,Moscow University Geology Bulletin,2016
Barcelona,edition::security and communication networks::2022,Security and Communication Networks,2022
Berlin,edition::stroke::2023,Stroke,2023
Paris,edition::1998 ieee second workshop on multimedia signal processing (cat. no.98ex175)::1998,1998 IEEE Second Workshop on Multimedia Signal Processing (Cat. No.98EX175),1998
New York,edition::ieee transactions on industry applications::2010,IEEE transactions on industry applications,2010
Singapore,edition::philosophical transactions of the royal society of london. series a: mathematical and physical sciences::1975,Philosophical transactions of the Royal Society of London. Series A: Mathematical and physical sciences,1975
London,edition::fifth international conference on advanced robotics 'robots in unstructured environments::1991,Fifth International Conference on Advanced Robotics 'Robots in Unstructured Environments,1991
Sydney,edition::heart::2014,Heart,2014
London,edition::photonics europe::2014,Photonics Europe,2014
Tokyo,edition::journal of physics: conference series::2023,Journal of Physics: Conference Series,2023
