from,to
journal::agricultural science digest - a research journal,volume::agricultural science digest - a research journal::2025::6
journal::ieee transactions on automation science and engineering,volume::ieee transactions on automation science and engineering::2013::14
journal::clincal and experimental dermatology,volume::clincal and experimental dermatology::2024::16
journal::gsc advanced research and reviews,volume::gsc advanced research and reviews::2025::19
"journal::the journal of nutrition, health & aging","volume::the journal of nutrition, health & aging::2008::16"
journal::global journal of health science,volume::global journal of health science::2014::7
journal::world journal of vocational education and training,volume::world journal of vocational education and training::2025::14
journal::ijebd (international journal of entrepreneurship and business development),volume::ijebd (international journal of entrepreneurship and business development)::2024::5
journal::journal of oral rehabilitation,volume::journal of oral rehabilitation::2021::19
journal::multimedia tools and applications,volume::multimedia tools and applications::2018::5
"journal::international journal of education, learning and development","volume::international journal of education, learning and development::2024::10"
journal::international journal of information systems in the service sector,volume::international journal of information systems in the service sector::2026::3
journal::zhongguo yi xue ke xue yuan xue bao. acta academiae medicinae sinicae,volume::zhongguo yi xue ke xue yuan xue bao. acta academiae medicinae sinicae::2010::11
journal::arxiv.org,volume::arxiv.org::2024::18
journal::journal on spesial topics in mobile networks and applications,volume::journal on spesial topics in mobile networks and applications::2021::3
"journal::international journal of applied research in management, economics and accounting","volume::international journal of applied research in management, economics and accounting::2025::14"
journal::journal of humanitarian logistics and supply chain management,volume::journal of humanitarian logistics and supply chain management::2023::8
journal::international journal of environmental science,volume::international journal of environmental science::2024::4
journal::management sciences,volume::management sciences::2024::8
journal::journal of clinical nursing,volume::journal of clinical nursing::2018::17
journal::cureus,volume::cureus::2023::5
journal::accounting horizons,volume::accounting horizons::2025::9
journal::plos one,volume::plos one::2016::5
journal::journal of social research,volume::journal of social research::2026::17
journal::ieee international symposium on distributed simulation and real-time applications,volume::ieee international symposium on distributed simulation and real-time applications::2022::8
journal::ingeniería y universidad,volume::ingeniería y universidad::2023::20
journal::manazhim,volume::manazhim::2024::12
journal::indian journal of psychiatric nursing,volume::indian journal of psychiatric nursing::2024::5
journal::journal of travel medicine,volume::journal of travel medicine::2018::17
journal::syst.,volume::syst.::2023::15
journal::international journal of lean six sigma,volume::international journal of lean six sigma::2025::20
journal::aids (london),volume::aids (london)::2018::14
journal::the lancet regional health - europe,volume::the lancet regional health - europe::2025::1
"journal::jurnal ekonomi bisnis, manajemen dan akuntansi","volume::jurnal ekonomi bisnis, manajemen dan akuntansi::2022::14"
journal::cancer causes and control,volume::cancer causes and control::2022::20
journal::international conference on ultra modern telecommunications,volume::international conference on ultra modern telecommunications::2025::1
journal::cureus,volume::cureus::2022::14
journal::remote sensing,volume::remote sensing::2025::2
journal::ieee access,volume::ieee access::2022::12
journal::e3s web of conferences,volume::e3s web of conferences::2023::19
journal::cochrane database of systematic reviews,volume::cochrane database of systematic reviews::2016::5
journal::complex & intelligent systems,volume::complex & intelligent systems::2022::6
journal::journal of clinical medicine,volume::journal of clinical medicine::2023::5
journal::circulation,volume::circulation::1994::17
journal::vietnam journal of education,volume::vietnam journal of education::2024::18
journal::ieee transactions on nanobioscience,volume::ieee transactions on nanobioscience::2007::15
journal::cardiovascular biomedicine journal,volume::cardiovascular biomedicine journal::2026::10
journal::water resources management,volume::water resources management::2023::1
journal::journal of neurological sciences,volume::journal of neurological sciences::2019::20
journal::international brazilian journal of urology,volume::international brazilian journal of urology::2024::12
journal::international journal of molecular sciences,volume::international journal of molecular sciences::2025::13
journal::journal of rawalpindi medical college,volume::journal of rawalpindi medical college::2024::11
journal::international journal of multidisciplinary and scientific emerging research,volume::international journal of multidisciplinary and scientific emerging research::2025::13
journal::clinical nutrition espen,volume::clinical nutrition espen::2022::11
journal::journal of systems and information technology,volume::journal of systems and information technology::2016::1
journal::zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi,volume::zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi::2021::4
journal::ieee international conference on services computing,volume::ieee international conference on services computing::2014::13
journal::journal of extracellular biology,volume::journal of extracellular biology::2024::8
journal::sustainability,volume::sustainability::2026::1
journal::ieee international symposium on broadband multimedia systems and broadcasting,volume::ieee international symposium on broadband multimedia systems and broadcasting::2014::2
journal::annals of emergency medicine,volume::annals of emergency medicine::1985::9
journal::international journal of research in business and social science,volume::international journal of research in business and social science::2023::9
journal::international journal of computer science in sport,volume::international journal of computer science in sport::2021::12
journal::archivio italiano di urologia e andrologia,volume::archivio italiano di urologia e andrologia::2017::19
journal::american journal of obstetrics and gynecology,volume::american journal of obstetrics and gynecology::1954::6
journal::pediatric surgery international (print),volume::pediatric surgery international (print)::2021::2
journal::bmc health services research,volume::bmc health services research::2008::15
journal::american journal of audiology,volume::american journal of audiology::1994::17
journal::journal of vascular surgery,volume::journal of vascular surgery::2012::8
journal::journal of clinical medicine,volume::journal of clinical medicine::2024::12
journal::interspeech,volume::interspeech::2001::18
journal::atmosphere,volume::atmosphere::2023::11
journal::the american surgeon,volume::the american surgeon::2001::7
journal::rcmos - revista científica multidisciplinar o saber,volume::rcmos - revista científica multidisciplinar o saber::2026::11
journal::current opinion in critical care,volume::current opinion in critical care::2022::1
"journal::nutrition (burbank, los angeles county, calif.)","volume::nutrition (burbank, los angeles county, calif.)::2025::18"
journal::applied clinical informatics,volume::applied clinical informatics::2015::5
journal::international journal of communication systems,volume::international journal of communication systems::2024::18
journal::joinetech (international journal of economic and technological studies),volume::joinetech (international journal of economic and technological studies)::2025::2
journal::african journal of primary health care & family medicine,volume::african journal of primary health care & family medicine::2021::7
journal::nuansa,volume::nuansa::2023::6
journal::the r journal,volume::the r journal::2017::17
journal::romanian journal of morphology and embryology = revue roumaine de morphologie et embryologie,volume::romanian journal of morphology and embryology = revue roumaine de morphologie et embryologie::2025::18
journal::jmir mhealth and uhealth,volume::jmir mhealth and uhealth::2019::17
journal::management sciences,volume::management sciences::2026::14
"journal::2012 sc companion: high performance computing, networking storage and analysis","volume::2012 sc companion: high performance computing, networking storage and analysis::2012::8"
journal::respiratory medicine,volume::respiratory medicine::2022::5
journal::bandung conference series: business and management,volume::bandung conference series: business and management::2024::15
journal::international conference on pattern recognition,volume::international conference on pattern recognition::2024::17
journal::iet cyper-phys. syst.: theory & appl.,volume::iet cyper-phys. syst.: theory & appl.::2024::5
journal::east african journal of business and economics,volume::east african journal of business and economics::2023::20
journal::j-aksi : jurnal akuntansi dan sistem informasi,volume::j-aksi : jurnal akuntansi dan sistem informasi::2023::6
journal::siberian law herald,volume::siberian law herald::2025::14
journal::international journal of scientific research and innovative studies,volume::international journal of scientific research and innovative studies::2025::15
journal::contemporary oncology,volume::contemporary oncology::2015::13
journal::journal of clinical psychopharmacology,volume::journal of clinical psychopharmacology::1989::9
"journal::zero: jurnal sains, matematika dan terapan","volume::zero: jurnal sains, matematika dan terapan::2025::12"
journal::zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases,volume::zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases::2024::9
journal::geo journal of tourism and geosites,volume::geo journal of tourism and geosites::2024::3
"journal::international journal of advanced research in science, communication and technology","volume::international journal of advanced research in science, communication and technology::2025::2"
"journal::volume 6 number 1, february 2023","volume::volume 6 number 1, february 2023::2023::20"
journal::global emergency and critical care,volume::global emergency and critical care::2024::15
journal::journal of social science,volume::journal of social science::2024::17
journal::journal of the medical library association,volume::journal of the medical library association::2018::2
journal::frontiers in pharmacology,volume::frontiers in pharmacology::2025::9
journal::journal of the american college of surgeons,volume::journal of the american college of surgeons::2015::18
journal::ieee access,volume::ieee access::2022::9
journal::international nursing review,volume::international nursing review::2021::8
journal::implementation science,volume::implementation science::2015::14
journal::scientific journal of astana it university,volume::scientific journal of astana it university::2024::18
journal::journal of innovative computing and emerging technologies,volume::journal of innovative computing and emerging technologies::2024::19
"journal::journal of sociology, psychology and religious","volume::journal of sociology, psychology and religious::2023::18"
journal::information security conference,volume::information security conference::2016::1
journal::journal la multiapp,volume::journal la multiapp::2024::18
journal::epsilon journal of management,volume::epsilon journal of management::2025::20
journal::saudi surgical journal,volume::saudi surgical journal::2025::19
journal::hawaii international conference on system sciences,volume::hawaii international conference on system sciences::2014::1
journal::international journal of management and business economics,volume::international journal of management and business economics::2023::9
journal::current treatment options in cardiovascular medicine,volume::current treatment options in cardiovascular medicine::2017::18
journal::big data & society,volume::big data & society::2019::4
journal::acm '76,volume::acm '76::1976::18
journal::indian journal of otology,volume::indian journal of otology::2023::8
journal::ieee transactions on automation science and engineering,volume::ieee transactions on automation science and engineering::2026::2
journal::journal of posthumanism,volume::journal of posthumanism::2025::8
journal::chinese journal of cancer research = chung-kuo yen cheng yen chiu,volume::chinese journal of cancer research = chung-kuo yen cheng yen chiu::2018::5
journal::journal of social work and science education,volume::journal of social work and science education::2024::9
journal::international journal of social science humanity &amp; management research,volume::international journal of social science humanity &amp; management research::2025::17
journal::systems biology in reproductive medicine,volume::systems biology in reproductive medicine::2024::8
journal::journal of digital business and innovation management,volume::journal of digital business and innovation management::2023::11
journal::journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery,volume::journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery::2024::19
journal::journal of occupational and environmental hygiene,volume::journal of occupational and environmental hygiene::2015::11
journal::jurnal eduhealth,volume::jurnal eduhealth::2025::1
journal::journal of ecotourism,volume::journal of ecotourism::2024::9
journal::asia-pacific journal of public health,volume::asia-pacific journal of public health::2017::16
journal::conservation biology,volume::conservation biology::2014::10
journal::international journal of speech-language pathology,volume::international journal of speech-language pathology::2011::8
journal::american journal of tropical medicine and hygiene,volume::american journal of tropical medicine and hygiene::2015::8
journal::ieee journal on selected areas in communications,volume::ieee journal on selected areas in communications::2022::20
journal::journal of behavioral medicine,volume::journal of behavioral medicine::2008::8
journal::global communications conference,volume::global communications conference::2014::15
journal::journal of physiotherapy,volume::journal of physiotherapy::2023::10
journal::journal of the endocrine society,volume::journal of the endocrine society::2023::20
journal::ieee transactions on computers,volume::ieee transactions on computers::2026::11
journal::journal of global health,volume::journal of global health::2020::1
journal::journal of animal ecology,volume::journal of animal ecology::2020::9
journal::oncology nursing forum,volume::oncology nursing forum::2018::2
journal::journal of diabetes and metabolic disorders,volume::journal of diabetes and metabolic disorders::2020::14
journal::international journal of social sciences and humanities,volume::international journal of social sciences and humanities::2025::10
journal::international conference on supercomputing,volume::international conference on supercomputing::1988::12
journal::journal of advances and scholarly researches in allied education,volume::journal of advances and scholarly researches in allied education::2025::13
journal::sj ophthalmology africa,volume::sj ophthalmology africa::2026::19
journal::frontiers in neurology,volume::frontiers in neurology::2021::12
journal::indonesian journal of accounting and governance,volume::indonesian journal of accounting and governance::2025::5
journal::tist,volume::tist::2011::9
journal::vigilância sanitária em debate,volume::vigilância sanitária em debate::2025::9
journal::ieee systems journal,volume::ieee systems journal::2022::5
journal::journal of food science and technology,volume::journal of food science and technology::2024::10
journal::practice and experience in advanced research computing,volume::practice and experience in advanced research computing::2022::17
journal::annals of parasitology,volume::annals of parasitology::2021::20
journal::american journal of respiratory and critical care medicine,volume::american journal of respiratory and critical care medicine::2012::15
journal::social science research network,volume::social science research network::2025::14
journal::ieee transactions on instrumentation and measurement,volume::ieee transactions on instrumentation and measurement::2024::12
journal::journal of global oncology,volume::journal of global oncology::2016::6
journal::journal of the american medical directors association,volume::journal of the american medical directors association::2023::11
journal::journal of environmental management,volume::journal of environmental management::2024::7
journal::circulation research,volume::circulation research::2019::7
journal::clinical and experimental metastasis,volume::clinical and experimental metastasis::2011::12
journal::jurnal akuntansi bisnis dan humaniora,volume::jurnal akuntansi bisnis dan humaniora::2021::18
"journal::etm - equipment,  technologies, materials","volume::etm - equipment,  technologies, materials::2024::3"
journal::return,volume::return::2023::10
journal::world journal of advanced engineering technology and sciences,volume::world journal of advanced engineering technology and sciences::2025::20
journal::revista recien - revista científica de enfermagem,volume::revista recien - revista científica de enfermagem::2026::13
journal::nakhara. journal of environmental design and planning,volume::nakhara. journal of environmental design and planning::2025::1
journal::ieee internet of things journal,volume::ieee internet of things journal::2022::12
journal::dependable systems and networks,volume::dependable systems and networks::2007::15
journal::creative surgery and oncology,volume::creative surgery and oncology::2024::5
journal::children,volume::children::2025::1
journal::value : jurnal manajemen dan akuntansi,volume::value : jurnal manajemen dan akuntansi::2023::8
journal::ecology and evolution,volume::ecology and evolution::2014::19
journal::journal of electrical technology umy,volume::journal of electrical technology umy::2025::12
journal::the journal of craniofacial surgery (print),volume::the journal of craniofacial surgery (print)::2025::18
journal::drug and alcohol dependence reports,volume::drug and alcohol dependence reports::2025::3
journal::eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit,volume::eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit::2020::11
journal::interdisciplinary journal on law social sciences and humanities,volume::interdisciplinary journal on law social sciences and humanities::2023::6
journal::academic pediatrics,volume::academic pediatrics::2011::9
journal::expert opinion on biological therapy,volume::expert opinion on biological therapy::2024::6
journal::oncotarget,volume::oncotarget::2016::19
journal::american journal of gastroenterology,volume::american journal of gastroenterology::2005::14
journal::current treatment options in pediatrics,volume::current treatment options in pediatrics::2023::9
journal::world journal of gastrointestinal endoscopy,volume::world journal of gastrointestinal endoscopy::2011::12
"journal::nephrology, dialysis and transplantation","volume::nephrology, dialysis and transplantation::2000::19"
journal::research journal for social affairs,volume::research journal for social affairs::2025::6
journal::journal of taibah university medical sciences,volume::journal of taibah university medical sciences::2023::13
journal::american journal of respiratory and critical care medicine,volume::american journal of respiratory and critical care medicine::2010::8
journal::revista alergia méxico,volume::revista alergia méxico::2025::8
journal::acta radiologica,volume::acta radiologica::2026::11
"journal::the international conference on education, social sciences and technology (icesst)","volume::the international conference on education, social sciences and technology (icesst)::2023::11"
journal::jurnal farmasi sandi karsa,volume::jurnal farmasi sandi karsa::2022::8
journal::international conference on 3d technologies for the world wide web,volume::international conference on 3d technologies for the world wide web::2012::2
journal::paediatric drugs,volume::paediatric drugs::2002::14
journal::mobilehci adjunct,volume::mobilehci adjunct::2016::4
"journal::international journal of advanced research in science, communication and technology","volume::international journal of advanced research in science, communication and technology::2025::8"
journal::international conference on extending database technology,volume::international conference on extending database technology::2009::11
journal::psychiatric quarterly,volume::psychiatric quarterly::2021::15
journal::bmc health services research,volume::bmc health services research::2016::15
journal::italian national conference on sensors,volume::italian national conference on sensors::2023::15
journal::blood,volume::blood::2024::9
journal::diabetes technology & therapeutics,volume::diabetes technology & therapeutics::2019::5
journal::international journal of innovative research in science engineering and technology,volume::international journal of innovative research in science engineering and technology::2023::9
journal::international journal of advanced multidisciplinary research and studies,volume::international journal of advanced multidisciplinary research and studies::2026::18
journal::international journal of electronic business,volume::international journal of electronic business::2013::17
"journal::southeast european design automation, computer engineering, computer networks and social media conference","volume::southeast european design automation, computer engineering, computer networks and social media conference::2024::7"
journal::journal of the national cancer institute,volume::journal of the national cancer institute::2023::1
journal::academic journal of business &amp; management,volume::academic journal of business &amp; management::2024::10
journal::epra international journal of multidisciplinary research,volume::epra international journal of multidisciplinary research::2024::19
journal::ieee transactions on intelligent transportation systems (print),volume::ieee transactions on intelligent transportation systems (print)::2025::19
journal::himalayan journal of nursing and midwifery,volume::himalayan journal of nursing and midwifery::2022::17
"journal::ieee international conference on systems, man and cybernetics","volume::ieee international conference on systems, man and cybernetics::2010::18"
journal::jiip - jurnal ilmiah ilmu pendidikan,volume::jiip - jurnal ilmiah ilmu pendidikan::2024::16
journal::balkan journal of medical genetics,volume::balkan journal of medical genetics::2016::2
journal::international journal of the addictions,volume::international journal of the addictions::1981::9
journal::international journal of environmental research and public health,volume::international journal of environmental research and public health::2022::11
journal::future security,volume::future security::2012::3
journal::plos one,volume::plos one::2022::4
journal::european heart journal. acute cardiovascular care,volume::european heart journal. acute cardiovascular care::2020::9
journal::australian and new zealand journal of surgery,volume::australian and new zealand journal of surgery::1998::7
journal::revista em extensão,volume::revista em extensão::2025::6
journal::jurnal manajerial,volume::jurnal manajerial::2024::12
journal::bmj case reports,volume::bmj case reports::2023::9
journal::journal of renal nutrition,volume::journal of renal nutrition::2002::11
journal::international journal of analysis and applications,volume::international journal of analysis and applications::2025::9
journal::supportive care in cancer,volume::supportive care in cancer::2016::19
journal::world conference on information technology,volume::world conference on information technology::2011::20
journal::clinical oral investigations,volume::clinical oral investigations::2018::1
journal::ieee international symposium on multimedia,volume::ieee international symposium on multimedia::2005::20
journal::journal of internal medicine,volume::journal of internal medicine::2015::14
journal::orthopedic nursing,volume::orthopedic nursing::2019::1
journal::methomika jurnal manajemen informatika dan komputerisasi akuntansi,volume::methomika jurnal manajemen informatika dan komputerisasi akuntansi::2023::1
journal::journal of zhejiang university science c,volume::journal of zhejiang university science c::2010::1
journal::south african journal of information management,volume::south african journal of information management::2023::17
journal::communications of the association for information systems,volume::communications of the association for information systems::2006::12
journal::international journal of information and education technology,volume::international journal of information and education technology::2025::16
journal::drug safety,volume::drug safety::2003::15
journal::ubicomp/iswc adjunct,volume::ubicomp/iswc adjunct::2018::20
journal::medinfo,volume::medinfo::2019::18
"journal::physical education, health and social sciences","volume::physical education, health and social sciences::2025::11"
journal::heart rhythm,volume::heart rhythm::2017::3
journal::journal of the korean society of hazard mitigation,volume::journal of the korean society of hazard mitigation::2025::5
journal::plos one,volume::plos one::2017::9
journal::environmental science and pollution research international,volume::environmental science and pollution research international::2023::9
journal::ieee transactions on computer-aided design of integrated circuits and systems,volume::ieee transactions on computer-aided design of integrated circuits and systems::2024::5
journal::arxiv.org,volume::arxiv.org::2025::14
journal::journal of infrastructure policy and development,volume::journal of infrastructure policy and development::2024::6
journal::environmental health perspectives,volume::environmental health perspectives::1995::9
journal::scholarly journal of science and technology research and development,volume::scholarly journal of science and technology research and development::2026::6
journal::international journal of medicine in developing countries,volume::international journal of medicine in developing countries::2025::3
"journal::hematology, transfusion and cell therapy","volume::hematology, transfusion and cell therapy::2023::12"
journal::neurologic clinics,volume::neurologic clinics::2022::11
journal::diabetes,volume::diabetes::2025::13
journal::international health informatics symposium,volume::international health informatics symposium::2012::9
journal::world journal for pediatric & congenital heart surgery,volume::world journal for pediatric & congenital heart surgery::2013::2
journal::ieee computer society annual symposium on vlsi,volume::ieee computer society annual symposium on vlsi::2022::11
journal::healthcare,volume::healthcare::2021::15
journal::european heart journal-cardiovascular imaging,volume::european heart journal-cardiovascular imaging::2025::17
journal::blood,volume::blood::2025::17
journal::journal of supercomputing,volume::journal of supercomputing::2014::9
journal::ieee international conference on industrial engineering and engineering management,volume::ieee international conference on industrial engineering and engineering management::2024::5
journal::moco,volume::moco::1998::18
journal::plos one,volume::plos one::2026::11
journal::biological and clinical sciences research journal,volume::biological and clinical sciences research journal::2024::9
journal::neurocritical care,volume::neurocritical care::2013::17
journal::international journal of environmental research and public health,volume::international journal of environmental research and public health::2024::10
journal::international journal of professional business review,volume::international journal of professional business review::2025::2
journal::journal of professional nursing,volume::journal of professional nursing::2015::14
journal::reliability engineering & system safety,volume::reliability engineering & system safety::2016::14
journal::advancement of iot in blockchain technology and its applications,volume::advancement of iot in blockchain technology and its applications::2023::20
journal::international conference on grid and cooperative computing,volume::international conference on grid and cooperative computing::2007::3
journal::international conference on health information science,volume::international conference on health information science::2014::14
journal::urban ecosystems,volume::urban ecosystems::2025::17
journal::journal of airport management,volume::journal of airport management::2011::14
journal::circulation,volume::circulation::2025::7
journal::biomolecules,volume::biomolecules::2020::11
journal::neuroinformatics,volume::neuroinformatics::2010::15
journal::pediatric emergency care,volume::pediatric emergency care::2008::11
journal::journal of social welfare and management,volume::journal of social welfare and management::2024::3
journal::obstetric medicine,volume::obstetric medicine::2011::6
journal::information sciences,volume::information sciences::2018::2
journal::journal of facilities management,volume::journal of facilities management::2025::1
journal::data in brief,volume::data in brief::2022::15
journal::the lancet respiratory medicine,volume::the lancet respiratory medicine::2020::8
journal::environmental science and pollution research international,volume::environmental science and pollution research international::2024::2
journal::american journal of health-system pharmacy,volume::american journal of health-system pharmacy::2007::15
journal::frontiers in aging neuroscience,volume::frontiers in aging neuroscience::2024::18
journal::cochrane database of systematic reviews,volume::cochrane database of systematic reviews::2017::2
journal::bmc medical education,volume::bmc medical education::2023::17
journal::journal of social science studies,volume::journal of social science studies::2023::19
journal::neurology,volume::neurology::2018::19
journal::international scientific journal of engineering and management,volume::international scientific journal of engineering and management::2025::12
"journal::zeitschrift fur evidenz, fortbildung und qualitat im gesundheitswesen","volume::zeitschrift fur evidenz, fortbildung und qualitat im gesundheitswesen::2026::20"
journal::mitat. minimally invasive therapy & allied technologies,volume::mitat. minimally invasive therapy & allied technologies::2020::1
journal::current medical research and opinion,volume::current medical research and opinion::2005::14
journal::accountability in research,volume::accountability in research::2011::11
journal::reflective practice,volume::reflective practice::2025::17
journal::cardiovascular and interventional radiology,volume::cardiovascular and interventional radiology::2020::18
journal::applied mathematics and nonlinear sciences,volume::applied mathematics and nonlinear sciences::2024::8
journal::jurnal pendidikan ekonomi undiksha,volume::jurnal pendidikan ekonomi undiksha::2024::11
journal::ieee wireless communications,volume::ieee wireless communications::2018::6
journal::journal of multidisciplinary academic and practice studies,volume::journal of multidisciplinary academic and practice studies::2024::8
journal::international conference on software and data technologies,volume::international conference on software and data technologies::2010::14
journal::journal of nursing management,volume::journal of nursing management::2021::16
journal::reconfigurable communication-centric systems-on-chip,volume::reconfigurable communication-centric systems-on-chip::2019::10
journal::journal of perinatal medicine,volume::journal of perinatal medicine::2005::7
journal::international journal of management and economics fundamental,volume::international journal of management and economics fundamental::2025::13
journal::journal of pain research,volume::journal of pain research::2023::18
journal::extended semantic web conference,volume::extended semantic web conference::2007::11
journal::international journal of emerging technologies in learning (ijet),volume::international journal of emerging technologies in learning (ijet)::2021::13
journal::sigdial conferences,volume::sigdial conferences::2024::13
journal::ieee internet of things journal,volume::ieee internet of things journal::2021::12
