journalId,name
journal::scientific journal of astana it university,Scientific Journal of Astana IT University
journal::journal of innovative computing and emerging technologies,Journal of Innovative Computing and Emerging Technologies
"journal::journal of sociology, psychology and religious","Journal of Sociology, Psychology and Religious"
journal::information security conference,Information Security Conference
journal::journal la multiapp,Journal La Multiapp
journal::epsilon journal of management,Epsilon Journal of Management
journal::saudi surgical journal,Saudi Surgical Journal
journal::hawaii international conference on system sciences,Hawaii International Conference on System Sciences
journal::international journal of management and business economics,International Journal of Management and Business Economics
journal::current treatment options in cardiovascular medicine,Current Treatment Options in Cardiovascular Medicine
journal::big data & society,Big Data & Society
journal::acm '76,ACM '76
journal::indian journal of otology,Indian Journal of Otology
journal::journal of posthumanism,Journal of Posthumanism
journal::chinese journal of cancer research = chung-kuo yen cheng yen chiu,Chinese journal of cancer research = Chung-kuo yen cheng yen chiu
journal::journal of social work and science education,Journal of Social Work and Science Education
journal::international journal of social science humanity &amp; management research,International Journal of Social Science Humanity &amp; Management Research
journal::systems biology in reproductive medicine,Systems Biology in Reproductive Medicine
journal::journal of digital business and innovation management,Journal of Digital Business and Innovation Management
journal::journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery
journal::journal of occupational and environmental hygiene,Journal of Occupational and Environmental Hygiene
journal::jurnal eduhealth,Jurnal EduHealth
journal::journal of ecotourism,Journal of Ecotourism
journal::asia-pacific journal of public health,Asia-Pacific journal of public health
journal::conservation biology,Conservation Biology
journal::international journal of speech-language pathology,International Journal of Speech-Language Pathology
journal::american journal of tropical medicine and hygiene,American Journal of Tropical Medicine and Hygiene
journal::ieee journal on selected areas in communications,IEEE Journal on Selected Areas in Communications
journal::journal of behavioral medicine,Journal of behavioral medicine
journal::global communications conference,Global Communications Conference
journal::journal of physiotherapy,Journal of Physiotherapy
journal::journal of the endocrine society,Journal of the Endocrine Society
journal::ieee transactions on computers,IEEE transactions on computers
journal::journal of global health,Journal of Global Health
journal::journal of animal ecology,Journal of Animal Ecology
journal::oncology nursing forum,Oncology Nursing Forum
journal::journal of diabetes and metabolic disorders,Journal of Diabetes and Metabolic Disorders
journal::international journal of social sciences and humanities,International journal of social sciences and humanities
journal::international conference on supercomputing,International Conference on Supercomputing
journal::journal of advances and scholarly researches in allied education,Journal of Advances and Scholarly Researches in Allied Education
journal::sj ophthalmology africa,SJ Ophthalmology Africa
journal::frontiers in neurology,Frontiers in Neurology
journal::indonesian journal of accounting and governance,Indonesian Journal of Accounting and Governance
journal::tist,TIST
journal::vigilância sanitária em debate,Vigilância Sanitária em Debate
journal::ieee systems journal,IEEE Systems Journal
journal::journal of food science and technology,Journal of food science and technology
journal::practice and experience in advanced research computing,Practice and Experience in Advanced Research Computing
journal::annals of parasitology,Annals of parasitology
journal::american journal of respiratory and critical care medicine,American Journal of Respiratory and Critical Care Medicine
journal::social science research network,Social Science Research Network
journal::ieee transactions on instrumentation and measurement,IEEE Transactions on Instrumentation and Measurement
journal::journal of global oncology,Journal of Global Oncology
journal::journal of the american medical directors association,Journal of the American Medical Directors Association
journal::circulation research,Circulation Research
journal::clinical and experimental metastasis,Clinical and Experimental Metastasis
journal::jurnal akuntansi bisnis dan humaniora,Jurnal Akuntansi Bisnis Dan Humaniora
"journal::etm - equipment,  technologies, materials","ETM - Equipment,  Technologies, Materials"
journal::return,return
journal::world journal of advanced engineering technology and sciences,World Journal of Advanced Engineering Technology and Sciences
journal::revista recien - revista científica de enfermagem,Revista Recien - Revista Científica de Enfermagem
journal::nakhara. journal of environmental design and planning,Nakhara. Journal of environmental design and planning
journal::ieee internet of things journal,IEEE Internet of Things Journal
journal::dependable systems and networks,Dependable Systems and Networks
journal::creative surgery and oncology,Creative Surgery and Oncology
journal::children,Children
journal::value : jurnal manajemen dan akuntansi,Value : Jurnal Manajemen dan Akuntansi
journal::ecology and evolution,Ecology and Evolution
journal::journal of electrical technology umy,Journal of Electrical Technology UMY
journal::the journal of craniofacial surgery (print),The Journal of craniofacial surgery (Print)
journal::drug and alcohol dependence reports,Drug and Alcohol Dependence Reports
journal::eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit,Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit
journal::interdisciplinary journal on law social sciences and humanities,INTERDISCIPLINARY JOURNAL ON LAW SOCIAL SCIENCES AND HUMANITIES
journal::academic pediatrics,Academic pediatrics
journal::expert opinion on biological therapy,Expert Opinion on Biological Therapy
journal::oncotarget,OncoTarget
journal::american journal of gastroenterology,American Journal of Gastroenterology
journal::current treatment options in pediatrics,Current Treatment Options in Pediatrics
journal::world journal of gastrointestinal endoscopy,World Journal of Gastrointestinal Endoscopy
"journal::nephrology, dialysis and transplantation","Nephrology, Dialysis and Transplantation"
journal::research journal for social affairs,Research Journal for Social Affairs
journal::journal of taibah university medical sciences,Journal of Taibah University Medical Sciences
journal::revista alergia méxico,Revista Alergia México
journal::acta radiologica,Acta Radiologica
"journal::the international conference on education, social sciences and technology (icesst)","The International Conference on Education, Social Sciences and Technology (ICESST)"
journal::jurnal farmasi sandi karsa,Jurnal Farmasi Sandi Karsa
journal::international conference on 3d technologies for the world wide web,International Conference on 3D Technologies for the World Wide Web
journal::paediatric drugs,Paediatric drugs
journal::mobilehci adjunct,MobileHCI Adjunct
journal::international conference on extending database technology,International Conference on Extending Database Technology
journal::psychiatric quarterly,Psychiatric quarterly
journal::blood,Blood
journal::diabetes technology & therapeutics,Diabetes Technology & Therapeutics
journal::international journal of innovative research in science engineering and technology,International Journal of Innovative Research in Science Engineering and Technology
journal::international journal of advanced multidisciplinary research and studies,International Journal of Advanced Multidisciplinary Research and Studies
journal::international journal of electronic business,International Journal of Electronic Business
"journal::southeast european design automation, computer engineering, computer networks and social media conference","SouthEast European Design Automation, Computer Engineering, Computer Networks and Social Media Conference"
journal::journal of the national cancer institute,Journal of the National Cancer Institute
journal::academic journal of business &amp; management,Academic Journal of Business &amp; Management
journal::epra international journal of multidisciplinary research,EPRA international journal of multidisciplinary research
journal::ieee transactions on intelligent transportation systems (print),IEEE transactions on intelligent transportation systems (Print)
journal::himalayan journal of nursing and midwifery,Himalayan Journal of Nursing and Midwifery
"journal::ieee international conference on systems, man and cybernetics","IEEE International Conference on Systems, Man and Cybernetics"
journal::jiip - jurnal ilmiah ilmu pendidikan,JIIP - Jurnal Ilmiah Ilmu Pendidikan
journal::balkan journal of medical genetics,Balkan Journal of Medical Genetics
journal::international journal of the addictions,International Journal of the Addictions
journal::future security,Future Security
journal::european heart journal. acute cardiovascular care,European heart journal. Acute cardiovascular care
journal::australian and new zealand journal of surgery,Australian and New Zealand Journal of Surgery
journal::revista em extensão,Revista Em Extensão
journal::jurnal manajerial,Jurnal Manajerial
journal::bmj case reports,BMJ Case Reports
journal::journal of renal nutrition,Journal of renal nutrition
journal::international journal of analysis and applications,International Journal of Analysis and Applications
journal::supportive care in cancer,Supportive Care in Cancer
journal::world conference on information technology,World Conference on Information Technology
journal::clinical oral investigations,Clinical Oral Investigations
journal::ieee international symposium on multimedia,IEEE International Symposium on Multimedia
journal::journal of internal medicine,Journal of Internal Medicine
journal::orthopedic nursing,Orthopedic Nursing
journal::methomika jurnal manajemen informatika dan komputerisasi akuntansi,METHOMIKA Jurnal Manajemen Informatika dan Komputerisasi Akuntansi
journal::journal of zhejiang university science c,Journal of Zhejiang University SCIENCE C
journal::south african journal of information management,South African Journal of Information Management
journal::communications of the association for information systems,Communications of the Association for Information Systems
journal::international journal of information and education technology,International Journal of Information and Education Technology
journal::drug safety,Drug Safety
journal::ubicomp/iswc adjunct,UbiComp/ISWC Adjunct
journal::medinfo,Medinfo
"journal::physical education, health and social sciences","Physical Education, Health and Social Sciences"
journal::heart rhythm,Heart Rhythm
journal::journal of the korean society of hazard mitigation,Journal of the Korean Society of Hazard Mitigation
journal::ieee transactions on computer-aided design of integrated circuits and systems,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
journal::journal of infrastructure policy and development,Journal of Infrastructure Policy and Development
journal::environmental health perspectives,Environmental Health Perspectives
journal::scholarly journal of science and technology research and development,Scholarly Journal of Science and Technology Research and Development
journal::international journal of medicine in developing countries,International Journal of Medicine in Developing Countries
"journal::hematology, transfusion and cell therapy","Hematology, Transfusion and Cell Therapy"
journal::neurologic clinics,Neurologic clinics
journal::diabetes,Diabetes
journal::international health informatics symposium,International Health Informatics Symposium
journal::world journal for pediatric & congenital heart surgery,World journal for pediatric & congenital heart surgery
journal::ieee computer society annual symposium on vlsi,IEEE Computer Society Annual Symposium on VLSI
journal::healthcare,Healthcare
journal::european heart journal-cardiovascular imaging,European Heart Journal-Cardiovascular Imaging
journal::journal of supercomputing,Journal of Supercomputing
journal::moco,MOCO
journal::biological and clinical sciences research journal,Biological and Clinical Sciences Research Journal
journal::neurocritical care,Neurocritical Care
journal::international journal of professional business review,International Journal of Professional Business Review
journal::journal of professional nursing,Journal of Professional Nursing
journal::reliability engineering & system safety,Reliability Engineering & System Safety
journal::advancement of iot in blockchain technology and its applications,Advancement of IoT in Blockchain Technology and its Applications
journal::international conference on grid and cooperative computing,International Conference on Grid and Cooperative Computing
journal::international conference on health information science,International Conference on Health Information Science
journal::urban ecosystems,Urban Ecosystems
journal::journal of airport management,Journal of Airport Management
journal::biomolecules,Biomolecules
journal::neuroinformatics,Neuroinformatics
journal::pediatric emergency care,Pediatric emergency care
journal::journal of social welfare and management,Journal of Social Welfare and Management
journal::obstetric medicine,Obstetric Medicine
journal::information sciences,Information Sciences
journal::journal of facilities management,Journal of Facilities Management
journal::data in brief,Data in Brief
journal::the lancet respiratory medicine,The Lancet Respiratory Medicine
journal::american journal of health-system pharmacy,American Journal of Health-System Pharmacy
journal::frontiers in aging neuroscience,Frontiers in Aging Neuroscience
journal::bmc medical education,BMC Medical Education
journal::journal of social science studies,Journal of Social Science Studies
journal::neurology,Neurology
journal::international scientific journal of engineering and management,International Scientific Journal of Engineering and Management
"journal::zeitschrift fur evidenz, fortbildung und qualitat im gesundheitswesen","Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen"
journal::mitat. minimally invasive therapy & allied technologies,MITAT. Minimally invasive therapy & allied technologies
journal::current medical research and opinion,Current Medical Research and Opinion
journal::accountability in research,Accountability in Research
journal::reflective practice,Reflective Practice
journal::cardiovascular and interventional radiology,Cardiovascular and Interventional Radiology
journal::applied mathematics and nonlinear sciences,Applied Mathematics and Nonlinear Sciences
journal::jurnal pendidikan ekonomi undiksha,Jurnal Pendidikan Ekonomi Undiksha
journal::ieee wireless communications,IEEE wireless communications
journal::journal of multidisciplinary academic and practice studies,Journal of Multidisciplinary Academic and Practice Studies
journal::international conference on software and data technologies,International Conference on Software and Data Technologies
journal::reconfigurable communication-centric systems-on-chip,Reconfigurable Communication-centric Systems-on-Chip
journal::journal of perinatal medicine,Journal of Perinatal Medicine
journal::international journal of management and economics fundamental,International Journal Of Management And Economics Fundamental
journal::journal of pain research,Journal of Pain Research
journal::extended semantic web conference,Extended Semantic Web Conference
journal::international journal of emerging technologies in learning (ijet),International Journal of Emerging Technologies in Learning (iJET)
journal::sigdial conferences,SIGDIAL Conferences
"journal::2020 ieee intl conf on parallel & distributed processing with applications, big data & cloud computing, sustainable computing & communications, social computing & networking (ispa/bdcloud/socialcom/sustaincom)","2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)"
journal::bmc psychiatry,BMC Psychiatry
journal::trans. gis,Trans. GIS
journal::ieee transactions on circuits and systems for video technology (print),IEEE transactions on circuits and systems for video technology (Print)
journal::data integration in the life sciences,Data Integration in the Life Sciences
journal::ieee symposium on security and privacy,IEEE Symposium on Security and Privacy
journal::algorithmica,Algorithmica
journal::drugs - real world outcomes,Drugs - Real World Outcomes
journal::journal of aapos,Journal of AAPOS
journal::international conference on advanced information systems engineering,International Conference on Advanced Information Systems Engineering
journal::interventional pain medicine,Interventional Pain Medicine
journal::symposium on advances in databases and information systems,Symposium on Advances in Databases and Information Systems
journal::sigmod conference,SIGMOD Conference
journal::annual international acm sigir conference on research and development in information retrieval,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval
journal::information fusion,Information Fusion
journal::acm conference on recommender systems,ACM Conference on Recommender Systems
journal::knowledge and information systems,Knowledge and Information Systems
journal::geoinformatica,GeoInformatica
journal::evidence-based medicine,Evidence-Based Medicine
journal::international symposium on visual computing,International Symposium on Visual Computing
journal::international conference on data technologies and applications,International Conference on Data Technologies and Applications
journal::acm transactions on management information systems,ACM Transactions on Management Information Systems
journal::quality of life research,Quality of Life Research
journal::evolutionary systematics,Evolutionary Systematics
journal::bioinform.,Bioinform.
"journal::proceedings. international database engineering and applications symposium, 2004. ideas '04.","Proceedings. International Database Engineering and Applications Symposium, 2004. IDEAS '04."
journal::international symposium on mathematical foundations of computer science,International Symposium on Mathematical Foundations of Computer Science
journal::cluster computing,Cluster Computing
journal::aaai conference on artificial intelligence,AAAI Conference on Artificial Intelligence
"journal::18th ieee annual conference on computational complexity, 2003. proceedings.","18th IEEE Annual Conference on Computational Complexity, 2003. Proceedings."
journal::journal of computational science and technology,Journal of Computational Science and Technology
journal::applied intelligence (boston),Applied intelligence (Boston)
journal::ieee international conference on data engineering,IEEE International Conference on Data Engineering
journal::jacm,JACM
journal::north american chapter of the association for computational linguistics,North American Chapter of the Association for Computational Linguistics
journal::proceedings of the vldb endowment,Proceedings of the VLDB Endowment
journal::journal of women's health,Journal of Women's Health
journal::the web conference,The Web Conference
journal::journal of medical internet research,Journal of Medical Internet Research
journal::knowledge discovery and data mining,Knowledge Discovery and Data Mining
journal::foundations and trends® in theoretical computer science,Foundations and Trends® in Theoretical Computer Science
journal::neural information processing systems,Neural Information Processing Systems
journal::international conferences on biological information and biomedical engineering,International Conferences on Biological Information and Biomedical Engineering
journal::international conference on computers for handicapped persons,International Conference on Computers for Handicapped Persons
journal::scientific reports,Scientific Reports
journal::aaps journal,AAPS Journal
journal::international conference on database theory,International Conference on Database Theory
journal::british journal of dermatology,British Journal of Dermatology
journal::journal of contemporary studies in library and information science,Journal of Contemporary Studies in library and Information Science
journal::international conference on conceptual structures,International Conference on Conceptual Structures
journal::discrete & computational geometry,Discrete & Computational Geometry
journal::ieee communications magazine,IEEE Communications Magazine
journal::scientific programming,Scientific Programming
journal::apl conference,APL Conference
journal::genome research,Genome Research
journal::biorxiv,bioRxiv
journal::ieee transactions on visualization and computer graphics,IEEE Transactions on Visualization and Computer Graphics
journal::journal of shoulder and elbow surgery,Journal of shoulder and elbow surgery
journal::time,Time
journal::clinical cancer research,Clinical Cancer Research
journal::conference on innovative data systems research,Conference on Innovative Data Systems Research
journal::british national conference on databases,British National Conference on Databases
journal::multimedia '99,MULTIMEDIA '99
journal::expert systems with applications,Expert systems with applications
journal::international conference on model-driven engineering and software development,International Conference on Model-Driven Engineering and Software Development
journal::molecular ecology resources,Molecular Ecology Resources
journal::distributed and parallel databases,Distributed and parallel databases
journal::tods,TODS
journal::journal of information processing,Journal of Information Processing
journal::voprosy ekonomiki,Voprosy Ekonomiki
journal::int. j. artif. intell. tools,Int. J. Artif. Intell. Tools
journal::international conference on information and knowledge management,International Conference on Information and Knowledge Management
journal::genetics in medicine,Genetics in Medicine
journal::concurrency and computation,Concurrency and Computation
journal::intelligent systems in molecular biology,Intelligent Systems in Molecular Biology
journal::acm multimedia,ACM Multimedia
journal::international conference on statistical and scientific database management,International Conference on Statistical and Scientific Database Management
journal::bmc geriatrics,BMC Geriatrics
journal::ieee transactions on dependable and secure computing,IEEE Transactions on Dependable and Secure Computing
journal::human reproduction open,Human Reproduction Open
journal::data & knowledge engineering,Data & Knowledge Engineering
journal::international conference on knowledge discovery and information retrieval,International Conference on Knowledge Discovery and Information Retrieval
journal::english language teaching,English Language Teaching
journal::acm sigact-sigmod-sigart symposium on principles of database systems,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems
journal::annual srii global conference,Annual SRII Global Conference
journal::avocetta,Avocetta
journal::karst science days symposium proceedings,Karst Science Days Symposium Proceedings
journal::international journal for research in applied science and engineering technology,International Journal for Research in Applied Science and Engineering Technology
"journal::protein engineering, design & selection : peds","Protein engineering, design & selection : PEDS"
journal::international symposium on computers and communications,International Symposium on Computers and Communications
journal::joint international conference of semantic technology,Joint International Conference of Semantic Technology
journal::journal of indo-pacific archaeology,Journal of Indo-Pacific Archaeology
