from,to,type
conference::american journal of perinatology reports,proceeding::american journal of perinatology reports::2019,HAS_EDITION
conference::british medical journal,proceeding::british medical journal::2003,HAS_EDITION
conference::2025 ieee 5th international conference on sustainable energy and future electric transportation (sefet),proceeding::2025 ieee 5th international conference on sustainable energy and future electric transportation (sefet)::2025,HAS_EDITION
conference::cdmw '12,proceeding::cdmw '12::2012,HAS_EDITION
"conference::synergizing management, technology and innovation in generating sustainable and competitive business growth","proceeding::synergizing management, technology and innovation in generating sustainable and competitive business growth::2021",HAS_EDITION
"conference::the journal of nutrition, health & aging","proceeding::the journal of nutrition, health & aging::2020",HAS_EDITION
conference::proceedings of the 2024 6th blockchain and internet of things conference,proceeding::proceedings of the 2024 6th blockchain and internet of things conference::2024,HAS_EDITION
conference::biodiversity information science and standards,proceeding::biodiversity information science and standards::2019,HAS_EDITION
conference::iforest : biogeosciences and forestry,proceeding::iforest : biogeosciences and forestry::2018,HAS_EDITION
"conference::2025 2nd international conference on software, systems and information technology (ssitcon)","proceeding::2025 2nd international conference on software, systems and information technology (ssitcon)::2025",HAS_EDITION
conference::rheumatology,proceeding::rheumatology::2019,HAS_EDITION
"conference::sustainability accounting, management and policy journal","proceeding::sustainability accounting, management and policy journal::2023",HAS_EDITION
conference::north american journal of fisheries management,proceeding::north american journal of fisheries management::2018,HAS_EDITION
conference::iop conference series: earth and environment,proceeding::iop conference series: earth and environment::2019,HAS_EDITION
conference::cureus,proceeding::cureus::2021,HAS_EDITION
conference::free radical biology & medicine,proceeding::free radical biology & medicine::2020,HAS_EDITION
conference::cardiovascular and interventional radiology,proceeding::cardiovascular and interventional radiology::2017,HAS_EDITION
conference::water,proceeding::water::2020,HAS_EDITION
conference::abi-technik,proceeding::abi-technik::2021,HAS_EDITION
"conference::industrielle beziehungen. zeitschrift für arbeit, organisation und management","proceeding::industrielle beziehungen. zeitschrift für arbeit, organisation und management::2022",HAS_EDITION
conference::technical  mechanics,proceeding::technical  mechanics::2021,HAS_EDITION
conference::proceedings of the international academic conference on frontiers in social sciences and management innovation (iafsm 2019),proceeding::proceedings of the international academic conference on frontiers in social sciences and management innovation (iafsm 2019)::2020,HAS_EDITION
workshop::proceedings of the 29th eg-ice international workshop on intelligent computing in engineering,proceeding::proceedings of the 29th eg-ice international workshop on intelligent computing in engineering::2022,HAS_EDITION
conference::encyclopedia of personality and individual differences,proceeding::encyclopedia of personality and individual differences::2020,HAS_EDITION
conference::future foods,proceeding::future foods::2021,HAS_EDITION
conference::international journal of current science research and review,proceeding::international journal of current science research and review::2022,HAS_EDITION
conference::international conference on measuring technology and mechatronics automation,proceeding::international conference on measuring technology and mechatronics automation::2016,HAS_EDITION
conference::information security solutions europe,proceeding::information security solutions europe::2012,HAS_EDITION
conference::e3s web of conferences,proceeding::e3s web of conferences::2021,HAS_EDITION
conference::systems and information engineering design symposium,proceeding::systems and information engineering design symposium::2024,HAS_EDITION
"conference::2021 9th international conference on reliability, infocom technologies and optimization (trends and future directions) (icrito)","proceeding::2021 9th international conference on reliability, infocom technologies and optimization (trends and future directions) (icrito)::2021",HAS_EDITION
conference::the jps jewish heritage torah commentary,proceeding::the jps jewish heritage torah commentary::2021,HAS_EDITION
conference::2017 23rd annual international conference in advanced computing and communications (adcom),proceeding::2017 23rd annual international conference in advanced computing and communications (adcom)::2017,HAS_EDITION
conference::ieee international conference on industrial engineering and engineering management,proceeding::ieee international conference on industrial engineering and engineering management::2009,HAS_EDITION
conference::energies,proceeding::energies::2018,HAS_EDITION
conference::applied sciences,proceeding::applied sciences::2020,HAS_EDITION
conference::international journal of technology assessment in health care,proceeding::international journal of technology assessment in health care::2019,HAS_EDITION
conference::agronomy,proceeding::agronomy::2020,HAS_EDITION
"conference::2023 ieee international conference on electrical, automation and computer engineering (iceace)","proceeding::2023 ieee international conference on electrical, automation and computer engineering (iceace)::2023",HAS_EDITION
conference::international conference on industrial mechatronics and automation,proceeding::international conference on industrial mechatronics and automation::2010,HAS_EDITION
conference::gut,proceeding::gut::2022,HAS_EDITION
conference::journal of applied ecology,proceeding::journal of applied ecology::2020,HAS_EDITION
conference::british journal of healthcare management,proceeding::british journal of healthcare management::2021,HAS_EDITION
conference::journal of hydrology,proceeding::journal of hydrology::2018,HAS_EDITION
conference::2012 international conference on computer vision in remote sensing,proceeding::2012 international conference on computer vision in remote sensing::2012,HAS_EDITION
conference::designs,proceeding::designs::2022,HAS_EDITION
conference::innovation in aging,proceeding::innovation in aging::2019,HAS_EDITION
conference::photonics europe,proceeding::photonics europe::2010,HAS_EDITION
conference::coral reefs,proceeding::coral reefs::2005,HAS_EDITION
conference::herpetological monographs,proceeding::herpetological monographs::2017,HAS_EDITION
conference::biorxiv,proceeding::biorxiv::2019,HAS_EDITION
conference::proceedings of the international scientific and practical conference strategy of development of regional ecosystems “education-science-industry” (ispcr 2021),proceeding::proceedings of the international scientific and practical conference strategy of development of regional ecosystems “education-science-industry” (ispcr 2021)::2022,HAS_EDITION
conference::asian journal of agricultural extension economics & sociology,proceeding::asian journal of agricultural extension economics & sociology::2019,HAS_EDITION
conference::journal of physics: conference series,proceeding::journal of physics: conference series::2019,HAS_EDITION
conference::british journal of surgery,proceeding::british journal of surgery::2022,HAS_EDITION
conference::chemical engineering research & design,proceeding::chemical engineering research & design::2018,HAS_EDITION
conference::pakistan journal of medical &amp; health sciences,proceeding::pakistan journal of medical &amp; health sciences::2022,HAS_EDITION
conference::proceedings of the 2025 international conference on economic management and big data application,proceeding::proceedings of the 2025 international conference on economic management and big data application::2025,HAS_EDITION
conference::archives of physical medicine and rehabilitation,proceeding::archives of physical medicine and rehabilitation::2022,HAS_EDITION
conference::logistik im wandel der zeit – von der produktionssteuerung zu vernetzten supply chains,proceeding::logistik im wandel der zeit – von der produktionssteuerung zu vernetzten supply chains::2019,HAS_EDITION
conference::international conference on recent trends in information technology,proceeding::international conference on recent trends in information technology::2011,HAS_EDITION
conference::journal of lightwave technology,proceeding::journal of lightwave technology::2016,HAS_EDITION
conference::geological society london engineering geology special publications,proceeding::geological society london engineering geology special publications::1996,HAS_EDITION
conference::2024 opju international technology conference (otcon) on smart computing for innovation and advancement in industry 4.0,proceeding::2024 opju international technology conference (otcon) on smart computing for innovation and advancement in industry 4.0::2024,HAS_EDITION
conference::2025 world skills conference on universal data analytics and sciences (worldsuas),proceeding::2025 world skills conference on universal data analytics and sciences (worldsuas)::2025,HAS_EDITION
conference::neurology clinical practice,proceeding::neurology clinical practice::2017,HAS_EDITION
conference::veterinary anatomy and physiology,proceeding::veterinary anatomy and physiology::2019,HAS_EDITION
"conference::2021 joint international conference on digital arts, media and technology with ecti northern section conference on electrical, electronics, computer and telecommunication engineering","proceeding::2021 joint international conference on digital arts, media and technology with ecti northern section conference on electrical, electronics, computer and telecommunication engineering::2021",HAS_EDITION
conference::european urology,proceeding::european urology::2011,HAS_EDITION
"conference::international conference on wireless communications, networking and mobile computing","proceeding::international conference on wireless communications, networking and mobile computing::2008",HAS_EDITION
conference::2023 8th international conference on cloud computing and big data analytics (icccbda),proceeding::2023 8th international conference on cloud computing and big data analytics (icccbda)::2023,HAS_EDITION
conference::czech journal of civil engineering,proceeding::czech journal of civil engineering::2017,HAS_EDITION
conference::international journal of entertainment technology and management,proceeding::international journal of entertainment technology and management::2020,HAS_EDITION
conference::international symposium on medical simulation,proceeding::international symposium on medical simulation::2013,HAS_EDITION
conference::online international conference on green engineering and technologies,proceeding::online international conference on green engineering and technologies::2016,HAS_EDITION
"conference::proceedings. 2005 ieee intelligent transportation systems, 2005.","proceeding::proceedings. 2005 ieee intelligent transportation systems, 2005.::2005",HAS_EDITION
conference::international conference on advanced communication technology,proceeding::international conference on advanced communication technology::2008,HAS_EDITION
conference::2025 11th international conference on wireless and telematics (icwt),proceeding::2025 11th international conference on wireless and telematics (icwt)::2025,HAS_EDITION
conference::asian test symposium,proceeding::asian test symposium::2018,HAS_EDITION
conference::international journal of computer trends and technology,proceeding::international journal of computer trends and technology::2019,HAS_EDITION
"conference::international conference on cryptography, security and privacy","proceeding::international conference on cryptography, security and privacy::2015",HAS_EDITION
conference::open forum infectious diseases,proceeding::open forum infectious diseases::2019,HAS_EDITION
conference::ieee india conference,proceeding::ieee india conference::2013,HAS_EDITION
workshop::international workshop on the semantic web,proceeding::international workshop on the semantic web::2013,HAS_EDITION
conference::international conference on informatics and analytics,proceeding::international conference on informatics and analytics::2008,HAS_EDITION
conference::sustainability science,proceeding::sustainability science::2020,HAS_EDITION
conference::world congress on information and communication technologies,proceeding::world congress on information and communication technologies::2011,HAS_EDITION
"workshop::international workshop on databases, information systems, and peer-to-peer computing","proceeding::international workshop on databases, information systems, and peer-to-peer computing::2005",HAS_EDITION
workshop::icpr workshops,proceeding::icpr workshops::2021,HAS_EDITION
conference::international conference on advances in ict for emerging regions,proceeding::international conference on advances in ict for emerging regions::2016,HAS_EDITION
workshop::acm sigspatial international workshop on advances in geographic information systems,proceeding::acm sigspatial international workshop on advances in geographic information systems::2011,HAS_EDITION
workshop::international workshop on semantic evaluation,proceeding::international workshop on semantic evaluation::2022,HAS_EDITION
workshop::2007 ieee international workshop on databases for next generation researchers,proceeding::2007 ieee international workshop on databases for next generation researchers::2007,HAS_EDITION
workshop::acm sigspatial international workshop on advances in geographic information systems,proceeding::acm sigspatial international workshop on advances in geographic information systems::2002,HAS_EDITION
workshop::workshop on computational geometry,proceeding::workshop on computational geometry::1991,HAS_EDITION
conference::2021 2nd international conference on secure cyber computing and communications (icsccc),proceeding::2021 2nd international conference on secure cyber computing and communications (icsccc)::2021,HAS_EDITION
conference::journal of clinical oncology,proceeding::journal of clinical oncology::2019,HAS_EDITION
conference::international conference on neural networks and brain,proceeding::international conference on neural networks and brain::2005,HAS_EDITION
conference::biodiversity information science and standards,proceeding::biodiversity information science and standards::2019,HAS_EDITION
workshop::2014 ieee international conference on data mining workshop,proceeding::2014 ieee international conference on data mining workshop::2014,HAS_EDITION
"conference::international conference on modeling, simulation, and applied optimization","proceeding::international conference on modeling, simulation, and applied optimization::2017",HAS_EDITION
conference::annals of internal medicine,proceeding::annals of internal medicine::1993,HAS_EDITION
conference::international conferences on biomedical and bioinformatics engineering,proceeding::international conferences on biomedical and bioinformatics engineering::2009,HAS_EDITION
conference::encyclopedia of data warehousing and mining,proceeding::encyclopedia of data warehousing and mining::2009,HAS_EDITION
conference::confluence,proceeding::confluence::2020,HAS_EDITION
conference::2015 international conference on pervasive computing (icpc),proceeding::2015 international conference on pervasive computing (icpc)::2015,HAS_EDITION
conference::proceedings of the sriwijaya international conference on information technology and its applications (siconian 2019),proceeding::proceedings of the sriwijaya international conference on information technology and its applications (siconian 2019)::2020,HAS_EDITION
workshop::proceedings of 7th international conference and workshop on database and expert systems applications: dexa 96,proceeding::proceedings of 7th international conference and workshop on database and expert systems applications: dexa 96::1996,HAS_EDITION
conference::smart,proceeding::smart::2023,HAS_EDITION
conference::2022 3rd international conference on smart electronics and communication (icosec),proceeding::2022 3rd international conference on smart electronics and communication (icosec)::2022,HAS_EDITION
conference::yoga mimamsa,proceeding::yoga mimamsa::2022,HAS_EDITION
conference::proceedings. the ieee 5th international conference on intelligent transportation systems,proceeding::proceedings. the ieee 5th international conference on intelligent transportation systems::2002,HAS_EDITION
workshop::2012 second international workshop on developing tools as plug-ins (topi),proceeding::2012 second international workshop on developing tools as plug-ins (topi)::2012,HAS_EDITION
"conference::day 3 thu, may 09, 2024","proceeding::day 3 thu, may 09, 2024::2024",HAS_EDITION
conference::2024 ieee international conference on intelligent signal processing and effective communication technologies (inspect),proceeding::2024 ieee international conference on intelligent signal processing and effective communication technologies (inspect)::2024,HAS_EDITION
conference::journal of clinical oncology,proceeding::journal of clinical oncology::2021,HAS_EDITION
workshop::proceedings of the 4th international workshop on knowledge-augmented methods for natural language processing,proceeding::proceedings of the 4th international workshop on knowledge-augmented methods for natural language processing::2025,HAS_EDITION
conference::big data in bioeconomy,proceeding::big data in bioeconomy::2021,HAS_EDITION
conference::2016 advances in wireless and optical communications (rtuwo),proceeding::2016 advances in wireless and optical communications (rtuwo)::2016,HAS_EDITION
conference::lecture notes in computer science,proceeding::lecture notes in computer science::2016,HAS_EDITION
conference::pharmacy world & science,proceeding::pharmacy world & science::2004,HAS_EDITION
"conference::2025 6th international conference on big data, artificial intelligence and internet of things engineering (icbaie)","proceeding::2025 6th international conference on big data, artificial intelligence and internet of things engineering (icbaie)::2025",HAS_EDITION
conference::international conference intelligent computing and control systems,proceeding::international conference intelligent computing and control systems::2023,HAS_EDITION
conference::spie defense + commercial sensing,proceeding::spie defense + commercial sensing::2003,HAS_EDITION
conference::2021 ieee international conference on artificial intelligence and computer applications (icaica),proceeding::2021 ieee international conference on artificial intelligence and computer applications (icaica)::2021,HAS_EDITION
workshop::acm sigspatial international workshop on advances in geographic information systems,proceeding::acm sigspatial international workshop on advances in geographic information systems::1998,HAS_EDITION
conference::oceans,proceeding::oceans::2009,HAS_EDITION
conference::ieee india conference,proceeding::ieee india conference::2016,HAS_EDITION
conference::abstracts of the ica,proceeding::abstracts of the ica::2019,HAS_EDITION
conference::2022 international conference on electronics and renewable systems (icears),proceeding::2022 international conference on electronics and renewable systems (icears)::2022,HAS_EDITION
conference::journal of clinical oncology,proceeding::journal of clinical oncology::2023,HAS_EDITION
conference::confluence,proceeding::confluence::2019,HAS_EDITION
conference::journal of optometry,proceeding::journal of optometry::2022,HAS_EDITION
conference::2022 global reliability and prognostics and health management (phm-yantai),proceeding::2022 global reliability and prognostics and health management (phm-yantai)::2022,HAS_EDITION
workshop::2011 ieee international conference on bioinformatics and biomedicine workshops (bibmw),proceeding::2011 ieee international conference on bioinformatics and biomedicine workshops (bibmw)::2011,HAS_EDITION
workshop::proceedings. tenth international workshop on database and expert systems applications. dexa 99,proceeding::proceedings. tenth international workshop on database and expert systems applications. dexa 99::1999,HAS_EDITION
conference::international journal of computer trends and technology,proceeding::international journal of computer trends and technology::2018,HAS_EDITION
conference::bmc neuroscience,proceeding::bmc neuroscience::2012,HAS_EDITION
conference::ankara hacı bayram veli üniversitesi i̇ktisadi ve i̇dari bilimler fakültesi dergisi,proceeding::ankara hacı bayram veli üniversitesi i̇ktisadi ve i̇dari bilimler fakültesi dergisi::2022,HAS_EDITION
workshop::international workshop on document analysis systems,proceeding::international workshop on document analysis systems::2016,HAS_EDITION
conference::applied sciences,proceeding::applied sciences::2023,HAS_EDITION
conference::2024 6th international conference on frontier technologies of information and computer (icftic),proceeding::2024 6th international conference on frontier technologies of information and computer (icftic)::2024,HAS_EDITION
conference::asset analytics,proceeding::asset analytics::2019,HAS_EDITION
workshop::international workshop on multiple classifier systems,proceeding::international workshop on multiple classifier systems::2010,HAS_EDITION
conference::circulation,proceeding::circulation::2020,HAS_EDITION
conference::blood,proceeding::blood::2018,HAS_EDITION
conference::ieee joint international information technology and artificial intelligence conference,proceeding::ieee joint international information technology and artificial intelligence conference::2020,HAS_EDITION
workshop::otm workshops,proceeding::otm workshops::2004,HAS_EDITION
conference::geofluids,proceeding::geofluids::2021,HAS_EDITION
conference::2012 ieee symposium on robotics and applications (isra),proceeding::2012 ieee symposium on robotics and applications (isra)::2012,HAS_EDITION
conference::international journal for research in applied science and engineering technology,proceeding::international journal for research in applied science and engineering technology::2019,HAS_EDITION
conference::international journal of retail & distribution management,proceeding::international journal of retail & distribution management::2021,HAS_EDITION
conference::environmental evidence,proceeding::environmental evidence::2021,HAS_EDITION
conference::asia pacific symposium on intelligent and evolutionary systems,proceeding::asia pacific symposium on intelligent and evolutionary systems::2025,HAS_EDITION
conference::applied sciences,proceeding::applied sciences::2020,HAS_EDITION
conference::new trends of research in ontologies and lexical resources,proceeding::new trends of research in ontologies and lexical resources::2013,HAS_EDITION
conference::lecture notes in computer science,proceeding::lecture notes in computer science::2015,HAS_EDITION
conference::academic psychiatry,proceeding::academic psychiatry::2022,HAS_EDITION
conference::frontiers in education conference,proceeding::frontiers in education conference::2025,HAS_EDITION
workshop::east/west database workshop,proceeding::east/west database workshop::1990,HAS_EDITION
conference::defense + commercial sensing,proceeding::defense + commercial sensing::2012,HAS_EDITION
workshop::international workshop on the semantic web,proceeding::international workshop on the semantic web::2008,HAS_EDITION
conference::indonesian journal of electrical engineering and computer science,proceeding::indonesian journal of electrical engineering and computer science::2019,HAS_EDITION
conference::the superior journal of physical therapy and rehabilitation,proceeding::the superior journal of physical therapy and rehabilitation::2023,HAS_EDITION
conference::2023 2nd international conference on edge computing and applications (icecaa),proceeding::2023 2nd international conference on edge computing and applications (icecaa)::2023,HAS_EDITION
conference::community-built databases,proceeding::community-built databases::2011,HAS_EDITION
"conference::international conference on technological advances in electrical, electronics and computer engineering","proceeding::international conference on technological advances in electrical, electronics and computer engineering::2013",HAS_EDITION
conference::high performance visualization,proceeding::high performance visualization::2012,HAS_EDITION
conference::international journal of advanced computer science and applications,proceeding::international journal of advanced computer science and applications::2022,HAS_EDITION
workshop::international workshop on data warehousing and olap,proceeding::international workshop on data warehousing and olap::2013,HAS_EDITION
conference::international conference on computational intelligence and communication networks,proceeding::international conference on computational intelligence and communication networks::2011,HAS_EDITION
workshop::ieee workshop/winter conference on applications of computer vision,proceeding::ieee workshop/winter conference on applications of computer vision::2017,HAS_EDITION
conference::2024 international conference on automation and computation (autocom),proceeding::2024 international conference on automation and computation (autocom)::2024,HAS_EDITION
conference::economics. law. innovaion,proceeding::economics. law. innovaion::2021,HAS_EDITION
conference::international conference on artificial intelligence and soft computing,proceeding::international conference on artificial intelligence and soft computing::2023,HAS_EDITION
"conference::conference, emerging information technology 2005.","proceeding::conference, emerging information technology 2005.::2005",HAS_EDITION
conference::international conference on signals and electronic systems,proceeding::international conference on signals and electronic systems::2021,HAS_EDITION
conference::research in international business and finance,proceeding::research in international business and finance::2023,HAS_EDITION
workshop::acm international workshop on web information and data management,proceeding::acm international workshop on web information and data management::2003,HAS_EDITION
conference::bulletin of the school of oriental and african studies,proceeding::bulletin of the school of oriental and african studies::1987,HAS_EDITION
workshop::2010 second international workshop on education technology and computer science,proceeding::2010 second international workshop on education technology and computer science::2010,HAS_EDITION
"conference::2023 international conference on research methodologies in knowledge management, artificial intelligence and telecommunication engineering (rmkmate)","proceeding::2023 international conference on research methodologies in knowledge management, artificial intelligence and telecommunication engineering (rmkmate)::2023",HAS_EDITION
conference::bmc genomics,proceeding::bmc genomics::2015,HAS_EDITION
conference::geoinformatics,proceeding::geoinformatics::2006,HAS_EDITION
conference::journal of plant growth regulation,proceeding::journal of plant growth regulation::2015,HAS_EDITION
