venueId,name
pediatric surgery international (print),Pediatric surgery international (Print)
"international conference on intelligent transportation, big data and smart city","International Conference on Intelligent Transportation, Big Data and Smart City"
international journal of ethics and systems,International Journal of Ethics and Systems
atmosphere,Atmosphere
pharmaceutical medicine,Pharmaceutical Medicine
current opinion in critical care,Current Opinion in Critical Care
ieee conference of russian young researchers in electrical and electronic engineering,IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering
international journal of advances in scientific research and engineering,International Journal of Advances in Scientific Research and Engineering
international journal of communication systems,International Journal of Communication Systems
african journal of range and forage science,African Journal of Range and Forage Science
simulations in medicine,Simulations in Medicine
african journal of primary health care & family medicine,African Journal of Primary Health Care & Family Medicine
nuansa,NUANSA
jmir mhealth and uhealth,JMIR mHealth and uHealth
respiratory medicine,Respiratory Medicine
bandung conference series: business and management,Bandung Conference Series: Business and Management
international conference on pattern recognition,International Conference on Pattern Recognition
iet cyper-phys. syst.: theory & appl.,IET Cyper-Phys. Syst.: Theory & Appl.
east african journal of business and economics,East African Journal of Business and Economics
j-aksi : jurnal akuntansi dan sistem informasi,J-AKSI : JURNAL AKUNTANSI DAN SISTEM INFORMASI
zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases
geo journal of tourism and geosites,Geo Journal of Tourism and Geosites
journal of contingencies and crisis management,Journal of Contingencies and Crisis Management
"volume 6 number 1, february 2023","Volume 6 Number 1, February 2023"
highlights in science engineering and technology,Highlights in Science Engineering and Technology
global emergency and critical care,Global Emergency and Critical Care
journal of social science,Journal of Social Science
jurnal basicedu,Jurnal Basicedu
international nursing review,International Nursing Review
south florida journal of development,South Florida Journal of Development
scientific journal of astana it university,Scientific Journal of Astana IT University
journal of innovative computing and emerging technologies,Journal of Innovative Computing and Emerging Technologies
"journal of sociology, psychology and religious","Journal of Sociology, Psychology and Religious"
journal la multiapp,Journal La Multiapp
thermal science,Thermal Science
international journal of management and business economics,International Journal of Management and Business Economics
big data & society,Big Data & Society
indian journal of otology,Indian Journal of Otology
international journal of advanced research,International Journal of Advanced Research
journal of social work and science education,Journal of Social Work and Science Education
sustainability,Sustainability
systems biology in reproductive medicine,Systems Biology in Reproductive Medicine
teaching english and language learning english journal (telle),Teaching English and Language Learning English Journal (TELLE)
journal of digital business and innovation management,Journal of Digital Business and Innovation Management
journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery
journal of ecotourism,Journal of Ecotourism
journal of pharmaceutical research international,Journal of Pharmaceutical Research International
ieee journal on selected areas in communications,IEEE Journal on Selected Areas in Communications
journal of soil and water conservation,Journal of Soil and Water Conservation
"journal of the geographical institute jovan cvijic, sasa","Journal of the Geographical Institute Jovan Cvijic, SASA"
ssr institute of international journal of life sciences,SSR Institute of International Journal of Life Sciences
journal of physiotherapy,Journal of Physiotherapy
journal of the endocrine society,Journal of the Endocrine Society
agricultural science,Agricultural Science
journal of global health,Journal of Global Health
journal of animal ecology,Journal of Animal Ecology
american journal of perinatology reports,American Journal of Perinatology Reports
journal of diabetes and metabolic disorders,Journal of Diabetes and Metabolic Disorders
frontiers in neurology,Frontiers in Neurology
"synergizing management, technology and innovation in generating sustainable and competitive business growth","Synergizing Management, Technology and Innovation in Generating Sustainable and Competitive Business Growth"
"the journal of nutrition, health & aging","The Journal of Nutrition, Health & Aging"
proceedings of the 2024 6th blockchain and internet of things conference,Proceedings of the 2024 6th Blockchain and Internet of Things Conference
ieee systems journal,IEEE Systems Journal
journal of food science and technology,Journal of food science and technology
practice and experience in advanced research computing,Practice and Experience in Advanced Research Computing
annals of parasitology,Annals of parasitology
biodiversity information science and standards,Biodiversity Information Science and Standards
ieee transactions on instrumentation and measurement,IEEE Transactions on Instrumentation and Measurement
journal of the american medical directors association,Journal of the American Medical Directors Association
journal of environmental management,Journal of Environmental Management
circulation research,Circulation Research
jurnal akuntansi bisnis dan humaniora,Jurnal Akuntansi Bisnis Dan Humaniora
"etm - equipment,  technologies, materials","ETM - Equipment,  Technologies, Materials"
rheumatology,Rheumatology
return,return
"sustainability accounting, management and policy journal","Sustainability Accounting, Management and Policy Journal"
iop conference series: earth and environment,IOP Conference Series: Earth and Environment
ieee internet of things journal,IEEE Internet of Things Journal
free radical biology & medicine,Free Radical Biology & Medicine
creative surgery and oncology,Creative Surgery and Oncology
water,Water
abi-technik,ABI-Technik
value : jurnal manajemen dan akuntansi,Value : Jurnal Manajemen dan Akuntansi
"industrielle beziehungen. zeitschrift für arbeit, organisation und management","Industrielle Beziehungen. Zeitschrift für Arbeit, Organisation und Management"
technical  mechanics,Technical  mechanics
proceedings of the international academic conference on frontiers in social sciences and management innovation (iafsm 2019),Proceedings of the International Academic Conference on Frontiers in Social Sciences and Management Innovation (IAFSM 2019)
eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit,Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit
proceedings of the 29th eg-ice international workshop on intelligent computing in engineering,Proceedings of the 29th EG-ICE International Workshop on Intelligent Computing in Engineering
interdisciplinary journal on law social sciences and humanities,INTERDISCIPLINARY JOURNAL ON LAW SOCIAL SCIENCES AND HUMANITIES
expert opinion on biological therapy,Expert Opinion on Biological Therapy
encyclopedia of personality and individual differences,Encyclopedia of Personality and Individual Differences
future foods,Future Foods
international journal of current science research and review,International Journal of Current Science Research and Review
current treatment options in pediatrics,Current Treatment Options in Pediatrics
journal of taibah university medical sciences,Journal of Taibah University Medical Sciences
systems and information engineering design symposium,Systems and Information Engineering Design Symposium
"2021 9th international conference on reliability, infocom technologies and optimization (trends and future directions) (icrito)","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)"
"the international conference on education, social sciences and technology (icesst)","The International Conference on Education, Social Sciences and Technology (ICESST)"
jurnal farmasi sandi karsa,Jurnal Farmasi Sandi Karsa
the jps jewish heritage torah commentary,The JPS Jewish Heritage Torah Commentary
psychiatric quarterly,Psychiatric quarterly
blood,Blood
diabetes technology & therapeutics,Diabetes Technology & Therapeutics
international journal of innovative research in science engineering and technology,International Journal of Innovative Research in Science Engineering and Technology
international journal of technology assessment in health care,International Journal of Technology Assessment in Health Care
"southeast european design automation, computer engineering, computer networks and social media conference","SouthEast European Design Automation, Computer Engineering, Computer Networks and Social Media Conference"
journal of the national cancer institute,Journal of the National Cancer Institute
agronomy,Agronomy
academic journal of business &amp; management,Academic Journal of Business &amp; Management
epra international journal of multidisciplinary research,EPRA international journal of multidisciplinary research
"2023 ieee international conference on electrical, automation and computer engineering (iceace)","2023 IEEE International Conference on Electrical, Automation and Computer Engineering (ICEACE)"
gut,Gut
himalayan journal of nursing and midwifery,Himalayan Journal of Nursing and Midwifery
journal of applied ecology,Journal of Applied Ecology
british journal of healthcare management,British Journal of Healthcare Management
jiip - jurnal ilmiah ilmu pendidikan,JIIP - Jurnal Ilmiah Ilmu Pendidikan
plos one,PLoS ONE
european heart journal. acute cardiovascular care,European heart journal. Acute cardiovascular care
jurnal manajerial,Jurnal Manajerial
bmj case reports,BMJ Case Reports
designs,Designs
innovation in aging,Innovation in aging
orthopedic nursing,Orthopedic Nursing
methomika jurnal manajemen informatika dan komputerisasi akuntansi,METHOMIKA Jurnal Manajemen Informatika dan Komputerisasi Akuntansi
south african journal of information management,South African Journal of Information Management
medinfo,Medinfo
biorxiv,bioRxiv
proceedings of the international scientific and practical conference strategy of development of regional ecosystems “education-science-industry” (ispcr 2021),Proceedings of the International Scientific and Practical Conference Strategy of Development of Regional Ecosystems “Education-Science-Industry” (ISPCR 2021)
ieee transactions on computer-aided design of integrated circuits and systems,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
asian journal of agricultural extension economics & sociology,Asian Journal of Agricultural Extension Economics & Sociology
journal of infrastructure policy and development,Journal of Infrastructure Policy and Development
journal of physics: conference series,Journal of Physics: Conference Series
"hematology, transfusion and cell therapy","Hematology, Transfusion and Cell Therapy"
neurologic clinics,Neurologic clinics
ieee computer society annual symposium on vlsi,IEEE Computer Society Annual Symposium on VLSI
healthcare,Healthcare
biological and clinical sciences research journal,Biological and Clinical Sciences Research Journal
advancement of iot in blockchain technology and its applications,Advancement of IoT in Blockchain Technology and its Applications
pakistan journal of medical &amp; health sciences,Pakistan Journal of Medical &amp; Health Sciences
archives of physical medicine and rehabilitation,Archives of Physical Medicine and Rehabilitation
logistik im wandel der zeit – von der produktionssteuerung zu vernetzten supply chains,Logistik im Wandel der Zeit – Von der Produktionssteuerung zu vernetzten Supply Chains
biomolecules,Biomolecules
2024 opju international technology conference (otcon) on smart computing for innovation and advancement in industry 4.0,2024 OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 4.0
journal of social welfare and management,Journal of Social Welfare and Management
data in brief,Data in Brief
veterinary anatomy and physiology,Veterinary Anatomy and Physiology
the lancet respiratory medicine,The Lancet Respiratory Medicine
frontiers in aging neuroscience,Frontiers in Aging Neuroscience
journal of social science studies,Journal of Social Science Studies
"2021 joint international conference on digital arts, media and technology with ecti northern section conference on electrical, electronics, computer and telecommunication engineering","2021 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering"
mitat. minimally invasive therapy & allied technologies,MITAT. Minimally invasive therapy & allied technologies
cardiovascular and interventional radiology,Cardiovascular and Interventional Radiology
applied mathematics and nonlinear sciences,Applied Mathematics and Nonlinear Sciences
2023 8th international conference on cloud computing and big data analytics (icccbda),2023 8th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA)
international journal of entertainment technology and management,International Journal of Entertainment Technology and Management
jurnal pendidikan ekonomi undiksha,Jurnal Pendidikan Ekonomi Undiksha
journal of multidisciplinary academic and practice studies,Journal of Multidisciplinary Academic and Practice Studies
journal of nursing management,Journal of Nursing Management
reconfigurable communication-centric systems-on-chip,Reconfigurable Communication-centric Systems-on-Chip
journal of pain research,Journal of Pain Research
expert review of clinical immunology,Expert Review of Clinical Immunology
scandinavian journal of forest research,Scandinavian Journal of Forest Research
jurnal educatio: jurnal pendidikan indonesia,Jurnal EDUCATIO: Jurnal Pendidikan Indonesia
prive: jurnal riset akuntansi dan keuangan,PRIVE: Jurnal Riset Akuntansi dan Keuangan
hydrological processes,Hydrological Processes
online world conference on soft computing in industrial applications,Online World Conference on Soft Computing in Industrial Applications
current diabetes reviews,Current Diabetes Reviews
marine pollution bulletin,Marine Pollution Bulletin
j. am. medical informatics assoc.,J. Am. Medical Informatics Assoc.
economic annals-ххi,Economic Annals-ХХI
abdi pustaka jurnal perpustakaan dan kearsipan,ABDI PUSTAKA Jurnal Perpustakaan dan Kearsipan
2023 ieee international conference on cloud computing in emerging markets (ccem),2023 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM)
review of international business and strategy,Review of International Business and Strategy
pakistan journal of medical & health sciences,Pakistan Journal of Medical & Health Sciences
icc 2021 - ieee international conference on communications,ICC 2021 - IEEE International Conference on Communications
al munir jurnal komunikasi dan penyiaran islam,AL MUNIR Jurnal Komunikasi dan Penyiaran Islam
human immunology,Human Immunology
international conference on the digital society,International Conference on the Digital Society
ieee international workshops on enabling technologies: infrastracture for collaborative enterprises,IEEE International Workshops on Enabling Technologies: Infrastracture for Collaborative Enterprises
international journal of advanced biochemistry research,International Journal of Advanced Biochemistry Research
advances in social sciences research journal,Advances in Social Sciences Research Journal
dairy,Dairy
scientific reports,Scientific Reports
frontiers in plant science,Frontiers in Plant Science
discover applied sciences,Discover Applied Sciences
"2023 ieee international conferences on internet of things (ithings) and ieee green computing & communications (greencom) and ieee cyber, physical & social computing (cpscom) and ieee smart data (smartdata) and ieee congress on cybermatics (cybermatics)","2023 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)"
jurnal ilmiah advokasi,Jurnal ilmiah advokasi
nigerian journal of logistics and transport,Nigerian Journal of Logistics and Transport
humanistic management journal,Humanistic Management Journal
jurnal ekonomi,Jurnal Ekonomi
african journal of paediatric surgery,African Journal of Paediatric Surgery
built environment project and asset management,Built Environment Project and Asset Management
european journal of ageing,European Journal of Ageing
mimbar pgsd undiksha,Mimbar PGSD Undiksha
science of the total environment,Science of the Total Environment
international journal of innovative science and research technology,International Journal of Innovative Science and Research Technology
construction and architecture,Construction and Architecture
infectious agents and cancer,Infectious Agents and Cancer
the social science,The social science
european urology focus,European Urology Focus
journal of mammalogy,Journal of Mammalogy
sanskara manajemen dan bisnis,Sanskara Manajemen Dan Bisnis
frontiers in marine science,Frontiers in Marine Science
journal of marine science and engineering,Journal of Marine Science and Engineering
2022 2nd international conference on electronic information technology and smart agriculture (iceitsa),2022 2nd International Conference on Electronic Information Technology and Smart Agriculture (ICEITSA)
advances in intelligent systems and computing,Advances in Intelligent Systems and Computing
tanta scientific nursing journal,Tanta Scientific Nursing Journal
veterinary world,Veterinary World
acta chirurgica belgica,Acta Chirurgica Belgica
management research review,Management Research Review
big data and cognitive computing,Big Data and Cognitive Computing
journal of parkinson's disease,Journal of Parkinson's Disease
pharmacy in practice,Pharmacy in practice
computers and electronics in agriculture,Computers and Electronics in Agriculture
bmj open,BMJ Open
journal of clinical orthopaedics and trauma,Journal of Clinical Orthopaedics and Trauma
"jurnal ilmiah akuntansi, manajemen dan ekonomi islam (jam-ekis)","Jurnal Ilmiah Akuntansi, Manajemen dan Ekonomi Islam (JAM-EKIS)"
water resources research,Water Resources Research
jcs,JCS
european journal of training and development,European Journal of Training and Development
orphanet journal of rare diseases,Orphanet Journal of Rare Diseases
jrmb (jurnal riset manajemen &amp; bisnis),JRMB (Jurnal Riset Manajemen &amp; Bisnis)
مجلة کلية التربية بالمنصورة,مجلة کلية التربية بالمنصورة
"day 3 tue, november 30, 2021","Day 3 Tue, November 30, 2021"
international conference on rebooting computing,International Conference on Rebooting Computing
evidence-based dentistry,Evidence-Based Dentistry
jurnal ilmu manajemen advantage,Jurnal Ilmu Manajemen Advantage
advances in library and information science,Advances in Library and Information Science
ieee sensors journal,IEEE Sensors Journal
"2024 1st international conference on advances in computing, communication and networking (icac2n)","2024 1st International Conference on Advances in Computing, Communication and Networking (ICAC2N)"
bmc psychiatry,BMC Psychiatry
jurnal manajemen pelayanan kesehatan,Jurnal manajemen pelayanan kesehatan
asian journal of education and social studies,Asian Journal of Education and Social Studies
community health equity research & policy,Community Health Equity Research & Policy
multiple sclerosis and related disorders,Multiple Sclerosis and Related Disorders
jurnal agri-tek : jurnal penelitian ilmu-ilmu eksakta,JURNAL AGRI-TEK : Jurnal Penelitian Ilmu-Ilmu Eksakta
buhuchet v sel'skom hozjajstve (accounting in agriculture),Buhuchet v sel'skom hozjajstve (Accounting in Agriculture)
frontiers of engineering management,Frontiers of Engineering Management
international journal of religion,International Journal of Religion
asian journal of humanities and social studies,Asian Journal of Humanities and Social Studies
ieee communications magazine,IEEE Communications Magazine
periodontology,Periodontology
neural information processing systems,Neural Information Processing Systems
journal of techniques,Journal of Techniques
journal awwa,Journal AWWA
english review: journal of english education,English Review: Journal of English Education
ciência e agrotecnologia,Ciência e Agrotecnologia
journal of world science,Journal Of World Science
international conference on statistical and scientific database management,International Conference on Statistical and Scientific Database Management
international journal of general medicine,International Journal of General Medicine
evolutionary studies in imaginative culture,Evolutionary Studies in Imaginative Culture
journal of rehabilitation medicine,Journal of Rehabilitation Medicine
konstanta : jurnal matematika dan ilmu pengetahuan alam,Konstanta : Jurnal Matematika dan Ilmu Pengetahuan Alam
journal of surgical education,Journal of Surgical Education
international journal of applied mathematics and computer sciences,International Journal of Applied Mathematics and Computer Sciences
egyptian journal of health care,Egyptian Journal of Health Care
2024 8th international symposium on multidisciplinary studies and innovative technologies (ismsit),2024 8th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)
journal of advanced nursing,Journal of Advanced Nursing
aeronautics and aerospace open access journal,Aeronautics and Aerospace Open Access Journal
jurnal manajemen pendidikan islam darussalam,Jurnal Manajemen Pendidikan Islam Darussalam
journal of emergency management,Journal of Emergency Management
media trend,Media Trend
cogent engineering,Cogent Engineering
jurnal sains dan teknologi industri,Jurnal Sains dan Teknologi Industri
revista de biologia marina y oceanografia,Revista de biologia marina y oceanografia
technical and technological aspects of development and testing of new machinery and technologies for agriculture of ukraine,Technical and technological aspects of development and testing of new machinery and technologies for agriculture of Ukraine
arquivos de neuro-psiquiatria,Arquivos de Neuro-Psiquiatria
journal of patient safety,Journal of patient safety
pediatric radiology,Pediatric Radiology
sotsium i vlast/society and power,Sotsium i vlast/Society and Power
hiv medicine,HIV Medicine
journal of extension,Journal of Extension
safety of nuclear waste disposal,Safety of Nuclear Waste Disposal
drugs,Drugs
international conference on database theory,International Conference on Database Theory
research in social and administrative pharmacy,Research in Social and Administrative Pharmacy
nutrition research and practice,Nutrition Research and Practice
indonesian journal of obstetrics and gynecology,Indonesian Journal of Obstetrics and Gynecology
ieee international conference on e-science,IEEE International Conference on e-Science
journal of medical genetics,Journal of Medical Genetics
diabetes,Diabetes
management and entrepreneurship trends of development,Management and Entrepreneurship Trends of Development
journal of intelligent & fuzzy systems,Journal of Intelligent & Fuzzy Systems
journal of environmental quality,Journal of Environmental Quality
cost effectiveness and resource allocation,Cost Effectiveness and Resource Allocation
pionir: jurnal pendidikan,PIONIR: JURNAL PENDIDIKAN
european conference on management leadership and governance,European Conference on Management Leadership and Governance
al-tanzim : jurnal manajemen pendidikan islam,AL-TANZIM : JURNAL MANAJEMEN PENDIDIKAN ISLAM
university library at a new stage of social communications development. conference proceedings,UNIVERSITY LIBRARY AT A NEW STAGE OF SOCIAL COMMUNICATIONS DEVELOPMENT. CONFERENCE PROCEEDINGS
"2023 second ieee international conference on measurement, instrumentation, control and automation (icmica)","2023 Second IEEE International Conference on Measurement, Instrumentation, Control and Automation (ICMICA)"
translational lung cancer research,Translational Lung Cancer Research
2023 14th international conference on intelligent systems: theories and applications (sita),2023 14th International Conference on Intelligent Systems: Theories and Applications (SITA)
bmc pregnancy and childbirth,BMC Pregnancy and Childbirth
jekami journal of accounting,JEKAMI Journal of Accounting
dinamika pendidikan,Dinamika Pendidikan
journal of nepalese business studies,Journal of Nepalese Business Studies
international journal of social sciences and management research,INTERNATIONAL JOURNAL OF SOCIAL SCIENCES AND MANAGEMENT RESEARCH
osteoporosis and sarcopenia,Osteoporosis and Sarcopenia
techne - journal of technology for architecture and environment,TECHNE - Journal of Technology for Architecture and Environment
informal: informatics journal,Informal: informatics journal
social science research network,Social Science Research Network
journal of allergy and clinical immunology: in practice,Journal of Allergy and Clinical Immunology: In Practice
yonago acta medica,Yonago acta medica
journal of experimental biology and agricultural sciences,Journal of Experimental Biology and Agricultural Sciences
conservation genetics,Conservation Genetics
international journal of  business and quality research,International Journal of  Business and Quality Research
journal of biomedical and sustainable healthcare applications,Journal of Biomedical and Sustainable Healthcare Applications
journal of noesantara islamic studies,Journal of Noesantara Islamic Studies
journal of transport geography,Journal of Transport Geography
"ekonomika i upravlenie: problemy, resheniya","EKONOMIKA I UPRAVLENIE: PROBLEMY, RESHENIYA"
international conference on information security and cryptology,International Conference on Information Security and Cryptology
journal of natural resource conservation and management,Journal of Natural Resource Conservation and Management
jpma. the journal of the pakistan medical association,JPMA. The Journal of the Pakistan Medical Association
kne social sciences,KnE Social Sciences
proceedings of the international conference on industrial engineering and operations management,Proceedings of the International Conference on Industrial Engineering and Operations Management
int. j. metadata semant. ontologies,Int. J. Metadata Semant. Ontologies
acm cloud and autonomic computing conference,ACM Cloud and Autonomic Computing Conference
2020 international conference on educational training and educational phenomena (icetep2020),2020 International Conference on Educational Training and Educational Phenomena (ICETEP2020)
equine veterinary journal,Equine Veterinary Journal
mathematical problems in engineering,Mathematical Problems in Engineering
canadian journal of forest research,Canadian Journal of Forest Research
plos global public health,PLOS Global Public Health
indonesian journal of educational research and review,Indonesian Journal Of Educational Research and Review
frontiers in physiology,Frontiers in Physiology
indian journal of surgical oncology,Indian Journal of Surgical Oncology
journal of aerospace science and technology,Journal of aerospace science and technology
"2024 ieee 3rd international conference on micro/nano sensors for ai, healthcare, and robotics (nsens)","2024 IEEE 3rd International Conference on Micro/Nano Sensors for AI, Healthcare, and Robotics (NSENS)"
proceedings of the 2024 5th international conference on intelligent medicine and health,Proceedings of the 2024 5th International Conference on Intelligent Medicine and Health
perfusion,Perfusion
international journal of visual and performing arts,International Journal of Visual and Performing Arts
clinical and experimental obstetrics &amp; gynecology,Clinical and Experimental Obstetrics &amp; Gynecology
socio time / социальное время,SOCIO TIME / СОЦИАЛЬНОЕ ВРЕМЯ
international journal of colorectal disease,International Journal of Colorectal Disease
world journal of surgery,World Journal of Surgery
saber,Saber
gastroenterology research and practice,Gastroenterology Research and Practice
sage open,SAGE Open
frontiers in public health,Frontiers in Public Health
international journal of aquatic research and environmental studies,International Journal of Aquatic Research and Environmental Studies
jawra journal of the american water resources association,JAWRA Journal of the American Water Resources Association
microprocessors and microsystems,Microprocessors and microsystems
"research data repository, duke university","Research Data Repository, Duke University"
journal on applied and chemical physics,Journal on Applied and Chemical Physics
plos digital health,PLOS Digital Health
icimmi,ICIMMI
destech transactions on social science education and human science,DEStech Transactions on Social Science Education and Human Science
lecture notes in education psychology and public media,Lecture Notes in Education Psychology and Public Media
"pediatric nephrology (berlin, west)","Pediatric nephrology (Berlin, West)"
