from,to,type
journal::neotropical entomology,volume::neotropical entomology::2016,HAS_VOLUME
journal::journal of clinical medicine,volume::journal of clinical medicine::2024,HAS_VOLUME
journal::ieee international conference on industrial engineering and engineering management,volume::ieee international conference on industrial engineering and engineering management::2023,HAS_VOLUME
journal::journal of ethnopharmacology,volume::journal of ethnopharmacology::2019,HAS_VOLUME
journal::medrxiv,volume::medrxiv::2023,HAS_VOLUME
journal::asme journal of heat and mass transfer,volume::asme journal of heat and mass transfer::2023,HAS_VOLUME
journal::cochrane database of systematic reviews,volume::cochrane database of systematic reviews::2023,HAS_VOLUME
journal::neya global journal of non-profit studies,volume::neya global journal of non-profit studies::2025,HAS_VOLUME
journal::journal of behavior therapy and experimental psychiatry,volume::journal of behavior therapy and experimental psychiatry::1984,HAS_VOLUME
journal::international journal of disaster resilience in the built environment,volume::international journal of disaster resilience in the built environment::2023,HAS_VOLUME
journal::journal of humanities and social sciences studies,volume::journal of humanities and social sciences studies::2026,HAS_VOLUME
journal::journal of combinatorial mathematics and combinatorial computing,volume::journal of combinatorial mathematics and combinatorial computing::2025,HAS_VOLUME
journal::psychology and education: a multidisciplinary journal,volume::psychology and education: a multidisciplinary journal::2025,HAS_VOLUME
journal::gema lingkungan kesehatan,volume::gema lingkungan kesehatan::2025,HAS_VOLUME
journal::environmental science and pollution research international,volume::environmental science and pollution research international::2024,HAS_VOLUME
journal::biosfer: jurnal tadris biologi,volume::biosfer: jurnal tadris biologi::2022,HAS_VOLUME
journal::journal of islamic economics,volume::journal of islamic economics::2024,HAS_VOLUME
journal::journal of public health in africa,volume::journal of public health in africa::2025,HAS_VOLUME
journal::italian national conference on sensors,volume::italian national conference on sensors::2021,HAS_VOLUME
journal::tropical animal health and production,volume::tropical animal health and production::2025,HAS_VOLUME
journal::ieee international geoscience and remote sensing symposium,volume::ieee international geoscience and remote sensing symposium::2019,HAS_VOLUME
journal::italian national conference on sensors,volume::italian national conference on sensors::2023,HAS_VOLUME
journal::accounting,volume::accounting::2025,HAS_VOLUME
journal::journal of computational methods in sciences and engineering,volume::journal of computational methods in sciences and engineering::2025,HAS_VOLUME
journal::transplantation direct,volume::transplantation direct::2024,HAS_VOLUME
journal::italian national conference on sensors,volume::italian national conference on sensors::2025,HAS_VOLUME
journal::holistik jurnal kesehatan,volume::holistik jurnal kesehatan::2025,HAS_VOLUME
journal::pain research and management,volume::pain research and management::2024,HAS_VOLUME
journal::seminars in oncology nursing,volume::seminars in oncology nursing::2018,HAS_VOLUME
journal::acm/ieee international conference on model driven engineering languages and systems,volume::acm/ieee international conference on model driven engineering languages and systems::2022,HAS_VOLUME
journal::international journal of health care quality assurance,volume::international journal of health care quality assurance::2014,HAS_VOLUME
journal::fisheries research,volume::fisheries research::2015,HAS_VOLUME
journal::south eastern european journal of public health,volume::south eastern european journal of public health::2024,HAS_VOLUME
journal::journal of business and econometrics studies,volume::journal of business and econometrics studies::2025,HAS_VOLUME
journal::animals,volume::animals::2019,HAS_VOLUME
journal::be-hisz,volume::be-hisz::2024,HAS_VOLUME
journal::aslib journal of information management,volume::aslib journal of information management::2023,HAS_VOLUME
journal::international journal of health planning and management,volume::international journal of health planning and management::2021,HAS_VOLUME
journal::soviet economy,volume::soviet economy::2025,HAS_VOLUME
journal::transactions on emerging telecommunications technologies,volume::transactions on emerging telecommunications technologies::2023,HAS_VOLUME
journal::journal of governance innovation,volume::journal of governance innovation::2024,HAS_VOLUME
journal::strategic journal of business &amp; change management,volume::strategic journal of business &amp; change management::2019,HAS_VOLUME
journal::human systems management,volume::human systems management::2025,HAS_VOLUME
journal::journal of business & economics research,volume::journal of business & economics research::2024,HAS_VOLUME
journal::jurnal ilmiah pariwisata dan bisnis,volume::jurnal ilmiah pariwisata dan bisnis::2023,HAS_VOLUME
journal::bmc family practice,volume::bmc family practice::2011,HAS_VOLUME
journal::journal of pain and symptom management,volume::journal of pain and symptom management::1994,HAS_VOLUME
journal::jurnal pengabdian masyarakat dan inovasi teknologi tepat guna,volume::jurnal pengabdian masyarakat dan inovasi teknologi tepat guna::2025,HAS_VOLUME
journal::bmc public health,volume::bmc public health::2025,HAS_VOLUME
journal::canadian journal of psychiatry. revue canadienne de psychiatrie,volume::canadian journal of psychiatry. revue canadienne de psychiatrie::1986,HAS_VOLUME
journal::ajr. american journal of roentgenology,volume::ajr. american journal of roentgenology::2024,HAS_VOLUME
journal::the veterinary journal,volume::the veterinary journal::2013,HAS_VOLUME
journal::ieee transactions on control systems technology,volume::ieee transactions on control systems technology::2026,HAS_VOLUME
journal::brain pathology,volume::brain pathology::2023,HAS_VOLUME
journal::biosciences biotechnology research asia,volume::biosciences biotechnology research asia::2025,HAS_VOLUME
journal::agricultural science digest - a research journal,volume::agricultural science digest - a research journal::2025,HAS_VOLUME
journal::ieee transactions on automation science and engineering,volume::ieee transactions on automation science and engineering::2013,HAS_VOLUME
journal::clincal and experimental dermatology,volume::clincal and experimental dermatology::2024,HAS_VOLUME
journal::gsc advanced research and reviews,volume::gsc advanced research and reviews::2025,HAS_VOLUME
"journal::the journal of nutrition, health & aging","volume::the journal of nutrition, health & aging::2008",HAS_VOLUME
journal::global journal of health science,volume::global journal of health science::2014,HAS_VOLUME
journal::world journal of vocational education and training,volume::world journal of vocational education and training::2025,HAS_VOLUME
journal::ijebd (international journal of entrepreneurship and business development),volume::ijebd (international journal of entrepreneurship and business development)::2024,HAS_VOLUME
journal::journal of oral rehabilitation,volume::journal of oral rehabilitation::2021,HAS_VOLUME
journal::multimedia tools and applications,volume::multimedia tools and applications::2018,HAS_VOLUME
"journal::international journal of education, learning and development","volume::international journal of education, learning and development::2024",HAS_VOLUME
journal::international journal of information systems in the service sector,volume::international journal of information systems in the service sector::2026,HAS_VOLUME
journal::zhongguo yi xue ke xue yuan xue bao. acta academiae medicinae sinicae,volume::zhongguo yi xue ke xue yuan xue bao. acta academiae medicinae sinicae::2010,HAS_VOLUME
journal::arxiv.org,volume::arxiv.org::2024,HAS_VOLUME
journal::journal on spesial topics in mobile networks and applications,volume::journal on spesial topics in mobile networks and applications::2021,HAS_VOLUME
"journal::international journal of applied research in management, economics and accounting","volume::international journal of applied research in management, economics and accounting::2025",HAS_VOLUME
journal::journal of humanitarian logistics and supply chain management,volume::journal of humanitarian logistics and supply chain management::2023,HAS_VOLUME
journal::international journal of environmental science,volume::international journal of environmental science::2024,HAS_VOLUME
journal::management sciences,volume::management sciences::2024,HAS_VOLUME
journal::journal of clinical nursing,volume::journal of clinical nursing::2018,HAS_VOLUME
journal::cureus,volume::cureus::2023,HAS_VOLUME
journal::accounting horizons,volume::accounting horizons::2025,HAS_VOLUME
journal::plos one,volume::plos one::2016,HAS_VOLUME
journal::journal of social research,volume::journal of social research::2026,HAS_VOLUME
journal::ieee international symposium on distributed simulation and real-time applications,volume::ieee international symposium on distributed simulation and real-time applications::2022,HAS_VOLUME
journal::ingeniería y universidad,volume::ingeniería y universidad::2023,HAS_VOLUME
journal::manazhim,volume::manazhim::2024,HAS_VOLUME
journal::indian journal of psychiatric nursing,volume::indian journal of psychiatric nursing::2024,HAS_VOLUME
journal::journal of travel medicine,volume::journal of travel medicine::2018,HAS_VOLUME
journal::syst.,volume::syst.::2023,HAS_VOLUME
journal::international journal of lean six sigma,volume::international journal of lean six sigma::2025,HAS_VOLUME
journal::aids (london),volume::aids (london)::2018,HAS_VOLUME
journal::the lancet regional health - europe,volume::the lancet regional health - europe::2025,HAS_VOLUME
"journal::jurnal ekonomi bisnis, manajemen dan akuntansi","volume::jurnal ekonomi bisnis, manajemen dan akuntansi::2022",HAS_VOLUME
journal::cancer causes and control,volume::cancer causes and control::2022,HAS_VOLUME
journal::international conference on ultra modern telecommunications,volume::international conference on ultra modern telecommunications::2025,HAS_VOLUME
journal::cureus,volume::cureus::2022,HAS_VOLUME
journal::remote sensing,volume::remote sensing::2025,HAS_VOLUME
journal::ieee access,volume::ieee access::2022,HAS_VOLUME
journal::e3s web of conferences,volume::e3s web of conferences::2023,HAS_VOLUME
journal::cochrane database of systematic reviews,volume::cochrane database of systematic reviews::2016,HAS_VOLUME
journal::complex & intelligent systems,volume::complex & intelligent systems::2022,HAS_VOLUME
journal::journal of clinical medicine,volume::journal of clinical medicine::2023,HAS_VOLUME
journal::circulation,volume::circulation::1994,HAS_VOLUME
journal::vietnam journal of education,volume::vietnam journal of education::2024,HAS_VOLUME
journal::ieee transactions on nanobioscience,volume::ieee transactions on nanobioscience::2007,HAS_VOLUME
journal::cardiovascular biomedicine journal,volume::cardiovascular biomedicine journal::2026,HAS_VOLUME
journal::water resources management,volume::water resources management::2023,HAS_VOLUME
journal::journal of neurological sciences,volume::journal of neurological sciences::2019,HAS_VOLUME
journal::international brazilian journal of urology,volume::international brazilian journal of urology::2024,HAS_VOLUME
journal::international journal of molecular sciences,volume::international journal of molecular sciences::2025,HAS_VOLUME
journal::journal of rawalpindi medical college,volume::journal of rawalpindi medical college::2024,HAS_VOLUME
journal::international journal of multidisciplinary and scientific emerging research,volume::international journal of multidisciplinary and scientific emerging research::2025,HAS_VOLUME
journal::clinical nutrition espen,volume::clinical nutrition espen::2022,HAS_VOLUME
journal::journal of systems and information technology,volume::journal of systems and information technology::2016,HAS_VOLUME
journal::zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi,volume::zhonghua liu xing bing xue za zhi = zhonghua liuxingbingxue zazhi::2021,HAS_VOLUME
journal::ieee international conference on services computing,volume::ieee international conference on services computing::2014,HAS_VOLUME
journal::journal of extracellular biology,volume::journal of extracellular biology::2024,HAS_VOLUME
journal::sustainability,volume::sustainability::2026,HAS_VOLUME
journal::ieee international symposium on broadband multimedia systems and broadcasting,volume::ieee international symposium on broadband multimedia systems and broadcasting::2014,HAS_VOLUME
journal::annals of emergency medicine,volume::annals of emergency medicine::1985,HAS_VOLUME
journal::international journal of research in business and social science,volume::international journal of research in business and social science::2023,HAS_VOLUME
journal::international journal of computer science in sport,volume::international journal of computer science in sport::2021,HAS_VOLUME
journal::archivio italiano di urologia e andrologia,volume::archivio italiano di urologia e andrologia::2017,HAS_VOLUME
journal::american journal of obstetrics and gynecology,volume::american journal of obstetrics and gynecology::1954,HAS_VOLUME
journal::pediatric surgery international (print),volume::pediatric surgery international (print)::2021,HAS_VOLUME
journal::bmc health services research,volume::bmc health services research::2008,HAS_VOLUME
journal::american journal of audiology,volume::american journal of audiology::1994,HAS_VOLUME
journal::journal of vascular surgery,volume::journal of vascular surgery::2012,HAS_VOLUME
journal::interspeech,volume::interspeech::2001,HAS_VOLUME
journal::atmosphere,volume::atmosphere::2023,HAS_VOLUME
journal::the american surgeon,volume::the american surgeon::2001,HAS_VOLUME
journal::rcmos - revista científica multidisciplinar o saber,volume::rcmos - revista científica multidisciplinar o saber::2026,HAS_VOLUME
journal::current opinion in critical care,volume::current opinion in critical care::2022,HAS_VOLUME
"journal::nutrition (burbank, los angeles county, calif.)","volume::nutrition (burbank, los angeles county, calif.)::2025",HAS_VOLUME
journal::applied clinical informatics,volume::applied clinical informatics::2015,HAS_VOLUME
journal::international journal of communication systems,volume::international journal of communication systems::2024,HAS_VOLUME
journal::joinetech (international journal of economic and technological studies),volume::joinetech (international journal of economic and technological studies)::2025,HAS_VOLUME
journal::african journal of primary health care & family medicine,volume::african journal of primary health care & family medicine::2021,HAS_VOLUME
journal::nuansa,volume::nuansa::2023,HAS_VOLUME
journal::the r journal,volume::the r journal::2017,HAS_VOLUME
journal::romanian journal of morphology and embryology = revue roumaine de morphologie et embryologie,volume::romanian journal of morphology and embryology = revue roumaine de morphologie et embryologie::2025,HAS_VOLUME
journal::jmir mhealth and uhealth,volume::jmir mhealth and uhealth::2019,HAS_VOLUME
journal::management sciences,volume::management sciences::2026,HAS_VOLUME
"journal::2012 sc companion: high performance computing, networking storage and analysis","volume::2012 sc companion: high performance computing, networking storage and analysis::2012",HAS_VOLUME
journal::respiratory medicine,volume::respiratory medicine::2022,HAS_VOLUME
journal::bandung conference series: business and management,volume::bandung conference series: business and management::2024,HAS_VOLUME
journal::international conference on pattern recognition,volume::international conference on pattern recognition::2024,HAS_VOLUME
journal::iet cyper-phys. syst.: theory & appl.,volume::iet cyper-phys. syst.: theory & appl.::2024,HAS_VOLUME
journal::east african journal of business and economics,volume::east african journal of business and economics::2023,HAS_VOLUME
journal::j-aksi : jurnal akuntansi dan sistem informasi,volume::j-aksi : jurnal akuntansi dan sistem informasi::2023,HAS_VOLUME
journal::siberian law herald,volume::siberian law herald::2025,HAS_VOLUME
journal::international journal of scientific research and innovative studies,volume::international journal of scientific research and innovative studies::2025,HAS_VOLUME
journal::contemporary oncology,volume::contemporary oncology::2015,HAS_VOLUME
journal::journal of clinical psychopharmacology,volume::journal of clinical psychopharmacology::1989,HAS_VOLUME
"journal::zero: jurnal sains, matematika dan terapan","volume::zero: jurnal sains, matematika dan terapan::2025",HAS_VOLUME
journal::zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases,volume::zhonghua jie he he hu xi za zhi = zhonghua jiehe he huxi zazhi = chinese journal of tuberculosis and respiratory diseases::2024,HAS_VOLUME
journal::geo journal of tourism and geosites,volume::geo journal of tourism and geosites::2024,HAS_VOLUME
"journal::international journal of advanced research in science, communication and technology","volume::international journal of advanced research in science, communication and technology::2025",HAS_VOLUME
"journal::volume 6 number 1, february 2023","volume::volume 6 number 1, february 2023::2023",HAS_VOLUME
journal::global emergency and critical care,volume::global emergency and critical care::2024,HAS_VOLUME
journal::journal of social science,volume::journal of social science::2024,HAS_VOLUME
journal::journal of the medical library association,volume::journal of the medical library association::2018,HAS_VOLUME
journal::frontiers in pharmacology,volume::frontiers in pharmacology::2025,HAS_VOLUME
journal::journal of the american college of surgeons,volume::journal of the american college of surgeons::2015,HAS_VOLUME
journal::international nursing review,volume::international nursing review::2021,HAS_VOLUME
journal::implementation science,volume::implementation science::2015,HAS_VOLUME
journal::scientific journal of astana it university,volume::scientific journal of astana it university::2024,HAS_VOLUME
journal::journal of innovative computing and emerging technologies,volume::journal of innovative computing and emerging technologies::2024,HAS_VOLUME
"journal::journal of sociology, psychology and religious","volume::journal of sociology, psychology and religious::2023",HAS_VOLUME
journal::information security conference,volume::information security conference::2016,HAS_VOLUME
journal::journal la multiapp,volume::journal la multiapp::2024,HAS_VOLUME
journal::epsilon journal of management,volume::epsilon journal of management::2025,HAS_VOLUME
journal::saudi surgical journal,volume::saudi surgical journal::2025,HAS_VOLUME
journal::hawaii international conference on system sciences,volume::hawaii international conference on system sciences::2014,HAS_VOLUME
journal::international journal of management and business economics,volume::international journal of management and business economics::2023,HAS_VOLUME
journal::current treatment options in cardiovascular medicine,volume::current treatment options in cardiovascular medicine::2017,HAS_VOLUME
journal::big data & society,volume::big data & society::2019,HAS_VOLUME
journal::acm '76,volume::acm '76::1976,HAS_VOLUME
journal::indian journal of otology,volume::indian journal of otology::2023,HAS_VOLUME
journal::ieee transactions on automation science and engineering,volume::ieee transactions on automation science and engineering::2026,HAS_VOLUME
journal::journal of posthumanism,volume::journal of posthumanism::2025,HAS_VOLUME
journal::chinese journal of cancer research = chung-kuo yen cheng yen chiu,volume::chinese journal of cancer research = chung-kuo yen cheng yen chiu::2018,HAS_VOLUME
journal::journal of social work and science education,volume::journal of social work and science education::2024,HAS_VOLUME
journal::international journal of social science humanity &amp; management research,volume::international journal of social science humanity &amp; management research::2025,HAS_VOLUME
journal::systems biology in reproductive medicine,volume::systems biology in reproductive medicine::2024,HAS_VOLUME
journal::journal of digital business and innovation management,volume::journal of digital business and innovation management::2023,HAS_VOLUME
journal::journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery,volume::journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery::2024,HAS_VOLUME
journal::journal of occupational and environmental hygiene,volume::journal of occupational and environmental hygiene::2015,HAS_VOLUME
journal::jurnal eduhealth,volume::jurnal eduhealth::2025,HAS_VOLUME
journal::journal of ecotourism,volume::journal of ecotourism::2024,HAS_VOLUME
journal::asia-pacific journal of public health,volume::asia-pacific journal of public health::2017,HAS_VOLUME
journal::conservation biology,volume::conservation biology::2014,HAS_VOLUME
journal::international journal of speech-language pathology,volume::international journal of speech-language pathology::2011,HAS_VOLUME
journal::american journal of tropical medicine and hygiene,volume::american journal of tropical medicine and hygiene::2015,HAS_VOLUME
journal::ieee journal on selected areas in communications,volume::ieee journal on selected areas in communications::2022,HAS_VOLUME
journal::journal of behavioral medicine,volume::journal of behavioral medicine::2008,HAS_VOLUME
journal::global communications conference,volume::global communications conference::2014,HAS_VOLUME
journal::journal of physiotherapy,volume::journal of physiotherapy::2023,HAS_VOLUME
journal::journal of the endocrine society,volume::journal of the endocrine society::2023,HAS_VOLUME
journal::ieee transactions on computers,volume::ieee transactions on computers::2026,HAS_VOLUME
journal::journal of global health,volume::journal of global health::2020,HAS_VOLUME
journal::journal of animal ecology,volume::journal of animal ecology::2020,HAS_VOLUME
journal::oncology nursing forum,volume::oncology nursing forum::2018,HAS_VOLUME
journal::journal of diabetes and metabolic disorders,volume::journal of diabetes and metabolic disorders::2020,HAS_VOLUME
journal::international journal of social sciences and humanities,volume::international journal of social sciences and humanities::2025,HAS_VOLUME
journal::international conference on supercomputing,volume::international conference on supercomputing::1988,HAS_VOLUME
journal::journal of advances and scholarly researches in allied education,volume::journal of advances and scholarly researches in allied education::2025,HAS_VOLUME
journal::sj ophthalmology africa,volume::sj ophthalmology africa::2026,HAS_VOLUME
journal::frontiers in neurology,volume::frontiers in neurology::2021,HAS_VOLUME
journal::indonesian journal of accounting and governance,volume::indonesian journal of accounting and governance::2025,HAS_VOLUME
journal::tist,volume::tist::2011,HAS_VOLUME
journal::vigilância sanitária em debate,volume::vigilância sanitária em debate::2025,HAS_VOLUME
journal::ieee systems journal,volume::ieee systems journal::2022,HAS_VOLUME
journal::journal of food science and technology,volume::journal of food science and technology::2024,HAS_VOLUME
journal::practice and experience in advanced research computing,volume::practice and experience in advanced research computing::2022,HAS_VOLUME
journal::annals of parasitology,volume::annals of parasitology::2021,HAS_VOLUME
journal::american journal of respiratory and critical care medicine,volume::american journal of respiratory and critical care medicine::2012,HAS_VOLUME
journal::social science research network,volume::social science research network::2025,HAS_VOLUME
journal::ieee transactions on instrumentation and measurement,volume::ieee transactions on instrumentation and measurement::2024,HAS_VOLUME
journal::journal of global oncology,volume::journal of global oncology::2016,HAS_VOLUME
journal::journal of the american medical directors association,volume::journal of the american medical directors association::2023,HAS_VOLUME
journal::journal of environmental management,volume::journal of environmental management::2024,HAS_VOLUME
journal::circulation research,volume::circulation research::2019,HAS_VOLUME
journal::clinical and experimental metastasis,volume::clinical and experimental metastasis::2011,HAS_VOLUME
journal::jurnal akuntansi bisnis dan humaniora,volume::jurnal akuntansi bisnis dan humaniora::2021,HAS_VOLUME
"journal::etm - equipment,  technologies, materials","volume::etm - equipment,  technologies, materials::2024",HAS_VOLUME
journal::return,volume::return::2023,HAS_VOLUME
journal::world journal of advanced engineering technology and sciences,volume::world journal of advanced engineering technology and sciences::2025,HAS_VOLUME
journal::revista recien - revista científica de enfermagem,volume::revista recien - revista científica de enfermagem::2026,HAS_VOLUME
journal::nakhara. journal of environmental design and planning,volume::nakhara. journal of environmental design and planning::2025,HAS_VOLUME
journal::ieee internet of things journal,volume::ieee internet of things journal::2022,HAS_VOLUME
journal::dependable systems and networks,volume::dependable systems and networks::2007,HAS_VOLUME
journal::creative surgery and oncology,volume::creative surgery and oncology::2024,HAS_VOLUME
journal::children,volume::children::2025,HAS_VOLUME
journal::value : jurnal manajemen dan akuntansi,volume::value : jurnal manajemen dan akuntansi::2023,HAS_VOLUME
journal::ecology and evolution,volume::ecology and evolution::2014,HAS_VOLUME
journal::journal of electrical technology umy,volume::journal of electrical technology umy::2025,HAS_VOLUME
journal::the journal of craniofacial surgery (print),volume::the journal of craniofacial surgery (print)::2025,HAS_VOLUME
journal::drug and alcohol dependence reports,volume::drug and alcohol dependence reports::2025,HAS_VOLUME
journal::eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit,volume::eastern mediterranean health journal = la revue de sante de la mediterranee orientale = al-majallah al-sihhiyah li-sharq al-mutawassit::2020,HAS_VOLUME
journal::interdisciplinary journal on law social sciences and humanities,volume::interdisciplinary journal on law social sciences and humanities::2023,HAS_VOLUME
journal::academic pediatrics,volume::academic pediatrics::2011,HAS_VOLUME
journal::expert opinion on biological therapy,volume::expert opinion on biological therapy::2024,HAS_VOLUME
journal::oncotarget,volume::oncotarget::2016,HAS_VOLUME
journal::american journal of gastroenterology,volume::american journal of gastroenterology::2005,HAS_VOLUME
journal::current treatment options in pediatrics,volume::current treatment options in pediatrics::2023,HAS_VOLUME
journal::world journal of gastrointestinal endoscopy,volume::world journal of gastrointestinal endoscopy::2011,HAS_VOLUME
"journal::nephrology, dialysis and transplantation","volume::nephrology, dialysis and transplantation::2000",HAS_VOLUME
journal::research journal for social affairs,volume::research journal for social affairs::2025,HAS_VOLUME
journal::journal of taibah university medical sciences,volume::journal of taibah university medical sciences::2023,HAS_VOLUME
journal::american journal of respiratory and critical care medicine,volume::american journal of respiratory and critical care medicine::2010,HAS_VOLUME
journal::revista alergia méxico,volume::revista alergia méxico::2025,HAS_VOLUME
journal::acta radiologica,volume::acta radiologica::2026,HAS_VOLUME
"journal::the international conference on education, social sciences and technology (icesst)","volume::the international conference on education, social sciences and technology (icesst)::2023",HAS_VOLUME
journal::jurnal farmasi sandi karsa,volume::jurnal farmasi sandi karsa::2022,HAS_VOLUME
journal::international conference on 3d technologies for the world wide web,volume::international conference on 3d technologies for the world wide web::2012,HAS_VOLUME
journal::paediatric drugs,volume::paediatric drugs::2002,HAS_VOLUME
journal::mobilehci adjunct,volume::mobilehci adjunct::2016,HAS_VOLUME
journal::international conference on extending database technology,volume::international conference on extending database technology::2009,HAS_VOLUME
journal::psychiatric quarterly,volume::psychiatric quarterly::2021,HAS_VOLUME
journal::bmc health services research,volume::bmc health services research::2016,HAS_VOLUME
journal::blood,volume::blood::2024,HAS_VOLUME
journal::diabetes technology & therapeutics,volume::diabetes technology & therapeutics::2019,HAS_VOLUME
journal::international journal of innovative research in science engineering and technology,volume::international journal of innovative research in science engineering and technology::2023,HAS_VOLUME
journal::international journal of advanced multidisciplinary research and studies,volume::international journal of advanced multidisciplinary research and studies::2026,HAS_VOLUME
journal::international journal of electronic business,volume::international journal of electronic business::2013,HAS_VOLUME
"journal::southeast european design automation, computer engineering, computer networks and social media conference","volume::southeast european design automation, computer engineering, computer networks and social media conference::2024",HAS_VOLUME
journal::journal of the national cancer institute,volume::journal of the national cancer institute::2023,HAS_VOLUME
journal::academic journal of business &amp; management,volume::academic journal of business &amp; management::2024,HAS_VOLUME
journal::epra international journal of multidisciplinary research,volume::epra international journal of multidisciplinary research::2024,HAS_VOLUME
journal::ieee transactions on intelligent transportation systems (print),volume::ieee transactions on intelligent transportation systems (print)::2025,HAS_VOLUME
journal::himalayan journal of nursing and midwifery,volume::himalayan journal of nursing and midwifery::2022,HAS_VOLUME
"journal::ieee international conference on systems, man and cybernetics","volume::ieee international conference on systems, man and cybernetics::2010",HAS_VOLUME
journal::jiip - jurnal ilmiah ilmu pendidikan,volume::jiip - jurnal ilmiah ilmu pendidikan::2024,HAS_VOLUME
journal::balkan journal of medical genetics,volume::balkan journal of medical genetics::2016,HAS_VOLUME
journal::international journal of the addictions,volume::international journal of the addictions::1981,HAS_VOLUME
journal::international journal of environmental research and public health,volume::international journal of environmental research and public health::2022,HAS_VOLUME
journal::future security,volume::future security::2012,HAS_VOLUME
journal::plos one,volume::plos one::2022,HAS_VOLUME
journal::european heart journal. acute cardiovascular care,volume::european heart journal. acute cardiovascular care::2020,HAS_VOLUME
journal::australian and new zealand journal of surgery,volume::australian and new zealand journal of surgery::1998,HAS_VOLUME
journal::revista em extensão,volume::revista em extensão::2025,HAS_VOLUME
journal::jurnal manajerial,volume::jurnal manajerial::2024,HAS_VOLUME
journal::bmj case reports,volume::bmj case reports::2023,HAS_VOLUME
journal::journal of renal nutrition,volume::journal of renal nutrition::2002,HAS_VOLUME
journal::international journal of analysis and applications,volume::international journal of analysis and applications::2025,HAS_VOLUME
journal::supportive care in cancer,volume::supportive care in cancer::2016,HAS_VOLUME
journal::world conference on information technology,volume::world conference on information technology::2011,HAS_VOLUME
journal::clinical oral investigations,volume::clinical oral investigations::2018,HAS_VOLUME
journal::ieee international symposium on multimedia,volume::ieee international symposium on multimedia::2005,HAS_VOLUME
journal::journal of internal medicine,volume::journal of internal medicine::2015,HAS_VOLUME
journal::orthopedic nursing,volume::orthopedic nursing::2019,HAS_VOLUME
journal::methomika jurnal manajemen informatika dan komputerisasi akuntansi,volume::methomika jurnal manajemen informatika dan komputerisasi akuntansi::2023,HAS_VOLUME
journal::journal of zhejiang university science c,volume::journal of zhejiang university science c::2010,HAS_VOLUME
journal::south african journal of information management,volume::south african journal of information management::2023,HAS_VOLUME
journal::communications of the association for information systems,volume::communications of the association for information systems::2006,HAS_VOLUME
journal::international journal of information and education technology,volume::international journal of information and education technology::2025,HAS_VOLUME
journal::drug safety,volume::drug safety::2003,HAS_VOLUME
journal::ubicomp/iswc adjunct,volume::ubicomp/iswc adjunct::2018,HAS_VOLUME
journal::medinfo,volume::medinfo::2019,HAS_VOLUME
"journal::physical education, health and social sciences","volume::physical education, health and social sciences::2025",HAS_VOLUME
journal::heart rhythm,volume::heart rhythm::2017,HAS_VOLUME
