authorId,name,firstName,lastName
1411426986,B. Leonard,B.,Leonard
1453346623,S. Ulibarri,S.,Ulibarri
152321557,T. Grabowski,T.,Grabowski
48335968,H. van Rijn,H.,van Rijn
1695004,Andrea Stocco,Andrea,Stocco
134404672,Md. Samiul Haque,Md.,Samiul Haque
49661802,Md. jahangir Alam,Md.,jahangir Alam
2122475311,L. Y. Asad,L.,Y. Asad
2124804059,Md. Enayet Kabir,Md.,Enayet Kabir
13396275,Tahmina Sikder,Tahmina,Sikder
2461756,A. Gray,A.,Gray
2010473,W. Cohen,W.,Cohen
50109638,Zhiqiang Yang,Zhiqiang,Yang
49521243,E. Pfaff,E.,Pfaff
2022436971,Analco Cisneros,Analco,Cisneros
2084162517,Gerardo,Gerardo,
2022436928,B. Luzardo,B.,Luzardo
89538154,B. Maria,B.,Maria
87679602,Rojas Garcia,Rojas,Garcia
2166907523,R. Adelaido,R.,Adelaido
121796413,M. Peralta,M.,Peralta
2022439474,A. Los,A.,Los
120009147,Sánchez Santillán,Sánchez,Santillán
2096947904,Paulino,Paulino,
2005170561,Filiberto Magadan Olmedo,Filiberto,Magadan Olmedo
2355025466,L. José,L.,José
143811573,S. Hafner,S.,Hafner
2101296245,A. Rammohun,A.,Rammohun
12767413,K. Studnicka,K.,Studnicka
49024062,C. Talbot,C.,Talbot
2232552802,Akhil Arava,Akhil,Arava
3387336,Venkata Reddy Palleti,Venkata,Reddy Palleti
49055821,N. Telfer,N.,Telfer
2260069868,Ammar Tariq,Ammar,Tariq
2264209482,Yueqi Zhao,Yueqi,Zhao
2263664217,Adnan Munir,Adnan,Munir
2240114249,Peilin Cui,Peilin,Cui
2240171279,Zhenyu Liu,Zhenyu,Liu
2074676278,Caroline A Mulvaney,Caroline,A Mulvaney
48356889,Kevin Galbraith,Kevin,Galbraith
28730968,K. Webster,K.,Webster
2261272761,Mridul Rana,Mridul,Rana
2261264994,Rachel Connolly,Rachel,Connolly
2856007,T. Marom,T.,Marom
2261272541,M. Daniel,M.,Daniel
4653392,R. Venekamp,R.,Venekamp
2241917784,Anne G M Schilder,Anne,G M Schilder
3066738,S. MacKeith,S.,MacKeith
123873028,Zuhair Abbas,Zuhair,Abbas
27742224,Rasa Smaliukienė,Rasa,Smaliukienė
101717653,R. Zámečník,R.,Zámečník
2141152303,Ghulam Kalsoom,Ghulam,Kalsoom
119482893,Elona Çera,Elona,Çera
2374847697,A. Kazanskaia,A.,Kazanskaia
2094067797,W. Scott,W.,Scott
2061637910,G. Baer,G.,Baer
50729192,K. Christoff,K.,Christoff
2255038010,J. Kelly,J.,Kelly
145965161,R. Tateishi,R.,Tateishi
36118330,K. Koike,K.,Koike
102210788,N. H. Dahalan,N.,H. Dahalan
2260500071,Rahimi A. Rahman,Rahimi,A. Rahman
2268098824,Siti Hafizan Hassan,Siti,Hafizan Hassan
95834233,S. W. Ahmad,S.,W. Ahmad
2366213909,Othman Ibrahim,Othman,Ibrahim
2416353695,Issa Tanash,Issa,Tanash
2416352408,Ahmed Ismail Al Ma'ani,Ahmed,Ismail Al Ma'ani
2284272563,Ran Liu,Ran,Liu
1712234153,Meili Liu,Meili,Liu
2379876736,John Troy Gamil,John,Troy Gamil
2354479202,Gloria Cunanan,Gloria,Cunanan
2365179298,Yulia Kharina Ashar,Yulia,Kharina Ashar
2373915689,Putri Safira,Putri,Safira
2325279225,A. Lauchan,A.,Lauchan
2305789550,Pierre-François Staub,Pierre-François,Staub
2191861009,M. Salomon,M.,Salomon
4006009,A. Assoumani,A.,Assoumani
2336852162,Adeline Blard-Zakar,Adeline,Blard-Zakar
2233683942,Merryana Marhanah Oktavianry,Merryana,Marhanah Oktavianry
2090560285,Y. Yunita,Y.,Yunita
2083174018,E. Roviati,E.,Roviati
122867007,Ani Faujiah,Ani,Faujiah
5707596,M. Blicharska,M.,Blicharska
5526114,P. Rönnbäck,P.,Rönnbäck
41156914,K. Ravhuhali,K.,Ravhuhali
2384481251,Masingita Makamu,Masingita,Makamu
2328513171,S. Naidoo,S.,Naidoo
2384482056,Sanele Zuma,Sanele,Zuma
2118609684,Samkelisiwe Mvelase,Samkelisiwe,Mvelase
2262006511,T. Ntuli,T.,Ntuli
2384486752,Xolani Shandu,Xolani,Shandu
2384482501,Vusani Myeni,Vusani,Myeni
2117336212,Z. Buthelezi,Z.,Buthelezi
2384490562,Siphumelele Mlambo,Siphumelele,Mlambo
2384482855,Pumeza Hlanganyana,Pumeza,Hlanganyana
123415450,Siyabonga Mbanjwa,Siyabonga,Mbanjwa
2384482161,Jessica Thompson-Pillay,Jessica,Thompson-Pillay
2384486698,Sathee Devi Rambally,Sathee,Devi Rambally
2384480700,Muzi Phoswa,Muzi,Phoswa
2384482015,Sbusiso Mchunu,Sbusiso,Mchunu
2384486743,Ntobeko Zondi,Ntobeko,Zondi
2273286634,Radiya Gangat,Radiya,Gangat
2283940957,Poncho Phafane,Poncho,Phafane
13514723,Thembekile Zwane,Thembekile,Zwane
2384490636,Hellen Netshivhumbe,Hellen,Netshivhumbe
2384484709,Emelda Ramutshila,Emelda,Ramutshila
2329534818,M. Mabona,M.,Mabona
84050223,Velile Ngidi,Velile,Ngidi
2304182032,Leigh Johnston,Leigh,Johnston
2283942798,Babongile Mhlongo,Babongile,Mhlongo
6520290,L. Kuonza,L.,Kuonza
145298798,S. Fuentes,S.,Fuentes
30772377,E. Tongson,E.,Tongson
21058844,R. Unnithan,R.,Unnithan
13288046,Claudia Gonzalez Viejo,Claudia,Gonzalez Viejo
2205758120,Rebecca Matangaidze,Rebecca,Matangaidze
3502250,Aspinas Chapwanya,Aspinas,Chapwanya
22234959,M. Adnane,M.,Adnane
2374225556,Mandivamba Rukuni,Mandivamba,Rukuni
2374225095,G. B. Nyamushamba,G.,B. Nyamushamba
2047246532,N. Nayak,N.,Nayak
2109204342,Prashant Singh,Prashant,Singh
2028960934,Raghvendra Sharma,Raghvendra,Sharma
2028956002,S. Gupta,S.,Gupta
4779172,C. Gandhoke,C.,Gandhoke
2109670621,A. Sharma,A.,Sharma
2200207999,S. Al-Mansoori,S.,Al-Mansoori
1405705670,R. Al-Ruzouq,R.,Al-Ruzouq
1421225679,Diena Al Dogom,Diena,Al Dogom
1420349782,Meera Al Shamsi,Meera,Al Shamsi
1421229597,Alya Al Mazzm,Alya,Al Mazzm
73768642,N. Aburaed,N.,Aburaed
66924764,S. Ishida,S.,Ishida
90515359,Hitomi Katada,Hitomi,Katada
28076690,Shinobu Miyahara,Shinobu,Miyahara
90418983,Shitomi Hasegawa,Shitomi,Hasegawa
2204340369,Amira Bourechak,Amira,Bourechak
1873244,Ouarda Zedadra,Ouarda,Zedadra
3401692,M. N. Kouahla,M.,N. Kouahla
143627888,Antonio Guerrieri,Antonio,Guerrieri
1392623159,Hamid Seridi,Hamid,Seridi
1691577,G. Fortino,G.,Fortino
2326702387,Talent Kondo,Talent,Kondo
2339865312,Simba Mutsvanga,Simba,Mutsvanga
2339867326,Tonderai Kanyekanye,Tonderai,Kanyekanye
2387207278,Haokai Pan,Haokai,Pan
2317881681,Shengli Cui,Shengli,Cui
15796066,H. DuBrock,H.,DuBrock
2276033908,Arun Jose,Arun,Jose
2287302381,Sarah Arendse,Sarah,Arendse
2321841718,Nicolas Martin,Nicolas,Martin
2287317742,Sean Studer,Sean,Studer
2278030504,Daniel Rosenberg,Daniel,Rosenberg
2318282378,Zhaobin Li,Zhaobin,Li
2372335541,Zheng Ju,Zheng,Ju
2185024098,Hong Zhao,Hong,Zhao
2183003357,Zhanzhen Wei,Zhanzhen,Wei
2372333633,Gongjian Lan,Gongjian,Lan
2300943269,Veroneka Yosefpa Windahandayani,Veroneka,Yosefpa Windahandayani
2044631111,Keristina Ajul,Keristina,Ajul
2222391103,Vincencius Surani,Vincencius,Surani
2256573343,Na Li,Na,Li
2255771734,Yumei Wang,Yumei,Wang
2055098652,Meng Cui,Meng,Cui
2384798560,J. Osowicki,J.,Osowicki
4298304,C. Blyth,C.,Blyth
3541316,P. Britton,P.,Britton
2107297066,J. Clark,J.,Clark
153622813,C. Cooper,C.,Cooper
34997665,G. Haeusler,G.,Haeusler
4094522,B. McMullan,B.,McMullan
40344727,P. Bryant,P.,Bryant
48637151,L. Benson,L.,Benson
144298226,M. Zaheri,M.,Zaheri
15055495,A. Katayev,A.,Katayev
2602334,James K. Fleming,James,K. Fleming
8282685,M. Maggi,M.,Maggi
4446162,S. Salciccia,S.,Salciccia
4463728,F. del Giudice,F.,del Giudice
2285184521,G. Busetto,G.,Busetto
21459988,U. Falagario,U.,Falagario
2402742,G. Carrieri,G.,Carrieri
46645069,M. Ferro,M.,Ferro
7810889,A. Porreca,A.,Porreca
7541706,G. D. Di Pierro,G.,D. Di Pierro
2302538781,Vittorio Fasulo,Vittorio,Fasulo
2133342153,V. Frantellizzi,V.,Frantellizzi
67151379,G. de Vincentis,G.,de Vincentis
2894378,E. De Berardinis,E.,De Berardinis
5533955,A. Sciarra,A.,Sciarra
2876317,E. Aidoo,E.,Aidoo
50639634,U. Mueller,U.,Mueller
2289987,P. Goovaerts,P.,Goovaerts
6805162,G. Hyndes,G.,Hyndes
2330332799,Shanta Kumari B,Shanta,Kumari B
11288719,P. Baisakh,P.,Baisakh
2270462998,Vinayak Ganesh Bhat,Vinayak,Ganesh Bhat
143820828,Sujita Pradhan,Sujita,Pradhan
2221771954,D. K. Panda,D.,K. Panda
2337558063,Lely Nurjanti,Lely,Nurjanti
2188203361,Yihays Fente Tarekegn,Yihays,Fente Tarekegn
2108752703,Weifeng Li,Weifeng,Li
11757813,Huilin Xiao,Huilin,Xiao
79691820,Noura Abouammoh,Noura,Abouammoh
4556543,F. Irfan,F.,Irfan
2082595356,Eiad A. Alfaris,Eiad,A. Alfaris
6805207,S. Ringmark,S.,Ringmark
37562435,A. Skarin,A.,Skarin
47639245,A. Jansson,A.,Jansson
2335988098,Fariz Refzal,Fariz,Refzal
67136947,E. Suryani,E.,Suryani
113889446,Fitri Yunina,Fitri,Yunina
48703311,H. Voigt,H.,Voigt
1576539258,Carson Duan,Carson,Duan
51007938,Junli Zhu,Junli,Zhu
153928346,Xinrui Song,Xinrui,Song
2741160,D. Korpas,D.,Korpas
2239227367,Michaela Tanzerová,Michaela,Tanzerová
2187263616,Fitria Helmiza,Fitria,Helmiza
51149567,Kunpeng Zhang,Kunpeng,Zhang
144681847,Ning Jia,Ning,Jia
144802395,Liang Zheng,Liang,Zheng
49292814,Zijian Liu,Zijian,Liu
31288263,Timothy Malche,Timothy,Malche
49515644,Priti Maheshwary,Priti,Maheshwary
2261415777,Pradeep Kumar Tiwari,Pradeep,Kumar Tiwari
2268497521,A. Alkhayyat,A.,Alkhayyat
2164191314,Abhinav Bansal,Abhinav,Bansal
2154359293,Raghvendra Kumar,Raghvendra,Kumar
2124092488,Dian Suluh Kusuma Dewi,Dian,Suluh Kusuma Dewi
150934538,Beth Njeri Gitau,Beth,Njeri Gitau
2221828688,Wael Alhyasat,Wael,Alhyasat
2073695,E. Alhyasat,E.,Alhyasat
119182772,S. Khattab,S.,Khattab
2037943580,Sofie Yunida Putri,Sofie,Yunida Putri
2128722551,L. N,L.,N
36064713,U. Surendra,U.,Surendra
51304340,M. M.,M.,M.
2159822083,I. Hartono,I.,Hartono
1396138788,Chotib Chotib,Chotib,Chotib
2948173,S. Mulyono,S.,Mulyono
2132977350,Desy Widya Astuti,Desy,Widya Astuti
2280780361,Ni Kadek Sri Widhyanti,Ni,Kadek Sri Widhyanti
2092265356,Kadek Ayu Ekasani,Kadek,Ayu Ekasani
2044554419,I. G. A. K. Dewi,I.,G. A. K. Dewi
3136788,S. Bösner,S.,Bösner
3343481,J. Haasenritter,J.,Haasenritter
5395602,M. A. Hani,M.,A. Hani
2052412143,H. Keller,H.,Keller
145793668,A. Sönnichsen,A.,Sönnichsen
4364948,K. Karatolios,K.,Karatolios
40651154,J. Schaefer,J.,Schaefer
144818206,E. Baum,E.,Baum
1387475575,N. Donner‐Banzhoff,N.,Donner‐Banzhoff
144874710,C. Miaskowski,C.,Miaskowski
46322838,R. Nichols,R.,Nichols
39150222,R. Brody,R.,Brody
2323314582,T. Synold,T.,Synold
2024121,Nguyen Nhat Anh,Nguyen,Nhat Anh
144433649,Nguyen Anh,Nguyen,Anh
50226275,N. X. Tung,N.,X. Tung
145658739,Nguyen Thi Ngoc Anh,Nguyen,Thi Ngoc Anh
114620083,L. Burhan,L.,Burhan
2366373627,Renze Zhang,Renze,Zhang
2397891200,Y. Kuang,Y.,Kuang
2204794957,Jing Rao,Jing,Rao
2391173548,Xinglan Liu,Xinglan,Liu
2255454523,Qianqian Fang,Qianqian,Fang
2290023659,Yuanyuan Tang,Yuanyuan,Tang
2286301280,Juan Li,Juan,Li
33354634,S. N. Akhtar,S.,N. Akhtar
5753048,A. Singnurkar,A.,Singnurkar
2071175904,R. Poon,R.,Poon
5900695,U. Metser,U.,Metser
2054336060,U. Müller,U.,Müller
8893316,K. Sachse,K.,Sachse
8381490,K. Kemmerling,K.,Kemmerling
113078489,C. Rietz,C.,Rietz
50103923,H. Sauerwein,H.,Sauerwein
2223338653,Alexandre Faye-Bédrin,Alexandre,Faye-Bédrin
12773655,P. Chauchat,P.,Chauchat
2347375737,S. Aranovskiy,S.,Aranovskiy
2232211261,Romain Bourdais,Romain,Bourdais
2202527559,Kai Schmid,Kai,Schmid
1643854911,Jannik Sehring,Jannik,Sehring
2219388739,Attila Németh,Attila,Németh
2237871174,Patrick N Harter,Patrick,N Harter
2266309200,Katharina J Weber,Katharina,J Weber
1395890918,Abishaa Vengadeswaran,Abishaa,Vengadeswaran
2268466664,Holger Storf,Holger,Storf
72543079,C. Seidemann,C.,Seidemann
10772830,K. Karki,K.,Karki
2072761066,Patrick Fischer,Patrick,Fischer
2604069,H. Dohmen,H.,Dohmen
3747642,Carmen Selignow,Carmen,Selignow
2268463410,A. von Deimling,A.,von Deimling
2264323737,Stefan Grau,Stefan,Grau
2373088090,Uwe Schröder,Uwe,Schröder
2243691471,Karl H. Plate,Karl,H. Plate
2263470461,Marco Stein,Marco,Stein
2264222284,Eberhard Uhl,Eberhard,Uhl
2264336582,T. Acker,T.,Acker
10340008,Daniel Amsel,Daniel,Amsel
2325627405,S. Sonawane,S.,Sonawane
2399467189,M. D. Baviskar,M.,D. Baviskar
47591325,Y. Chiu,Y.,Chiu
47817639,Da-Ji Huang,Da-Ji,Huang
33762636,B. Shieh,B.,Shieh
120624602,Ye-Chen Gan,Ye-Chen,Gan
2001070412,Yi-Chih Chen,Yi-Chih,Chen
95980588,C. Jen,C.,Jen
2210160259,Lin-Lee Lee,Lin-Lee,Lee
5191892,Shih-hsiung Liang,Shih-hsiung,Liang
2390721064,Sherene Victoria,Sherene,Victoria
2390725946,D. Surya,D.,Surya
2390725834,R. Jeethasri,R.,Jeethasri
40449892,A. R. Livingstone,A.,R. Livingstone
8525897,Zhangbing Zhou,Zhangbing,Zhou
144087499,M. Sellami,M.,Sellami
1762930,Walid Gaaloul,Walid,Gaaloul
3293164,M. Barhamgi,M.,Barhamgi
3009931,Bruno Defude,Bruno,Defude
38622811,R. Chinnadurai,R.,Chinnadurai
83010452,Mary Miller,Mary,Miller
3926627,A. Lowney,A.,Lowney
5050723,S. Sinha,S.,Sinha
123941633,Donald Osebhawe Areguamen,Donald,Osebhawe Areguamen
2160412628,Kim Critchlow,Kim,Critchlow
2160414356,Mary Dereshwisky,Mary,Dereshwisky
119076511,Beverly Muhammad,Beverly,Muhammad
34031417,Polat Goktas,Polat,Goktas
16191852,D. Gülseren,D.,Gülseren
2239658511,A. Tobin,A.,Tobin
2982380,Wanhong Yang,Wanhong,Yang
2398367609,N. Adrienne,N.,Adrienne
2398364429,Ildjima Ousman K,Ildjima,Ousman K
2399455919,Souam Guélé S.,Souam,Guélé S.
2398357938,A. Danama K,A.,Danama K
2399445635,Hassan Adam A,Hassan,Adam A
1860135,A. Tidjani,A.,Tidjani
2129085296,Ketsia Aprilianny Laya,Ketsia,Aprilianny Laya
84289870,Y. Syaukat,Y.,Syaukat
145833664,M. Sarma,M.,Sarma
153690632,L. German,L.,German
6268205,I. Feldblum,I.,Feldblum
2251394480,Natalya Bilenko,Natalya,Bilenko
152749648,H. Castel,H.,Castel
1397996075,I. Harman-boehm,I.,Harman-boehm
2165577390,D. Shahar,D.,Shahar
6047849,E. Hayati,E.,Hayati
4645115,M. Emmelin,M.,Emmelin
38253714,M. Eriksson,M.,Eriksson
2042108504,O. Ohwo,O.,Ohwo
2405321989,Pedro Eromosele Ezana,Pedro,Eromosele Ezana
2082903248,Enny Istanti,Enny,Istanti
1840465460,Alana Dinsdale,Alana,Dinsdale
14000134,R. Forbes,R.,Forbes
4668080,L. Thomas,L.,Thomas
49120375,J. Treleaven,J.,Treleaven
2108074853,Yanning Zhang,Yanning,Zhang
2108589481,Shuai Liu,Shuai,Liu
2221928463,Rita Seimogha Matthew–Odou,Rita,Seimogha Matthew–Odou
2280467382,Igbogi Inatimi,Igbogi,Inatimi
2299491868,Jiangwei Li,Jiangwei,Li
3111102,Xiyan Ma,Xiyan,Ma
1732574,Yanfeng Zhu,Yanfeng,Zhu
145273634,Z. Niu,Z.,Niu
7797010,Jun-ji Wei,Jun-ji,Wei
3946940,Y. Gong,Y.,Gong
2108875472,Ren-zhi Wang,Ren-zhi,Wang
3802844,Wen-bin Ma,Wen-bin,Ma
2143685090,Yi Yang,Yi,Yang
9652532,Zhi-qin Xu,Zhi-qin,Xu
143605359,B. Xing,B.,Xing
2110416165,Yongning Li,Yongning,Li
46439394,Gui-lin Li,Gui-lin,Li
1746280,Yong Yao,Yong,Yao
2108699579,Yuguang Huang,Yuguang,Huang
2332725307,Ziyi Xu,Ziyi,Xu
2262541099,Ziyao Huang,Ziyao,Huang
2275188174,Juan Cao,Juan,Cao
2348262202,Yong Zhang,Yong,Zhang
30176430,Xiaodong Cun,Xiaodong,Cun
2332353068,Qing Shuai,Qing,Shuai
2354275199,Yucheng Wang,Yucheng,Wang
2298970795,Linchao Bao,Linchao,Bao
